FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE,TARGETED
192.168.178.41:65191 => 172.67.175.210:443,192.168.178.41,65191,172.67.175.210,443,6,1679950440.453231,durreslajm,1.911063,109,109,7953,0,4161.558253181606,57.03631957711494,72.96330275229357,False
192.168.178.41:65192 => 172.67.175.210:443,192.168.178.41,65192,172.67.175.210,443,6,1679950440.453426,durreslajm,0.138093,7,7,957,0,6930.112315613391,50.69047670772595,136.71428571428572,False
172.67.175.210:443 => 192.168.178.41:65191,172.67.175.210,443,192.168.178.41,65191,6,1679950440.495134,durreslajm,1.869037,156,156,206294,0,110374.48696842276,83.46544236416936,1322.3974358974358,False
172.67.175.210:443 => 192.168.178.41:65192,172.67.175.210,443,192.168.178.41,65192,6,1679950440.495146,durreslajm,0.096231,5,5,2397,0,24908.813168313744,51.95830865313672,479.4,False
192.168.178.41:65194 => 172.67.175.210:443,192.168.178.41,65194,172.67.175.210,443,6,1679950440.703627,durreslajm,0.131105,6,6,938,0,7154.570763891537,45.76484497158766,156.33333333333334,False
172.67.175.210:443 => 192.168.178.41:65194,172.67.175.210,443,192.168.178.41,65194,6,1679950440.745348,durreslajm,0.089243,4,4,940,0,10533.039005860404,44.82144257812938,235.0,False
192.168.178.41:64280 => 172.67.166.242:443,192.168.178.41,64280,172.67.166.242,443,6,1679953485.700166,ina-online,0.148534,7,7,957,0,6442.969286493328,47.127257058989855,136.71428571428572,False
192.168.178.41:64281 => 172.67.166.242:443,192.168.178.41,64281,172.67.166.242,443,6,1679953485.700248,ina-online,1.533596,113,113,8067,0,5260.185863812894,73.68302995052152,71.38938053097345,False
172.67.166.242:443 => 192.168.178.41:64280,172.67.166.242,443,192.168.178.41,64280,6,1679953485.742196,ina-online,0.106363,5,5,2389,0,22460.818141647,47.00882825794684,477.8,False
172.67.166.242:443 => 192.168.178.41:64281,172.67.166.242,443,192.168.178.41,64281,6,1679953485.742212,ina-online,1.491521,192,192,267725,0,179497.9755564957,128.7276545217935,1394.4010416666667,False
192.168.178.41:64283 => 172.67.166.242:443,192.168.178.41,64283,172.67.166.242,443,6,1679953485.943505,ina-online,1.290383,8,8,1043,0,808.2871519541097,6.199709698593363,130.375,False
172.67.166.242:443 => 192.168.178.41:64283,172.67.166.242,443,192.168.178.41,64283,6,1679953485.992413,ina-online,1.241325,5,5,992,0,799.1460737518378,4.027954000765312,198.4,False
192.168.178.41:63540 => 173.231.244.176:443,192.168.178.41,63540,173.231.244.176,443,6,1679953377.451122,bulevardionline,4.577989,91,91,8127,0,1775.23362332238,19.87772360309297,89.3076923076923,False
192.168.178.41:63541 => 173.231.244.176:443,192.168.178.41,63541,173.231.244.176,443,6,1679953377.451338,bulevardionline,4.579125,12,12,1610,0,351.59555591952613,2.6205879944312502,134.16666666666666,False
192.168.178.41:63542 => 173.231.244.176:443,192.168.178.41,63542,173.231.244.176,443,6,1679953377.536201,bulevardionline,4.494275,12,12,1610,0,358.2335304359435,2.67006358088902,134.16666666666666,False
173.231.244.176:443 => 192.168.178.41:63540,173.231.244.176,443,192.168.178.41,63540,6,1679953377.584555,bulevardionline,1.546429,209,209,296300,0,191602.71826252612,135.1500780184541,1417.7033492822966,False
173.231.244.176:443 => 192.168.178.41:63541,173.231.244.176,443,192.168.178.41,63541,6,1679953377.588635,bulevardionline,1.01636,10,10,6573,0,6467.196662599867,9.839033413357472,657.3,False
173.231.244.176:443 => 192.168.178.41:63542,173.231.244.176,443,192.168.178.41,63542,6,1679953377.667832,bulevardionline,0.789527,10,10,6573,0,8325.23776894267,12.665811302210056,657.3,False
192.168.178.41:63558 => 173.231.244.176:443,192.168.178.41,63558,173.231.244.176,443,6,1679953379.39613,bulevardionline,2.633329,200,200,13008,0,4939.754964153738,75.94949206878442,65.04,False
192.168.178.41:63559 => 173.231.244.176:443,192.168.178.41,63559,173.231.244.176,443,6,1679953379.39646,bulevardionline,0.7008,12,12,1590,0,2268.835616438356,17.123287671232877,132.5,False
192.168.178.41:63560 => 173.231.244.176:443,192.168.178.41,63560,173.231.244.176,443,6,1679953379.396642,bulevardionline,0.702433,9,9,1360,0,1936.1277160953427,12.812609885925063,151.11111111111111,False
192.168.178.41:63561 => 173.231.244.176:443,192.168.178.41,63561,173.231.244.176,443,6,1679953379.446329,bulevardionline,0.652715,10,10,1412,0,2163.271872103445,15.320622323678789,141.2,False
192.168.178.41:63562 => 173.231.244.176:443,192.168.178.41,63562,173.231.244.176,443,6,1679953379.446673,bulevardionline,0.652394,10,10,1412,0,2164.336275318289,15.32816059007287,141.2,False
192.168.178.41:63563 => 173.231.244.176:443,192.168.178.41,63563,173.231.244.176,443,6,1679953379.447307,bulevardionline,0.651706,10,10,1412,0,2166.6211451175836,15.344342387518298,141.2,False
173.231.244.176:443 => 192.168.178.41:63558,173.231.244.176,443,192.168.178.41,63558,6,1679953379.540145,bulevardionline,1.374578,726,726,1077307,0,783736.5358677354,528.1620977492729,1483.8939393939395,False
173.231.244.176:443 => 192.168.178.41:63560,173.231.244.176,443,192.168.178.41,63560,6,1679953379.540153,bulevardionline,0.558801,8,8,5640,0,10093.03848776219,14.316366649308073,705.0,False
173.231.244.176:443 => 192.168.178.41:63559,173.231.244.176,443,192.168.178.41,63559,6,1679953379.540153,bulevardionline,0.557072,9,9,6360,0,11416.836602808971,16.155900853031564,706.6666666666666,False
173.231.244.176:443 => 192.168.178.41:63563,173.231.244.176,443,192.168.178.41,63563,6,1679953379.581404,bulevardionline,0.517543,8,8,5640,0,10897.645219817485,15.457652794067352,705.0,False
173.231.244.176:443 => 192.168.178.41:63561,173.231.244.176,443,192.168.178.41,63561,6,1679953379.581422,bulevardionline,0.517531,8,8,5640,0,10897.897903700454,15.45801121092263,705.0,False
173.231.244.176:443 => 192.168.178.41:63562,173.231.244.176,443,192.168.178.41,63562,6,1679953379.581423,bulevardionline,0.517531,8,8,5640,0,10897.897903700454,15.45801121092263,705.0,False
192.168.178.41:58953 => 172.67.202.111:443,192.168.178.41,58953,172.67.202.111,443,6,1679948761.174119,noa,0.150997,8,8,985,0,6523.3084101008635,52.98118505665675,123.125,False
192.168.178.41:58954 => 172.67.202.111:443,192.168.178.41,58954,172.67.202.111,443,6,1679948761.174186,noa,0.242962,37,37,3433,0,14129.781611939316,152.2871889431269,92.7837837837838,False
172.67.202.111:443 => 192.168.178.41:58953,172.67.202.111,443,192.168.178.41,58953,6,1679948761.220179,noa,0.104882,6,6,2957,0,28193.58898571728,57.207147079575144,492.8333333333333,False
172.67.202.111:443 => 192.168.178.41:58954,172.67.202.111,443,192.168.178.41,58954,6,1679948761.220187,noa,0.196858,48,48,58917,0,299286.79555821966,243.83057838645112,1227.4375,False
192.168.178.41:58962 => 172.67.202.111:443,192.168.178.41,58962,172.67.202.111,443,6,1679948761.409421,noa,0.13142,6,6,931,0,7084.157662456248,45.65515142291889,155.16666666666666,False
172.67.202.111:443 => 192.168.178.41:58962,172.67.202.111,443,192.168.178.41,58962,6,1679948761.453182,noa,0.087575,4,4,940,0,10733.65686554382,45.67513559805881,235.0,False
192.168.178.41:61477 => 172.67.71.253:443,192.168.178.41,61477,172.67.71.253,443,6,1679949559.053104,oranews,0.159726,8,8,1009,0,6317.067978913889,50.08577188435195,126.125,False
192.168.178.41:61478 => 172.67.71.253:443,192.168.178.41,61478,172.67.71.253,443,6,1679949559.053174,oranews,3.649436,263,263,63276,0,17338.56957623041,72.06593018756871,240.59315589353616,False
172.67.71.253:443 => 192.168.178.41:61477,172.67.71.253,443,192.168.178.41,61477,6,1679949559.107521,oranews,0.105151,6,6,4505,0,42843.14937565977,57.060798280567944,750.8333333333334,False
172.67.71.253:443 => 192.168.178.41:61478,172.67.71.253,443,192.168.178.41,61478,6,1679949559.107526,oranews,3.595028,442,442,585511,0,162866.8817043984,122.94758204943048,1324.685520361991,False
192.168.178.41:61481 => 172.67.71.253:443,192.168.178.41,61481,172.67.71.253,443,6,1679949559.294916,oranews,3.335685,8,8,1043,0,312.67940467999824,2.398307993710437,130.375,False
172.67.71.253:443 => 192.168.178.41:61481,172.67.71.253,443,192.168.178.41,61481,6,1679949559.336892,oranews,3.293168,5,5,992,0,301.22969736132507,1.5182948455711949,198.4,False
192.168.178.41:56872 => 172.67.211.108:443,192.168.178.41,56872,172.67.211.108,443,6,1679948054.678668,kallxo,2.26727,37,37,3601,0,1588.2537148200258,16.319185628531226,97.32432432432432,True
192.168.178.41:56873 => 172.67.211.108:443,192.168.178.41,56873,172.67.211.108,443,6,1679948054.678754,kallxo,0.153303,7,7,957,0,6242.5392849455,45.661206890928426,136.71428571428572,True
172.67.211.108:443 => 192.168.178.41:56872,172.67.211.108,443,192.168.178.41,56872,6,1679948054.72531,kallxo,2.220427,62,62,77967,0,35113.51645426758,27.92255723786461,1257.532258064516,True
172.67.211.108:443 => 192.168.178.41:56873,172.67.211.108,443,192.168.178.41,56873,6,1679948054.725315,kallxo,0.10663,5,5,2393,0,22442.08946825471,46.891118822095095,478.6,True
192.168.178.41:56876 => 172.67.211.108:443,192.168.178.41,56876,172.67.211.108,443,6,1679948054.909109,kallxo,2.04445,8,8,1039,0,508.20514074690016,3.913032845019443,129.875,True
172.67.211.108:443 => 192.168.178.41:56876,172.67.211.108,443,192.168.178.41,56876,6,1679948054.953816,kallxo,1.999599,5,5,992,0,496.0994679433226,2.5005013505207794,198.4,True
192.168.178.41:64994 => 145.14.156.93:443,192.168.178.41,64994,145.14.156.93,443,6,1679950411.827572,rdnews,0.170634,9,9,1037,0,6077.335114924341,52.74447062132987,115.22222222222224,False
192.168.178.41:64995 => 145.14.156.93:443,192.168.178.41,64995,145.14.156.93,443,6,1679950411.827686,rdnews,1.881151,52,52,4699,0,2497.9387619600975,27.642650696302425,90.3653846153846,False
145.14.156.93:443 => 192.168.178.41:64995,145.14.156.93,443,192.168.178.41,64995,6,1679950411.881582,rdnews,1.827103,98,98,121687,0,66601.06189963018,53.63682288300112,1241.704081632653,False
145.14.156.93:443 => 192.168.178.41:64994,145.14.156.93,443,192.168.178.41,64994,6,1679950411.881589,rdnews,0.116412,8,8,6584,0,56557.743187987486,68.72143765247569,823.0,False
192.168.178.41:64997 => 145.14.156.93:443,192.168.178.41,64997,145.14.156.93,443,6,1679950412.07341,rdnews,1.635477,9,9,1037,0,634.0657801974592,5.502981698917197,115.22222222222224,False
145.14.156.93:443 => 192.168.178.41:64997,145.14.156.93,443,192.168.178.41,64997,6,1679950412.120451,rdnews,1.588237,9,9,6636,0,4178.217734506878,5.666660580253451,737.3333333333334,False
192.168.178.41:56193 => 172.67.166.201:443,192.168.178.41,56193,172.67.166.201,443,6,1679951998.337232,almakos,1.305453,8,8,1040,0,796.6583247347857,6.12814095949835,130.0,False
172.67.166.201:443 => 192.168.178.41:56193,172.67.166.201,443,192.168.178.41,56193,6,1679951998.378667,almakos,1.263918,5,5,1008,0,797.5200922844679,3.9559528387126384,201.6,False
192.168.178.41:56665 => 172.67.161.165:443,192.168.178.41,56665,172.67.161.165,443,6,1679952273.757475,standard,1.419041,7,7,440,0,310.0685603869092,4.932908915246283,62.857142857142854,False
172.67.161.165:443 => 192.168.178.41:56665,172.67.161.165,443,192.168.178.41,56665,6,1679952273.804886,standard,1.371478,5,5,992,0,723.3072641340218,3.645701936159384,198.4,False
192.168.178.41:60634 => 173.231.244.176:443,192.168.178.41,60634,173.231.244.176,443,6,1679949322.702962,bulevardionline,3.334645,13,13,1662,0,498.4038780739779,3.89846595364724,127.84615384615384,False
192.168.178.41:60635 => 173.231.244.176:443,192.168.178.41,60635,173.231.244.176,443,6,1679949322.703182,bulevardionline,3.331671,93,93,8231,0,2470.5320543354974,27.913920672239243,88.50537634408602,False
173.231.244.176:443 => 192.168.178.41:60635,173.231.244.176,443,192.168.178.41,60635,6,1679949322.835092,bulevardionline,3.199523,208,208,296226,0,92584.42586598064,65.0096905069912,1424.1634615384614,False
173.231.244.176:443 => 192.168.178.41:60634,173.231.244.176,443,192.168.178.41,60634,6,1679949322.8351,bulevardionline,3.202435,10,10,6573,0,2052.5006752674135,3.1226238783925355,657.3,False
192.168.178.41:60654 => 173.231.244.176:443,192.168.178.41,60654,173.231.244.176,443,6,1679949324.28329,bulevardionline,0.744832,12,12,1590,0,2134.709572091425,16.111015638425847,132.5,False
192.168.178.41:60655 => 173.231.244.176:443,192.168.178.41,60655,173.231.244.176,443,6,1679949324.283429,bulevardionline,0.744761,9,9,1360,0,1826.0891749165169,12.084413657535771,151.11111111111111,False
192.168.178.41:60656 => 173.231.244.176:443,192.168.178.41,60656,173.231.244.176,443,6,1679949324.283531,bulevardionline,0.744532,12,12,1590,0,2135.56972702315,16.117507373759626,132.5,False
192.168.178.41:60657 => 173.231.244.176:443,192.168.178.41,60657,173.231.244.176,443,6,1679949324.283634,bulevardionline,0.744539,10,10,1412,0,1896.4755372116167,13.431129866937797,141.2,False
192.168.178.41:60658 => 173.231.244.176:443,192.168.178.41,60658,173.231.244.176,443,6,1679949324.283725,bulevardionline,0.744429,10,10,1412,0,1896.7557685151976,13.433114507898,141.2,False
192.168.178.41:60659 => 173.231.244.176:443,192.168.178.41,60659,173.231.244.176,443,6,1679949324.283818,bulevardionline,1.753823,204,204,13215,0,7534.967895848099,116.31732506644056,64.77941176470588,False
173.231.244.176:443 => 192.168.178.41:60657,173.231.244.176,443,192.168.178.41,60657,6,1679949324.419702,bulevardionline,0.608082,8,8,5640,0,9275.06487611868,13.156120391657703,705.0,False
