FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56639 => 173.212.239.244:443,192.168.0.123,56639,173.212.239.244,443,6,1679101943.036862,sportekspres,1.853429,766,766,47857,0,25820.78946644301,413.2880191256314,62.476501305483026
192.168.0.123:56640 => 173.212.239.244:443,192.168.0.123,56640,173.212.239.244,443,6,1679101943.03708,sportekspres,1.86713,9,9,1077,0,576.8211104743644,4.8202321209556915,119.66666666666669
173.212.239.244:443 => 192.168.0.123:56639,173.212.239.244,443,192.168.0.123,56639,6,1679101943.074719,sportekspres,1.815477,8666,8666,12565580,0,6921365.569489451,4773.401150221126,1449.986152780983
173.212.239.244:443 => 192.168.0.123:56640,173.212.239.244,443,192.168.0.123,56640,6,1679101943.082962,sportekspres,1.821091,10,10,6284,0,3450.6787414796954,5.491213783385893,628.4
192.168.0.123:56469 => 5.9.72.90:443,192.168.0.123,56469,5.9.72.90,443,6,1679098971.979707,rtv21,2.346805,52,52,5667,0,2414.7724246369,22.157784732860208,108.98076923076924
192.168.0.123:56470 => 5.9.72.90:443,192.168.0.123,56470,5.9.72.90,443,6,1679098971.979907,rtv21,2.254754,114,114,7764,0,3443.391163736709,50.559839343892946,68.10526315789474
5.9.72.90:443 => 192.168.0.123:56470,5.9.72.90,443,192.168.0.123,56470,6,1679098972.019416,rtv21,2.215166,595,595,368728,0,166456.14820740296,268.6028947717688,619.7109243697479
5.9.72.90:443 => 192.168.0.123:56469,5.9.72.90,443,192.168.0.123,56469,6,1679098972.021174,rtv21,2.30517,142,142,195731,0,84909.5728297696,61.60066285783695,1378.387323943662
192.168.0.123:56472 => 5.9.72.90:443,192.168.0.123,56472,5.9.72.90,443,6,1679098972.73506,rtv21,1.504215,63,63,7561,0,5026.542083412279,41.882310706913565,120.015873015873
192.168.0.123:56473 => 5.9.72.90:443,192.168.0.123,56473,5.9.72.90,443,6,1679098972.735857,rtv21,1.503442,72,72,9327,0,6203.764428557936,47.890108165130414,129.54166666666666
192.168.0.123:56474 => 5.9.72.90:443,192.168.0.123,56474,5.9.72.90,443,6,1679098972.736151,rtv21,1.503138,36,36,4234,0,2816.7739755099,23.949896815861216,117.61111111111111
192.168.0.123:56475 => 5.9.72.90:443,192.168.0.123,56475,5.9.72.90,443,6,1679098972.736206,rtv21,1.503048,20,20,4020,0,2674.5652833442446,13.306294942011165,201.0
5.9.72.90:443 => 192.168.0.123:56473,5.9.72.90,443,192.168.0.123,56473,6,1679098972.777569,rtv21,1.461651,287,287,403461,0,276031.00877021946,196.35330184838924,1405.787456445993
5.9.72.90:443 => 192.168.0.123:56472,5.9.72.90,443,192.168.0.123,56472,6,1679098972.777576,rtv21,1.461556,240,240,334781,0,229057.9355153001,164.20855581311972,1394.9208333333331
5.9.72.90:443 => 192.168.0.123:56474,5.9.72.90,443,192.168.0.123,56474,6,1679098972.781797,rtv21,1.457422,81,81,105931,0,72683.82115818205,55.577588371796224,1307.79012345679
5.9.72.90:443 => 192.168.0.123:56475,5.9.72.90,443,192.168.0.123,56475,6,1679098972.791724,rtv21,1.447407,53,53,64022,0,44232.20282892096,36.61720580320532,1207.9622641509434
192.168.0.123:63872 => 164.90.180.253:443,192.168.0.123,63872,164.90.180.253,443,6,1679103012.268979,pashtriku,0.10324,9,9,1037,0,10044.556373498644,87.17551336691204,115.22222222222224
192.168.0.123:63873 => 164.90.180.253:443,192.168.0.123,63873,164.90.180.253,443,6,1679103012.269164,pashtriku,1.674514,307,307,34327,0,20499.67930993709,183.33677711861472,111.814332247557
164.90.180.253:443 => 192.168.0.123:63872,164.90.180.253,443,192.168.0.123,63872,6,1679103012.301341,pashtriku,0.070668,11,11,5379,0,76116.488368144,155.65744042565234,489.0
164.90.180.253:443 => 192.168.0.123:63873,164.90.180.253,443,192.168.0.123,63873,6,1679103012.301349,pashtriku,1.661792,1477,1477,2077983,0,1250447.1077006028,888.7995609558839,1406.8943805010156
192.168.0.123:53558 => 104.26.7.40:443,192.168.0.123,53558,104.26.7.40,443,6,1679103910.371404,top-channel,2.656948,948,948,129151,0,48608.77969760793,356.8003589080404,136.23523206751054
192.168.0.123:53559 => 104.26.7.40:443,192.168.0.123,53559,104.26.7.40,443,6,1679103910.371649,top-channel,2.62283,8,8,1009,0,384.69897019631463,3.0501404970966477,126.125
104.26.7.40:443 => 192.168.0.123:53558,104.26.7.40,443,192.168.0.123,53558,6,1679103910.395908,top-channel,2.632402,6072,6072,8700180,0,3305034.717341804,2306.638575719058,1432.8359683794467
104.26.7.40:443 => 192.168.0.123:53559,104.26.7.40,443,192.168.0.123,53559,6,1679103910.400114,top-channel,2.594183,6,6,2965,0,1142.9417277038665,2.312866902604789,494.1666666666667
192.168.0.123:51273 => 188.40.137.224:443,192.168.0.123,51273,188.40.137.224,443,6,1679101066.51957,shqiperia,3.665938,42,42,4693,0,1280.16349430896,11.45682223758285,111.73809523809524
192.168.0.123:51274 => 188.40.137.224:443,192.168.0.123,51274,188.40.137.224,443,6,1679101066.519752,shqiperia,3.724571,44,44,6788,0,1822.4917715355673,11.813441064756182,154.27272727272728
188.40.137.224:443 => 192.168.0.123:51273,188.40.137.224,443,192.168.0.123,51273,6,1679101066.561026,shqiperia,3.710642,80,80,107639,0,29008.187801464002,21.559611517360068,1345.4875
