FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:60493 => 173.231.244.176:443,151.252.176.115,60493,173.231.244.176,443,6,1678929725.493670,bulevardionline,3.509701,92,92,8179,0,2330.397945579979605100263527,26.21305917512631417890013993,88.90217391304348
151.252.176.115:60494 => 173.231.244.176:443,151.252.176.115,60494,173.231.244.176,443,6,1678929725.493949,bulevardionline,3.512488,13,13,1662,0,473.1688763064813317511689720,3.701080259918325699618048517,127.84615384615384
173.231.244.176:443 => 151.252.176.115:60493,173.231.244.176,443,151.252.176.115,60493,6,1678929725.604178,bulevardionline,3.399040,208,208,295839,0,87036.04547166258708341178686,61.19374882319713801543965355,1422.3028846153845
173.231.244.176:443 => 151.252.176.115:60494,173.231.244.176,443,151.252.176.115,60494,6,1678929725.605549,bulevardionline,3.400826,10,10,6573,0,1932.765745733536499662140903,2.940462111263557735679508449,657.3
151.252.176.115:60501 => 173.231.244.176:443,151.252.176.115,60501,173.231.244.176,443,6,1678929726.591398,bulevardionline,2.411935,151,151,10360,0,4295.306465555663813494144743,62.60533555008737797660384712,68.6092715231788
151.252.176.115:60502 => 173.231.244.176:443,151.252.176.115,60502,173.231.244.176,443,6,1678929726.591449,bulevardionline,0.615365,10,10,1412,0,2294.573139518822162456428299,16.25051798526078018736847237,141.2
151.252.176.115:60503 => 173.231.244.176:443,151.252.176.115,60503,173.231.244.176,443,6,1678929726.592962,bulevardionline,0.613841,9,9,1360,0,2215.557448915924482072719157,14.66177723547302966077534736,151.11111111111111
151.252.176.115:60506 => 173.231.244.176:443,151.252.176.115,60506,173.231.244.176,443,6,1678929726.617987,bulevardionline,0.587788,9,9,1372,0,2334.174906598977862766847911,15.31164297331691017849973120,152.44444444444446
151.252.176.115:60507 => 173.231.244.176:443,151.252.176.115,60507,173.231.244.176,443,6,1678929726.618238,bulevardionline,0.587527,9,9,1372,0,2335.211828562772434288126333,15.31844493955171421909120772,152.44444444444446
151.252.176.115:60509 => 173.231.244.176:443,151.252.176.115,60509,173.231.244.176,443,6,1678929726.618594,bulevardionline,0.587155,12,12,1516,0,2581.941735998160621982270440,20.43753353032844819511032010,126.33333333333333
173.231.244.176:443 => 151.252.176.115:60501,173.231.244.176,443,151.252.176.115,60501,6,1678929726.724615,bulevardionline,2.278593,728,728,1077150,0,472725.9321870996707178508843,319.4954079118122455392428573,1479.6016483516485
173.231.244.176:443 => 151.252.176.115:60503,173.231.244.176,443,151.252.176.115,60503,6,1678929726.724620,bulevardionline,0.482156,8,8,5640,0,11697.45891371257435352873344,16.59214030313840333833862899,705.0
173.231.244.176:443 => 151.252.176.115:60502,173.231.244.176,443,151.252.176.115,60502,6,1678929726.724621,bulevardionline,0.482159,8,8,5640,0,11697.38613196061880002239925,16.59203706661080680854241028,705.0
173.231.244.176:443 => 151.252.176.115:60509,173.231.244.176,443,151.252.176.115,60509,6,1678929726.729479,bulevardionline,0.476217,8,8,5640,0,11843.34032594384492783751945,16.79906429211892897565605596,705.0
173.231.244.176:443 => 151.252.176.115:60506,173.231.244.176,443,151.252.176.115,60506,6,1678929726.731099,bulevardionline,0.474602,8,8,5640,0,11883.64145115275536133433909,16.85622900872731256926856608,705.0
173.231.244.176:443 => 151.252.176.115:60507,173.231.244.176,443,151.252.176.115,60507,6,1678929726.731106,bulevardionline,0.474595,8,8,5640,0,11883.81672794698637785901664,16.85647762829359769909080374,705.0
