FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:53764 => 173.231.244.176:443,151.252.176.115,53764,173.231.244.176,443,6,1678931787.628485,bulevardionline,3.501078,99,99,8543,0,2440.105590335319578712613658,28.27700496818408501610075525,86.29292929292929
151.252.176.115:53765 => 173.231.244.176:443,151.252.176.115,53765,173.231.244.176,443,6,1678931787.628700,bulevardionline,0.559311,12,12,1586,0,2835.631696855595545233331724,21.45496870256440513417401052,132.16666666666666
151.252.176.115:53766 => 173.231.244.176:443,151.252.176.115,53766,173.231.244.176,443,6,1678931787.711450,bulevardionline,3.421414,13,13,1662,0,485.7640729826907822321414480,3.799598645472310571009529978,127.84615384615384
173.231.244.176:443 => 151.252.176.115:53764,173.231.244.176,443,151.252.176.115,53764,6,1678931787.738253,bulevardionline,3.391144,209,209,295870,0,87247.84320571464968753907236,61.63111917394248076755218888,1415.6459330143541
173.231.244.176:443 => 151.252.176.115:53765,173.231.244.176,443,151.252.176.115,53765,6,1678931787.738258,bulevardionline,0.449550,9,9,6459,0,14367.70103436770103436770103,20.02002002002002002002002002,717.6666666666666
173.231.244.176:443 => 151.252.176.115:53766,173.231.244.176,443,151.252.176.115,53766,6,1678931787.823308,bulevardionline,3.309441,10,10,6573,0,1986.136027202177044401154153,3.021658340487109454436564967,657.3
151.252.176.115:53777 => 173.231.244.176:443,151.252.176.115,53777,173.231.244.176,443,6,1678931788.793490,bulevardionline,0.574373,10,10,1412,0,2458.332825533233630410900234,17.41028913267162627769759372,141.2
151.252.176.115:53778 => 173.231.244.176:443,151.252.176.115,53778,173.231.244.176,443,6,1678931788.793546,bulevardionline,0.574337,10,10,1412,0,2458.486916218178525848064812,17.41138042647435216606278196,141.2
151.252.176.115:53779 => 173.231.244.176:443,151.252.176.115,53779,173.231.244.176,443,6,1678931788.793588,bulevardionline,2.336040,147,147,10159,0,4348.812520333555932261433880,62.92700467457749011147069399,69.10884353741497
151.252.176.115:53780 => 173.231.244.176:443,151.252.176.115,53780,173.231.244.176,443,6,1678931788.793622,bulevardionline,0.569832,10,10,1412,0,2477.923317749792921422454337,17.54903199539513400440831684,141.2
151.252.176.115:53781 => 173.231.244.176:443,151.252.176.115,53781,173.231.244.176,443,6,1678931788.793655,bulevardionline,0.569816,10,10,1412,0,2477.992895952377609614331644,17.54952475886952981313266037,141.2
151.252.176.115:53782 => 173.231.244.176:443,151.252.176.115,53782,173.231.244.176,443,6,1678931788.793687,bulevardionline,0.574187,10,10,1412,0,2459.129168720294956172814780,17.41592895694259883975081289,141.2
173.231.244.176:443 => 151.252.176.115:53779,173.231.244.176,443,151.252.176.115,53779,6,1678931788.903315,bulevardionline,2.226090,727,727,1077054,0,483832.1900731776343274530679,326.5815847517395972310194107,1481.5048143053646
173.231.244.176:443 => 151.252.176.115:53780,173.231.244.176,443,151.252.176.115,53780,6,1678931788.903323,bulevardionline,0.460029,8,8,5640,0,12260.09664608100793645617994,17.39020800862554317227826941,705.0
173.231.244.176:443 => 151.252.176.115:53781,173.231.244.176,443,151.252.176.115,53781,6,1678931788.903324,bulevardionline,0.460028,8,8,5640,0,12260.12329684280087299033972,17.39024581112454024537636839,705.0
173.231.244.176:443 => 151.252.176.115:53778,173.231.244.176,443,151.252.176.115,53778,6,1678931788.905421,bulevardionline,0.462386,8,8,5640,0,12197.60113844277292132547266,17.30156189850038712244747895,705.0
173.231.244.176:443 => 151.252.176.115:53777,173.231.244.176,443,151.252.176.115,53777,6,1678931788.905425,bulevardionline,0.462378,8,8,5640,0,12197.81217964522533511542504,17.30186124772372387959634758,705.0
173.231.244.176:443 => 151.252.176.115:53782,173.231.244.176,443,151.252.176.115,53782,6,1678931788.905426,bulevardionline,0.462381,8,8,5640,0,12197.73303833851304443737956,17.30174899055108233253529016,705.0
