FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:55765 => 173.231.244.176:443,151.252.176.115,55765,173.231.244.176,443,6,1678929039.326063,bulevardionline,3.633564,13,13,1662,0,457.4021539183017004791989353,3.577754513199712458621892995,127.84615384615384
151.252.176.115:55766 => 173.231.244.176:443,151.252.176.115,55766,173.231.244.176,443,6,1678929039.326242,bulevardionline,3.631760,75,75,7295,0,2008.667973654646782827059057,20.65114434874551181796153931,97.26666666666667
173.231.244.176:443 => 151.252.176.115:55766,173.231.244.176,443,151.252.176.115,55766,6,1678929039.435625,bulevardionline,3.522151,210,210,295878,0,84004.91631392294083927690778,59.62265672312175145245050539,1408.942857142857
173.231.244.176:443 => 151.252.176.115:55765,173.231.244.176,443,151.252.176.115,55765,6,1678929039.437112,bulevardionline,3.522327,10,10,6573,0,1866.095907620161330847476682,2.839032264749979204088660706,657.3
151.252.176.115:55778 => 173.231.244.176:443,151.252.176.115,55778,173.231.244.176,443,6,1678929040.463170,bulevardionline,2.494764,166,166,11228,0,4500.626111327564450986145383,66.53936003565868354682046077,67.63855421686748
151.252.176.115:55779 => 173.231.244.176:443,151.252.176.115,55779,173.231.244.176,443,6,1678929040.463220,bulevardionline,0.838843,11,11,1538,0,1833.477778320853842733383959,13.11330010502561265934149775,139.8181818181818
151.252.176.115:55780 => 173.231.244.176:443,151.252.176.115,55780,173.231.244.176,443,6,1678929040.463256,bulevardionline,0.721962,9,9,1372,0,1900.377028153836351497724257,12.46603006806452417163230198,152.44444444444446
151.252.176.115:55781 => 173.231.244.176:443,151.252.176.115,55781,173.231.244.176,443,6,1678929040.463288,bulevardionline,0.838809,10,10,1412,0,1683.339115340917896684465713,11.92166512281103326263785916,141.2
151.252.176.115:55782 => 173.231.244.176:443,151.252.176.115,55782,173.231.244.176,443,6,1678929040.463320,bulevardionline,0.838751,10,10,1412,0,1683.455518980007177338685736,11.92248951118985253072723609,141.2
151.252.176.115:55783 => 173.231.244.176:443,151.252.176.115,55783,173.231.244.176,443,6,1678929040.463351,bulevardionline,0.838737,10,10,1412,0,1683.483618822109910496377291,11.92268851857018350209898931,141.2
173.231.244.176:443 => 151.252.176.115:55778,173.231.244.176,443,151.252.176.115,55778,6,1678929040.845787,bulevardionline,2.111980,727,727,1077120,0,510004.8295911893105048343261,344.2267445714448053485354975,1481.595598349381
173.231.244.176:443 => 151.252.176.115:55779,173.231.244.176,443,151.252.176.115,55779,6,1678929040.847032,bulevardionline,0.454815,9,9,6360,0,13983.70766135681540846278157,19.78826555852379538933412486,706.6666666666666
173.231.244.176:443 => 151.252.176.115:55780,173.231.244.176,443,151.252.176.115,55780,6,1678929040.847037,bulevardionline,0.454810,8,8,5628,0,12374.39810030562212792154966,17.58976275807480046612871309,703.5
173.231.244.176:443 => 151.252.176.115:55782,173.231.244.176,443,151.252.176.115,55782,6,1678929040.847037,bulevardionline,0.454811,8,8,5640,0,12400.75547864937303627220978,17.58972408319060005144994294,705.0
173.231.244.176:443 => 151.252.176.115:55783,173.231.244.176,443,151.252.176.115,55783,6,1678929040.847038,bulevardionline,0.454810,8,8,5640,0,12400.78274444273432862074273,17.58976275807480046612871309,705.0
173.231.244.176:443 => 151.252.176.115:55781,173.231.244.176,443,151.252.176.115,55781,6,1678929040.847038,bulevardionline,0.454810,8,8,5640,0,12400.78274444273432862074273,17.58976275807480046612871309,705.0
