FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:58621 => 173.231.244.176:443,151.252.176.115,58621,173.231.244.176,443,6,1678932702.274328,bulevardionline,0.565071,12,12,1586,0,2806.726942278050014953873053,21.23626942455018926825124630,132.16666666666666
151.252.176.115:58622 => 173.231.244.176:443,151.252.176.115,58622,173.231.244.176,443,6,1678932702.274506,bulevardionline,3.735622,89,89,8023,0,2147.701239579379284092448326,23.82468033435931151492308376,90.14606741573034
173.231.244.176:443 => 151.252.176.115:58622,173.231.244.176,443,151.252.176.115,58622,6,1678932702.384483,bulevardionline,3.625473,207,207,295744,0,81573.90773562511705369202860,57.09599823250648949805997728,1428.7149758454107
173.231.244.176:443 => 151.252.176.115:58621,173.231.244.176,443,151.252.176.115,58621,6,1678932702.384849,bulevardionline,0.454353,9,9,6459,0,14215.81897775518154386567273,19.80838687100118190041663640,717.6666666666666
151.252.176.115:58634 => 173.231.244.176:443,151.252.176.115,58634,173.231.244.176,443,6,1678932703.495945,bulevardionline,0.582636,10,10,1412,0,2423.468512072717786061966648,17.16337473139318545369664765,141.2
151.252.176.115:58635 => 173.231.244.176:443,151.252.176.115,58635,173.231.244.176,443,6,1678932703.496001,bulevardionline,0.581739,11,11,1464,0,2516.592492509527468503916705,18.90882337268087578793926486,133.0909090909091
151.252.176.115:58636 => 173.231.244.176:443,151.252.176.115,58636,173.231.244.176,443,6,1678932703.496108,bulevardionline,0.582490,11,11,1464,0,2513.347868632937904513382204,18.88444436814365911861147831,133.0909090909091
151.252.176.115:58637 => 173.231.244.176:443,151.252.176.115,58637,173.231.244.176,443,6,1678932703.496152,bulevardionline,0.581606,10,10,1412,0,2427.760373861342558364253464,17.19377035312565551249471292,141.2
151.252.176.115:58638 => 173.231.244.176:443,151.252.176.115,58638,173.231.244.176,443,6,1678932703.496187,bulevardionline,0.580973,12,12,1590,0,2736.788112356340139731106265,20.65500462155728407344231143,132.5
151.252.176.115:58639 => 173.231.244.176:443,151.252.176.115,58639,173.231.244.176,443,6,1678932703.496219,bulevardionline,2.513976,142,142,9947,0,3956.680572925119412436713795,56.48423055749140007700948617,70.04929577464789
173.231.244.176:443 => 151.252.176.115:58639,173.231.244.176,443,151.252.176.115,58639,6,1678932703.608055,bulevardionline,2.401910,728,728,1077260,0,448501.4009683959848620472874,303.0921225191618337073412409,1479.7527472527472
173.231.244.176:443 => 151.252.176.115:58638,173.231.244.176,443,151.252.176.115,58638,6,1678932703.608063,bulevardionline,0.468988,9,9,6298,0,13428.91502554436360845053605,19.19025646711642941823671395,699.7777777777778
173.231.244.176:443 => 151.252.176.115:58635,173.231.244.176,443,151.252.176.115,58635,6,1678932703.609675,bulevardionline,0.468026,8,8,5640,0,12050.61257280578429403494678,17.09306747915714084260276139,705.0
173.231.244.176:443 => 151.252.176.115:58636,173.231.244.176,443,151.252.176.115,58636,6,1678932703.609681,bulevardionline,0.468854,8,8,5640,0,12029.33109240829767902161440,17.06288098213942933194555235,705.0
173.231.244.176:443 => 151.252.176.115:58637,173.231.244.176,443,151.252.176.115,58637,6,1678932703.609681,bulevardionline,0.468021,8,8,5640,0,12050.74131288980622664367625,17.09325008920539890304067553,705.0
173.231.244.176:443 => 151.252.176.115:58634,173.231.244.176,443,151.252.176.115,58634,6,1678932703.609682,bulevardionline,0.468848,8,8,5640,0,12029.48503566187762345152373,17.06309934136436542333549466,705.0
