FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:65395 => 173.231.244.176:443,151.252.176.115,65395,173.231.244.176,443,6,1678930859.334638,bulevardionline,3.635150,13,13,1662,0,457.2025913648680247032447079,3.576193554598847365308171602,127.84615384615384
151.252.176.115:65396 => 173.231.244.176:443,151.252.176.115,65396,173.231.244.176,443,6,1678930859.334819,bulevardionline,3.633107,77,77,7399,0,2036.548882265234687555307344,21.19398079935438180048096574,96.0909090909091
173.231.244.176:443 => 151.252.176.115:65396,173.231.244.176,443,151.252.176.115,65396,6,1678930859.443635,bulevardionline,3.524160,208,208,295774,0,83927.51747934259511486425134,59.02115681467356760192499773,1421.9903846153845
173.231.244.176:443 => 151.252.176.115:65395,173.231.244.176,443,151.252.176.115,65395,6,1678930859.446233,bulevardionline,3.523476,10,10,6573,0,1865.487376670083746845444669,2.838106460779071575909698264,657.3
151.252.176.115:65408 => 173.231.244.176:443,151.252.176.115,65408,173.231.244.176,443,6,1678930860.497281,bulevardionline,0.862030,10,10,1412,0,1637.994037330487338027678851,11.60052434370033525515353294,141.2
151.252.176.115:65409 => 173.231.244.176:443,151.252.176.115,65409,173.231.244.176,443,6,1678930860.497339,bulevardionline,0.842865,10,10,1412,0,1675.238620656926079502648704,11.86429618028984475568448091,141.2
151.252.176.115:65410 => 173.231.244.176:443,151.252.176.115,65410,173.231.244.176,443,6,1678930860.497382,bulevardionline,0.596424,10,10,1412,0,2367.443295373760948586911325,16.76659557630142314863251646,141.2
151.252.176.115:65411 => 173.231.244.176:443,151.252.176.115,65411,173.231.244.176,443,6,1678930860.497414,bulevardionline,2.470559,147,147,10161,0,4112.834382825911058995150490,59.50070409166508470350232478,69.12244897959184
151.252.176.115:65412 => 173.231.244.176:443,151.252.176.115,65412,173.231.244.176,443,6,1678930860.497445,bulevardionline,0.827657,10,10,1412,0,1706.020730809985295841151588,12.08229979327185053711863731,141.2
151.252.176.115:65413 => 173.231.244.176:443,151.252.176.115,65413,173.231.244.176,443,6,1678930860.497475,bulevardionline,0.596364,10,10,1412,0,2367.681483121046877410440603,16.76828245836435465588130739,141.2
173.231.244.176:443 => 151.252.176.115:65411,173.231.244.176,443,151.252.176.115,65411,6,1678930860.607111,bulevardionline,2.360690,728,728,1077194,0,456304.7244661518454350211167,308.3844130317830803705696216,1479.6620879120878
173.231.244.176:443 => 151.252.176.115:65412,173.231.244.176,443,151.252.176.115,65412,6,1678930860.607120,bulevardionline,0.717954,9,9,5692,0,7928.084529092393105965006115,12.53562205935199191034523103,632.4444444444445
173.231.244.176:443 => 151.252.176.115:65413,173.231.244.176,443,151.252.176.115,65413,6,1678930860.608648,bulevardionline,0.485173,8,8,5640,0,11624.71942997652383788875308,16.48896373046315437998404693,705.0
173.231.244.176:443 => 151.252.176.115:65408,173.231.244.176,443,151.252.176.115,65408,6,1678930860.608652,bulevardionline,0.750590,9,9,5692,0,7583.367750702780479356239758,11.99056742029603378675441986,632.4444444444445
173.231.244.176:443 => 151.252.176.115:65409,173.231.244.176,443,151.252.176.115,65409,6,1678930860.608653,bulevardionline,0.731470,9,9,5692,0,7781.590495850820949594651865,12.30399059428274570385661750,632.4444444444445
173.231.244.176:443 => 151.252.176.115:65410,173.231.244.176,443,151.252.176.115,65410,6,1678930860.608653,bulevardionline,0.484932,8,8,5640,0,11630.49664695256242112296157,16.49715836447171974627370435,705.0
