FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:60232 => 144.91.119.216:443,151.252.176.115,60232,144.91.119.216,443,6,1678929675.710866,gazetaolle,1.616253,120,120,20717,0,12817.91897679385591240975268,74.24580186394085579423518471,172.64166666666668
151.252.176.115:60233 => 144.91.119.216:443,151.252.176.115,60233,144.91.119.216,443,6,1678929675.711260,gazetaolle,1.615936,176,176,22122,0,13689.89860984593449245514674,108.9152045625569329478395184,125.69318181818181
144.91.119.216:443 => 151.252.176.115:60232,144.91.119.216,443,151.252.176.115,60232,6,1678929675.749549,gazetaolle,1.577304,309,309,437216,0,277191.9680670308323569838154,195.9038967757642153953835152,1414.9385113268609
144.91.119.216:443 => 151.252.176.115:60233,144.91.119.216,443,151.252.176.115,60233,6,1678929675.749557,gazetaolle,1.577298,672,672,979233,0,620829.4184104715786110170684,426.0450466557365824340105674,1457.1919642857142
151.252.176.115:60235 => 144.91.119.216:443,151.252.176.115,60235,144.91.119.216,443,6,1678929675.857647,gazetaolle,1.469428,141,141,19892,0,13537.24034113954545578279439,95.95570521318499443320802380,141.07801418439718
151.252.176.115:60236 => 144.91.119.216:443,151.252.176.115,60236,144.91.119.216,443,6,1678929675.857781,gazetaolle,1.476637,170,170,23329,0,15798.73726582768818606062289,115.1264664233660676252863771,137.22941176470587
151.252.176.115:60237 => 144.91.119.216:443,151.252.176.115,60237,144.91.119.216,443,6,1678929675.857969,gazetaolle,1.469060,52,52,6602,0,4494.030196179870121029774141,35.39678433828434509141900263,126.96153846153847
151.252.176.115:60238 => 144.91.119.216:443,151.252.176.115,60238,144.91.119.216,443,6,1678929675.858018,gazetaolle,1.469140,19,19,4028,0,2741.740065616619246634085247,12.93273615856895871053813796,212.0
144.91.119.216:443 => 151.252.176.115:60236,144.91.119.216,443,151.252.176.115,60236,6,1678929675.897004,gazetaolle,1.437285,424,424,610326,0,424638.1197883509533599807971,295.0006435745172321425465374,1439.448113207547
144.91.119.216:443 => 151.252.176.115:60237,144.91.119.216,443,151.252.176.115,60237,6,1678929675.897473,gazetaolle,1.429380,86,86,114162,0,79868.19460185534987197246359,60.16594607452182064951237600,1327.4651162790697
144.91.119.216:443 => 151.252.176.115:60235,144.91.119.216,443,151.252.176.115,60235,6,1678929675.897473,gazetaolle,1.429380,403,403,579616,0,405501.6860456981348556716898,281.9404217213057409506219480,1438.2531017369727
144.91.119.216:443 => 151.252.176.115:60238,144.91.119.216,443,151.252.176.115,60238,6,1678929675.897473,gazetaolle,1.429381,30,30,29739,0,20805.50951775628751186702496,20.98810604030695804687483603,991.3
