FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:55504 => 144.91.119.216:443,151.252.176.115,55504,144.91.119.216,443,6,1678928987.927382,gazetaolle,1.527898,95,95,16722,0,10944.44786235730395615414118,62.17692542303216575975621409,176.02105263157895
151.252.176.115:55505 => 144.91.119.216:443,151.252.176.115,55505,144.91.119.216,443,6,1678928987.930647,gazetaolle,1.524548,150,150,18015,0,11816.61712192728598902756752,98.38981783453193995859756466,120.1
144.91.119.216:443 => 151.252.176.115:55504,144.91.119.216,443,151.252.176.115,55504,6,1678928987.967950,gazetaolle,1.487031,162,162,219070,0,147320.3988349940250068761176,108.9419117691561238467792534,1352.283950617284
144.91.119.216:443 => 151.252.176.115:55505,144.91.119.216,443,151.252.176.115,55505,6,1678928987.967955,gazetaolle,1.487026,506,506,737960,0,496265.7008014654753850975033,340.2764981916926805583762490,1458.4189723320158
151.252.176.115:55507 => 144.91.119.216:443,151.252.176.115,55507,144.91.119.216,443,6,1678928988.073638,gazetaolle,1.381682,124,124,15657,0,11331.84046690917302244655427,89.74568677886807528794614101,126.26612903225806
151.252.176.115:55508 => 144.91.119.216:443,151.252.176.115,55508,144.91.119.216,443,6,1678928988.073972,gazetaolle,1.381267,124,124,16926,0,12253.96682900554346118455013,89.77265076194537334201135624,136.5
151.252.176.115:55509 => 144.91.119.216:443,151.252.176.115,55509,144.91.119.216,443,6,1678928988.074420,gazetaolle,1.386469,119,119,17926,0,12929.24688543342837091921998,85.82954252853832289073899236,150.6386554621849
151.252.176.115:55510 => 144.91.119.216:443,151.252.176.115,55510,144.91.119.216,443,6,1678928988.074786,gazetaolle,1.380363,144,144,17241,0,12490.19279711206400055637539,104.3203852899563375720734329,119.72916666666667
144.91.119.216:443 => 151.252.176.115:55507,144.91.119.216,443,151.252.176.115,55507,6,1678928988.113945,gazetaolle,1.341036,372,372,541088,0,403485.0667692739046528206551,277.3974747881488640125992143,1454.5376344086021
144.91.119.216:443 => 151.252.176.115:55508,144.91.119.216,443,151.252.176.115,55508,6,1678928988.113949,gazetaolle,1.341031,236,236,333533,0,248713.8626922121859971917129,175.9840003698646787434444096,1413.2754237288136
144.91.119.216:443 => 151.252.176.115:55510,144.91.119.216,443,151.252.176.115,55510,6,1678928988.113949,gazetaolle,1.341031,420,420,608068,0,453433.2166817918452295286239,313.1918650650134113230790340,1447.7809523809524
144.91.119.216:443 => 151.252.176.115:55509,144.91.119.216,443,151.252.176.115,55509,6,1678928988.113949,gazetaolle,1.346804,228,228,315886,0,234544.8929465608952750363082,169.2896664993569962667173546,1385.4649122807018
