FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:65109 => 144.91.119.216:443,151.252.176.115,65109,144.91.119.216,443,6,1678930809.758159,gazetaolle,1.992705,176,176,22234,0,11157.69770236939235862809598,88.32215506058347823686897960,126.32954545454545
151.252.176.115:65110 => 144.91.119.216:443,151.252.176.115,65110,144.91.119.216,443,6,1678930809.758398,gazetaolle,1.992593,139,139,16253,0,8156.708369446244165266062864,69.75835004940798246305191276,116.92805755395683
144.91.119.216:443 => 151.252.176.115:65109,144.91.119.216,443,151.252.176.115,65109,6,1678930809.796779,gazetaolle,1.953920,401,401,577513,0,295566.3486734359646249590567,205.2284638060923681624631510,1440.1820448877806
144.91.119.216:443 => 151.252.176.115:65110,144.91.119.216,443,151.252.176.115,65110,6,1678930809.796784,gazetaolle,1.953917,567,567,830968,0,425283.1619766858059989242122,290.1863282831358752700344999,1465.5520282186949
151.252.176.115:65112 => 144.91.119.216:443,151.252.176.115,65112,144.91.119.216,443,6,1678930810.408851,gazetaolle,1.342053,90,90,14634,0,10904.18932784323718958938283,67.06143498058571457312043563,162.6
151.252.176.115:65113 => 144.91.119.216:443,151.252.176.115,65113,144.91.119.216,443,6,1678930810.409739,gazetaolle,1.341332,104,104,15331,0,11429.68332970509911043649149,77.53486832491881204653284944,147.41346153846155
151.252.176.115:65114 => 144.91.119.216:443,151.252.176.115,65114,144.91.119.216,443,6,1678930810.410181,gazetaolle,1.340769,106,106,15953,0,11898.39562221381908442095544,79.05910712434431285329538496,150.5
151.252.176.115:65115 => 144.91.119.216:443,151.252.176.115,65115,144.91.119.216,443,6,1678930810.410864,gazetaolle,1.340165,97,97,16005,0,11942.55931172654113486025974,72.37914734379721899915308936,165.0
144.91.119.216:443 => 151.252.176.115:65112,144.91.119.216,443,151.252.176.115,65112,6,1678930810.447504,gazetaolle,1.303196,233,233,329312,0,252695.6804655631232753937244,178.7912178981519280292450253,1413.3562231759656
144.91.119.216:443 => 151.252.176.115:65113,144.91.119.216,443,151.252.176.115,65113,6,1678930810.447509,gazetaolle,1.303193,258,258,363798,0,279158.9580361466029974071377,197.9752807143684780381723966,1410.0697674418604
144.91.119.216:443 => 151.252.176.115:65114,144.91.119.216,443,151.252.176.115,65114,6,1678930810.447509,gazetaolle,1.303192,192,192,268037,0,205677.2908366533864541832669,147.3305545153745572409898158,1396.0260416666667
144.91.119.216:443 => 151.252.176.115:65115,144.91.119.216,443,151.252.176.115,65115,6,1678930810.449893,gazetaolle,1.300808,172,172,232966,0,179093.3020092127354690315558,132.2255090682099126081635414,1354.453488372093
