FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:58302 => 144.91.119.216:443,151.252.176.115,58302,144.91.119.216,443,6,1678932592.382639,gazetaolle,1.450942,167,167,20296,0,13988.15390277488693552188854,115.0976400159344756716670963,121.53293413173652
151.252.176.115:58303 => 144.91.119.216:443,151.252.176.115,58303,144.91.119.216,443,6,1678932592.383081,gazetaolle,1.450560,112,112,17410,0,12002.26119567615265828369733,77.21155967350540480917714538,155.44642857142858
144.91.119.216:443 => 151.252.176.115:58302,144.91.119.216,443,151.252.176.115,58302,6,1678932592.420162,gazetaolle,1.413212,481,481,698047,0,493943.5838359708239103545682,340.3594082133466174926338016,1451.2411642411641
144.91.119.216:443 => 151.252.176.115:58303,144.91.119.216,443,151.252.176.115,58303,6,1678932592.421612,gazetaolle,1.411763,254,254,359696,0,254784.9745318442259784397239,179.9168840662349133671869854,1416.1259842519685
151.252.176.115:58305 => 144.91.119.216:443,151.252.176.115,58305,144.91.119.216,443,6,1678932592.514198,gazetaolle,1.319490,98,98,15519,0,11761.36234454220949003023896,74.27111990238652812829199160,158.35714285714286
151.252.176.115:58306 => 144.91.119.216:443,151.252.176.115,58306,144.91.119.216,443,6,1678932592.514362,gazetaolle,1.319374,112,112,16642,0,12613.55764173009321087121620,84.88874269160980889421801551,148.58928571428572
151.252.176.115:58307 => 144.91.119.216:443,151.252.176.115,58307,144.91.119.216,443,6,1678932592.514544,gazetaolle,1.319298,107,107,17284,0,13100.90669431773564425929547,81.10373850335557243321827214,161.53271028037383
151.252.176.115:58308 => 144.91.119.216:443,151.252.176.115,58308,144.91.119.216,443,6,1678932592.514600,gazetaolle,1.319193,103,103,15052,0,11410.00596576846602430425268,78.07803710298644701722947287,146.1359223300971
144.91.119.216:443 => 151.252.176.115:58306,144.91.119.216,443,151.252.176.115,58306,6,1678932592.557472,gazetaolle,1.275904,292,292,416393,0,326351.3555878812199036918138,228.8573434991974317817014446,1426.0034246575342
144.91.119.216:443 => 151.252.176.115:58305,144.91.119.216,443,151.252.176.115,58305,6,1678932592.557473,gazetaolle,1.275902,180,180,248328,0,194629.3680862636785583845781,141.0766657627309934462051161,1379.6
144.91.119.216:443 => 151.252.176.115:58307,144.91.119.216,443,151.252.176.115,58307,6,1678932592.557473,gazetaolle,1.275907,282,282,399146,0,312833.1453624754782284288745,221.0192435655576777931306906,1415.4113475177305
144.91.119.216:443 => 151.252.176.115:58308,144.91.119.216,443,151.252.176.115,58308,6,1678932592.557474,gazetaolle,1.275903,437,437,631666,0,495073.6850685357742712416226,342.5025256622172688676176794,1445.4599542334097
