FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:50541 => 144.91.119.216:443,151.252.176.115,50541,144.91.119.216,443,6,1678927510.817148,gazetaolle,1.547685,75,75,15459,0,9988.466645344498395991432365,48.45947334244371432171275163,206.12
151.252.176.115:50542 => 144.91.119.216:443,151.252.176.115,50542,144.91.119.216,443,6,1678927510.817753,gazetaolle,1.547155,94,94,16493,0,10660.21180812523632085990091,60.75667919503863543083918547,175.45744680851064
144.91.119.216:443 => 151.252.176.115:50541,144.91.119.216,443,151.252.176.115,50541,6,1678927510.856466,gazetaolle,1.508201,176,176,241214,0,159934.9158368148542535113025,116.6953211143607516504762959,1370.534090909091
144.91.119.216:443 => 151.252.176.115:50542,144.91.119.216,443,151.252.176.115,50542,6,1678927510.856471,gazetaolle,1.508197,228,228,319926,0,212124.8086291114489685366036,151.1738851091734037396971351,1403.1842105263158
151.252.176.115:50544 => 144.91.119.216:443,151.252.176.115,50544,144.91.119.216,443,6,1678927510.954416,gazetaolle,1.410468,126,126,16165,0,11460.73501844777761707461637,89.33205148929291554292617769,128.29365079365078
151.252.176.115:50545 => 144.91.119.216:443,151.252.176.115,50545,144.91.119.216,443,6,1678927510.954742,gazetaolle,1.417500,142,142,19059,0,13445.50264550264550264550265,100.1763668430335097001763668,134.21830985915494
151.252.176.115:50546 => 144.91.119.216:443,151.252.176.115,50546,144.91.119.216,443,6,1678927510.954811,gazetaolle,1.410047,119,119,16314,0,11569.82710505394501034362684,84.39434997556819028018214996,137.0924369747899
151.252.176.115:50547 => 144.91.119.216:443,151.252.176.115,50547,144.91.119.216,443,6,1678927510.954877,gazetaolle,1.409921,110,110,16607,0,11778.67412429490730331699436,78.01855564957185544438305409,150.97272727272727
144.91.119.216:443 => 151.252.176.115:50545,144.91.119.216,443,151.252.176.115,50545,6,1678927510.994559,gazetaolle,1.377561,377,377,542501,0,393812.6877866025533533542253,273.6720914718114116180699076,1438.9946949602122
144.91.119.216:443 => 151.252.176.115:50546,144.91.119.216,443,151.252.176.115,50546,6,1678927510.994563,gazetaolle,1.370105,306,306,436987,0,318944.1685126322435141832195,223.3405468923914590487590367,1428.062091503268
144.91.119.216:443 => 151.252.176.115:50544,144.91.119.216,443,151.252.176.115,50544,6,1678927510.994563,gazetaolle,1.370105,632,632,924321,0,674635.1556997456399327058875,461.2785151502986997346918667,1462.5332278481012
144.91.119.216:443 => 151.252.176.115:50547,144.91.119.216,443,151.252.176.115,50547,6,1678927510.994564,gazetaolle,1.370103,249,249,351118,0,256271.2438407915317315559487,181.7381612915233380264111530,1410.1124497991968
