FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:63135 => 144.91.119.216:443,151.252.176.115,63135,144.91.119.216,443,6,1678933424.909959,gazetaolle,1.204911,96,96,17162,0,14243.37565181162758079227428,79.67393442337234866309627848,178.77083333333334
151.252.176.115:63136 => 144.91.119.216:443,151.252.176.115,63136,144.91.119.216,443,6,1678933424.910206,gazetaolle,1.204546,138,138,18159,0,15075.38939982366800437675274,114.5659858569120647945366968,131.58695652173913
144.91.119.216:443 => 151.252.176.115:63135,144.91.119.216,443,151.252.176.115,63135,6,1678933424.949225,gazetaolle,1.165282,189,189,260115,0,223220.6453030253621011909564,162.1924993263433229038121244,1376.2698412698412
144.91.119.216:443 => 151.252.176.115:63136,144.91.119.216,443,151.252.176.115,63136,6,1678933424.949231,gazetaolle,1.165272,472,472,683671,0,586705.0782993155246157120398,405.0556436608791767072408845,1448.4555084745762
151.252.176.115:63138 => 144.91.119.216:443,151.252.176.115,63138,144.91.119.216,443,6,1678933425.050666,gazetaolle,1.064177,135,135,18188,0,17091.14179314155445945552291,126.8585958914729410614963488,134.72592592592594
151.252.176.115:63139 => 144.91.119.216:443,151.252.176.115,63139,144.91.119.216,443,6,1678933425.051351,gazetaolle,1.063327,90,90,15072,0,14174.37909504790153922546874,84.64000255800896619760431175,167.46666666666667
151.252.176.115:63140 => 144.91.119.216:443,151.252.176.115,63140,144.91.119.216,443,6,1678933425.052056,gazetaolle,1.062760,73,73,15316,0,14411.53223681734352064435997,68.68907373254544770220934171,209.8082191780822
151.252.176.115:63141 => 144.91.119.216:443,151.252.176.115,63141,144.91.119.216,443,6,1678933425.052166,gazetaolle,1.062616,137,137,16666,0,15683.93474218344161955024204,128.9271006647744810919466675,121.64963503649635
144.91.119.216:443 => 151.252.176.115:63138,144.91.119.216,443,151.252.176.115,63138,6,1678933425.088530,gazetaolle,1.025976,434,434,630551,0,614586.5010487574758084009762,423.0118443316412859560067682,1452.8824884792627
144.91.119.216:443 => 151.252.176.115:63139,144.91.119.216,443,151.252.176.115,63139,6,1678933425.089137,gazetaolle,1.025366,168,168,233480,0,227704.0588433788520391743046,163.8439347511035084057790096,1389.7619047619048
144.91.119.216:443 => 151.252.176.115:63140,144.91.119.216,443,151.252.176.115,63140,6,1678933425.089141,gazetaolle,1.025363,141,141,184596,0,180029.9016055777319836974808,137.5122761402547195481015016,1309.1914893617022
144.91.119.216:443 => 151.252.176.115:63141,144.91.119.216,443,151.252.176.115,63141,6,1678933425.092622,gazetaolle,1.021882,536,536,779549,0,762856.1810463439027206663783,524.5224008251441947308984795,1454.3824626865671
