FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:60556 => 95.217.115.180:443,151.252.176.115,60556,95.217.115.180,443,6,1678930206.928650,kohajone,2.059517,209,209,28507,0,13841.59489822128198019244318,101.4801043157206277005725129,136.39712918660288
151.252.176.115:60557 => 95.217.115.180:443,151.252.176.115,60557,95.217.115.180,443,6,1678930206.929445,kohajone,2.050922,387,387,38260,0,18655.02442316187548819506544,188.6956207988407165167666055,98.86304909560724
95.217.115.180:443 => 151.252.176.115:60556,95.217.115.180,443,151.252.176.115,60556,6,1678930206.947698,kohajone,2.040395,619,619,902701,0,442414.8265409393769343681003,303.3726312797276997836203284,1458.3214862681746
95.217.115.180:443 => 151.252.176.115:60557,95.217.115.180,443,151.252.176.115,60557,6,1678930206.947703,kohajone,2.032577,1051,1051,1551276,0,763206.5107496542566407078305,517.0775818087088459625391806,1476.0
151.252.176.115:60558 => 95.217.115.180:443,151.252.176.115,60558,95.217.115.180,443,6,1678930207.020968,kohajone,1.965539,444,444,37482,0,19069.57837010611338670970151,225.8922361754205843791448554,84.41891891891892
151.252.176.115:60559 => 95.217.115.180:443,151.252.176.115,60559,95.217.115.180,443,6,1678930207.021171,kohajone,1.965293,375,375,37943,0,19306.53597198992720169460737,190.8112429037298764102858963,101.18133333333333
151.252.176.115:60560 => 95.217.115.180:443,151.252.176.115,60560,95.217.115.180,443,6,1678930207.021618,kohajone,1.964907,267,267,34987,0,17805.93178201309273161528764,135.8842937604680526864630234,131.0374531835206
151.252.176.115:60561 => 95.217.115.180:443,151.252.176.115,60561,95.217.115.180,443,6,1678930207.022396,kohajone,1.964124,294,294,36416,0,18540.58094091819050121071786,149.6850504346976056501524344,123.8639455782313
95.217.115.180:443 => 151.252.176.115:60559,95.217.115.180,443,151.252.176.115,60559,6,1678930207.039384,kohajone,1.946970,772,772,1130803,0,580801.4504589182165107834224,396.5135569628705116154845735,1464.770725388601
95.217.115.180:443 => 151.252.176.115:60558,95.217.115.180,443,151.252.176.115,60558,6,1678930207.039389,kohajone,1.946975,957,957,1413632,0,726065.8200541866228379922701,491.5317351275696914444201903,1477.1494252873563
95.217.115.180:443 => 151.252.176.115:60560,95.217.115.180,443,151.252.176.115,60560,6,1678930207.040847,kohajone,1.945517,464,464,664124,0,341361.1908813955365077765961,238.4970164742842133993175079,1431.301724137931
95.217.115.180:443 => 151.252.176.115:60561,95.217.115.180,443,151.252.176.115,60561,6,1678930207.047457,kohajone,1.938907,560,560,804610,0,414981.2239576214846818336310,288.8225170160301654488843457,1436.8035714285713
151.252.176.115:60565 => 95.217.115.180:443,151.252.176.115,60565,95.217.115.180,443,6,1678930207.299358,kohajone,0.127095,11,11,1848,0,14540.30449663637436563200755,86.54943152759746646209528306,168.0
95.217.115.180:443 => 151.252.176.115:60565,95.217.115.180,443,151.252.176.115,60565,6,1678930207.333735,kohajone,0.092526,11,11,6119,0,66132.76268292155718392668007,118.8855024533644597194302142,556.2727272727273
