FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:65439 => 95.217.115.180:443,151.252.176.115,65439,95.217.115.180,443,6,1678931141.370671,kohajone,1.795747,265,265,33303,0,18545.48552774973311942049743,147.5708994641227299836781016,125.67169811320754
151.252.176.115:65440 => 95.217.115.180:443,151.252.176.115,65440,95.217.115.180,443,6,1678931141.371056,kohajone,1.795393,229,229,29585,0,16478.28636961378372311800258,127.5486759723358618419476961,129.19213973799125
95.217.115.180:443 => 151.252.176.115:65439,95.217.115.180,443,151.252.176.115,65439,6,1678931141.389246,kohajone,1.777069,840,840,1230270,0,692302.8875074631317073225632,472.6884549783941985370292318,1464.607142857143
95.217.115.180:443 => 151.252.176.115:65440,95.217.115.180,443,151.252.176.115,65440,6,1678931141.389251,kohajone,1.777068,721,721,1055463,0,593935.0660751304958504682995,405.7244855008362088563859121,1463.8876560332872
151.252.176.115:65442 => 95.217.115.180:443,151.252.176.115,65442,95.217.115.180,443,6,1678931141.457425,kohajone,1.709062,183,183,27846,0,16293.14793728957755774805127,107.0762792689791242213565102,152.1639344262295
151.252.176.115:65443 => 95.217.115.180:443,151.252.176.115,65443,95.217.115.180,443,6,1678931141.458177,kohajone,1.706967,290,290,35543,0,20822.31232355399957937089586,169.8919779937163401518599950,122.56206896551724
151.252.176.115:65444 => 95.217.115.180:443,151.252.176.115,65444,95.217.115.180,443,6,1678931141.458495,kohajone,1.704892,392,392,34850,0,20441.17750567191352883349796,229.9265877252048810129908522,88.90306122448979
151.252.176.115:65445 => 95.217.115.180:443,151.252.176.115,65445,95.217.115.180,443,6,1678931141.458897,kohajone,1.707571,166,166,27853,0,16311.47401777144259301663006,97.21411291243526623490326317,167.789156626506
95.217.115.180:443 => 151.252.176.115:65442,95.217.115.180,443,151.252.176.115,65442,6,1678931141.476252,kohajone,1.690068,550,550,793731,0,469644.4166743586648584553994,325.4306927295233091212897943,1443.1472727272728
95.217.115.180:443 => 151.252.176.115:65443,95.217.115.180,443,151.252.176.115,65443,6,1678931141.476260,kohajone,1.688762,593,593,861413,0,510085.4945812376166683049476,351.1448031161288565232993163,1452.6357504215853
95.217.115.180:443 => 151.252.176.115:65444,95.217.115.180,443,151.252.176.115,65444,6,1678931141.476261,kohajone,1.687060,1148,1148,1695519,0,1005014.048107358363069481820,680.4737235190212559126527806,1476.9329268292684
95.217.115.180:443 => 151.252.176.115:65445,95.217.115.180,443,151.252.176.115,65445,6,1678931141.477355,kohajone,1.688965,550,550,795325,0,470894.8971707525022721015533,325.6432193680745308517346422,1446.0454545454545
151.252.176.115:65451 => 95.217.115.180:443,151.252.176.115,65451,95.217.115.180,443,6,1678931141.648919,kohajone,0.175108,14,14,2028,0,11581.42403545240651483655801,79.95065902186079448112022295,144.85714285714286
95.217.115.180:443 => 151.252.176.115:65451,95.217.115.180,443,151.252.176.115,65451,6,1678931141.667277,kohajone,0.185660,13,13,7072,0,38091.13433157384466228589896,70.02046752127544974684907896,544.0
