FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:58670 => 95.217.115.180:443,151.252.176.115,58670,95.217.115.180,443,6,1678932777.897305,kohajone,1.751075,281,281,32913,0,18795.88252930342789429350542,160.4728523906743000728124152,117.12811387900356
151.252.176.115:58671 => 95.217.115.180:443,151.252.176.115,58671,95.217.115.180,443,6,1678932777.899466,kohajone,1.751171,150,150,26839,0,15326.31593373805299425355948,85.65696896533805093848630431,178.92666666666668
95.217.115.180:443 => 151.252.176.115:58670,95.217.115.180,443,151.252.176.115,58670,6,1678932777.915804,kohajone,1.732507,1137,1137,1678402,0,968770.6889495973176443154342,656.2744046633000617024923997,1476.1671064204045
95.217.115.180:443 => 151.252.176.115:58671,95.217.115.180,443,151.252.176.115,58671,6,1678932777.918922,kohajone,1.731497,578,578,837653,0,483773.8673529321737201970318,333.8151899772277976802731971,1449.226643598616
151.252.176.115:58673 => 95.217.115.180:443,151.252.176.115,58673,95.217.115.180,443,6,1678932777.980794,kohajone,1.669822,239,239,25266,0,15130.95407774002258923406207,143.1290281239557270176102603,105.71548117154812
151.252.176.115:58674 => 95.217.115.180:443,151.252.176.115,58674,95.217.115.180,443,6,1678932777.981163,kohajone,1.669433,185,185,28813,0,17259.15325742332875892593473,110.8160674911781425190468860,155.74594594594595
151.252.176.115:58675 => 95.217.115.180:443,151.252.176.115,58675,95.217.115.180,443,6,1678932777.981268,kohajone,1.669339,161,161,28497,0,17070.82863336925573535393350,96.44535951056076686640640397,177.0
151.252.176.115:58676 => 95.217.115.180:443,151.252.176.115,58676,95.217.115.180,443,6,1678932777.981856,kohajone,1.668691,271,271,31821,0,19069.43826028905291632782822,162.4027456251636761988888296,117.42066420664207
95.217.115.180:443 => 151.252.176.115:58673,95.217.115.180,443,151.252.176.115,58673,6,1678932777.999946,kohajone,1.650473,1025,1025,1517080,0,919178.9262835562896212176752,621.0340914392419627585546689,1480.0780487804877
95.217.115.180:443 => 151.252.176.115:58674,95.217.115.180,443,151.252.176.115,58674,6,1678932777.999952,kohajone,1.650467,516,516,744519,0,451095.9625366638654392968778,312.6387864767971731637166935,1442.8662790697674
95.217.115.180:443 => 151.252.176.115:58676,95.217.115.180,443,151.252.176.115,58676,6,1678932777.999952,kohajone,1.650461,674,674,985131,0,596882.3256047855720310870720,408.3707521716659769603765251,1461.6186943620178
95.217.115.180:443 => 151.252.176.115:58675,95.217.115.180,443,151.252.176.115,58675,6,1678932777.999953,kohajone,1.650466,407,407,578489,0,350500.4041282886166694739546,246.5970216896318979003505677,1421.3488943488944
151.252.176.115:58682 => 95.217.115.180:443,151.252.176.115,58682,95.217.115.180,443,6,1678932778.127368,kohajone,0.150130,11,11,1848,0,12309.33191234263638180243789,73.26983281156331179644308266,168.0
95.217.115.180:443 => 151.252.176.115:58682,95.217.115.180,443,151.252.176.115,58682,6,1678932778.148132,kohajone,0.129131,11,11,6119,0,47385.98787278035483346369191,85.18481232237030612323919121,556.2727272727273
