FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:62433 => 95.217.115.180:443,151.252.176.115,62433,95.217.115.180,443,6,1678926917.447290,kohajone,1.829641,439,439,39846,0,21778.04279637371484351301703,239.9377801437549770692720594,90.76537585421413
151.252.176.115:62434 => 95.217.115.180:443,151.252.176.115,62434,95.217.115.180,443,6,1678926917.447553,kohajone,1.831423,271,271,30147,0,16460.97051309282454135390895,147.9723690267076475505658715,111.24354243542436
95.217.115.180:443 => 151.252.176.115:62433,95.217.115.180,443,151.252.176.115,62433,6,1678926917.465876,kohajone,1.810990,1178,1178,1740918,0,961307.3512277814896824388870,650.4729457368621582670252183,1477.8590831918507
95.217.115.180:443 => 151.252.176.115:62434,95.217.115.180,443,151.252.176.115,62434,6,1678926917.465881,kohajone,1.812989,808,808,1186685,0,654546.1665790581189406003015,445.6728639831791588365952579,1468.6695544554455
151.252.176.115:62436 => 95.217.115.180:443,151.252.176.115,62436,95.217.115.180,443,6,1678926917.534907,kohajone,1.744042,346,346,36415,0,20879.65771466512847741052108,198.3897176788173679303594753,105.24566473988439
151.252.176.115:62437 => 95.217.115.180:443,151.252.176.115,62437,95.217.115.180,443,6,1678926917.535051,kohajone,1.743178,287,287,35111,0,20141.94763816431827386531955,164.6418208582256086297555384,122.33797909407666
151.252.176.115:62438 => 95.217.115.180:443,151.252.176.115,62438,95.217.115.180,443,6,1678926917.535905,kohajone,1.742359,298,298,36711,0,21069.71066238358455404425839,171.0324910078806950806349323,123.19127516778524
151.252.176.115:62439 => 95.217.115.180:443,151.252.176.115,62439,95.217.115.180,443,6,1678926917.536854,kohajone,1.742141,293,293,31253,0,17939.42051762744806534029106,168.1838611226071827710845448,106.66552901023891
95.217.115.180:443 => 151.252.176.115:62437,95.217.115.180,443,151.252.176.115,62437,6,1678926917.554285,kohajone,1.723852,613,613,893268,0,518181.3751992630457835127378,355.5989725336049730487304014,1457.2071778140294
95.217.115.180:443 => 151.252.176.115:62436,95.217.115.180,443,151.252.176.115,62436,6,1678926917.554285,kohajone,1.724579,633,633,920325,0,533651.9811501821603997265420,367.0461022661182816211956657,1453.909952606635
95.217.115.180:443 => 151.252.176.115:62438,95.217.115.180,443,151.252.176.115,62438,6,1678926917.554286,kohajone,1.723857,526,526,760558,0,441195.5283993973978119994872,305.1297178362242343767493475,1445.9277566539924
95.217.115.180:443 => 151.252.176.115:62439,95.217.115.180,443,151.252.176.115,62439,6,1678926917.559250,kohajone,1.719620,589,589,855912,0,497733.2201300287272769565369,342.5175329433246880124678708,1453.1612903225807
151.252.176.115:62445 => 95.217.115.180:443,151.252.176.115,62445,95.217.115.180,443,6,1678926917.691160,kohajone,0.164705,12,12,1900,0,11535.77608451473847181324186,72.85753316535624297987310646,158.33333333333334
95.217.115.180:443 => 151.252.176.115:62445,95.217.115.180,443,151.252.176.115,62445,6,1678926917.714818,kohajone,0.140878,11,11,6119,0,43434.74495662914010704297335,78.08174448813867317821093428,556.2727272727273
