FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:60981 => 178.33.109.222:443,151.252.176.115,60981,178.33.109.222,443,6,1678933031.441791,lecanton27,2.751552,42,42,6152,0,2235.829088456260321447677529,15.26411276254273951573511967,146.47619047619048
151.252.176.115:60982 => 178.33.109.222:443,151.252.176.115,60982,178.33.109.222,443,6,1678933031.442132,lecanton27,2.751177,64,64,7667,0,2786.807246498498642580975343,23.26277080682195293141808033,119.796875
178.33.109.222:443 => 151.252.176.115:60981,178.33.109.222,443,151.252.176.115,60981,6,1678933031.478182,lecanton27,2.715054,78,78,101809,0,37497.96504968225309699180937,28.72871036819157188033829161,1305.2435897435898
178.33.109.222:443 => 151.252.176.115:60982,178.33.109.222,443,151.252.176.115,60982,6,1678933031.480702,lecanton27,2.712387,121,121,169221,0,62388.22114985804016904667365,44.61015334463703004032979070,1398.5206611570247
151.252.176.115:60984 => 178.33.109.222:443,151.252.176.115,60984,178.33.109.222,443,6,1678933031.602302,lecanton27,2.591067,73,73,6449,0,2488.936025197341481327962573,28.17372148230825370397600680,88.34246575342466
151.252.176.115:60985 => 178.33.109.222:443,151.252.176.115,60985,178.33.109.222,443,6,1678933031.602682,lecanton27,2.590712,49,49,5034,0,1943.095180012290057713863988,18.91371947171279555581631613,102.73469387755102
151.252.176.115:60986 => 178.33.109.222:443,151.252.176.115,60986,178.33.109.222,443,6,1678933031.603209,lecanton27,2.589971,52,52,6044,0,2333.616862891515001519322031,20.07744488258748843133764818,116.23076923076923
151.252.176.115:60987 => 178.33.109.222:443,151.252.176.115,60987,178.33.109.222,443,6,1678933031.603330,lecanton27,0.485725,28,28,3900,0,8029.234649235678624736219054,57.64578722528179525451644449,139.28571428571428
178.33.109.222:443 => 151.252.176.115:60986,178.33.109.222,443,151.252.176.115,60986,6,1678933031.689845,lecanton27,2.503245,158,158,218827,0,87417.33230267113286953534312,63.11807274158142730735505314,1384.9810126582279
178.33.109.222:443 => 151.252.176.115:60984,178.33.109.222,443,151.252.176.115,60984,6,1678933031.689846,lecanton27,2.503391,279,279,400443,0,159960.2299441038175818320031,111.4488308058948841790994695,1435.279569892473
178.33.109.222:443 => 151.252.176.115:60985,178.33.109.222,443,151.252.176.115,60985,6,1678933031.690013,lecanton27,2.503224,132,132,183221,0,73194.00900598588060836744934,52.73199681690491941592122798,1388.0378787878788
178.33.109.222:443 => 151.252.176.115:60987,178.33.109.222,443,151.252.176.115,60987,6,1678933031.690016,lecanton27,0.398967,55,55,70406,0,176470.7356748803785776768505,137.8560131539701278551860179,1280.1090909090908
