FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:58062 => 178.33.109.222:443,151.252.176.115,58062,178.33.109.222,443,6,1678929335.376219,lecanton27,2.783587,67,67,7998,0,2873.271070744330965764677016,24.06966263314205735261732434,119.3731343283582
151.252.176.115:58063 => 178.33.109.222:443,151.252.176.115,58063,178.33.109.222,443,6,1678929335.376454,lecanton27,2.750470,26,26,5228,0,1900.766050893120084930939076,9.452929862896159565456085687,201.07692307692307
178.33.109.222:443 => 151.252.176.115:58062,178.33.109.222,443,151.252.176.115,58062,6,1678929335.413762,lecanton27,2.745977,153,153,215341,0,78420.54030314165049452344284,55.71787382050177404981906258,1407.4575163398692
178.33.109.222:443 => 151.252.176.115:58063,178.33.109.222,443,151.252.176.115,58063,6,1678929335.414885,lecanton27,2.711866,34,34,37482,0,13821.47937988086431999221200,12.53749263422307739394203106,1102.4117647058824
151.252.176.115:58065 => 178.33.109.222:443,151.252.176.115,58065,178.33.109.222,443,6,1678929335.535685,lecanton27,2.591176,49,49,5131,0,1980.181971429188908819779127,18.91033260573577402692831363,104.71428571428571
151.252.176.115:58066 => 178.33.109.222:443,151.252.176.115,58066,178.33.109.222,443,6,1678929335.535786,lecanton27,2.591124,68,68,6092,0,2351.103227788403796962244956,26.24343721103274100351816432,89.58823529411765
151.252.176.115:58067 => 178.33.109.222:443,151.252.176.115,58067,178.33.109.222,443,6,1678929335.536334,lecanton27,0.588201,34,34,4219,0,7172.718169469280059027441300,57.80336993646729604335932785,124.08823529411765
151.252.176.115:58068 => 178.33.109.222:443,151.252.176.115,58068,178.33.109.222,443,6,1678929335.536407,lecanton27,2.590532,60,60,6310,0,2435.793111221942056689513969,23.16126571684889435837889669,105.16666666666667
178.33.109.222:443 => 151.252.176.115:58065,178.33.109.222,443,151.252.176.115,58065,6,1678929335.641889,lecanton27,2.484862,129,129,179217,0,72123.52235254915564727538189,51.91435178291591243296408412,1389.2790697674418
178.33.109.222:443 => 151.252.176.115:58067,178.33.109.222,443,151.252.176.115,58067,6,1678929335.641889,lecanton27,0.482578,63,63,78706,0,163094.8779264699178163944482,130.5488439174599753822180041,1249.3015873015872
178.33.109.222:443 => 151.252.176.115:58066,178.33.109.222,443,151.252.176.115,58066,6,1678929335.641890,lecanton27,2.484861,279,279,404291,0,162701.6561489757374758588106,112.2799222974645261847644597,1449.0716845878137
178.33.109.222:443 => 151.252.176.115:58068,178.33.109.222,443,151.252.176.115,58068,6,1678929335.641890,lecanton27,2.484854,168,168,229677,0,92430.78265362874438498197480,67.60960603721586861843794444,1367.125
