FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:53270 => 178.33.109.222:443,151.252.176.115,53270,178.33.109.222,443,6,1678928643.037472,lecanton27,2.805136,22,22,5018,0,1788.861573912993879797628350,7.842757000017111469818219152,228.0909090909091
151.252.176.115:53271 => 178.33.109.222:443,151.252.176.115,53271,178.33.109.222,443,6,1678928643.037801,lecanton27,2.803271,51,51,6441,0,2297.672968471474930536505390,18.19303235398932176018658203,126.29411764705883
178.33.109.222:443 => 151.252.176.115:53270,178.33.109.222,443,151.252.176.115,53270,6,1678928643.075121,lecanton27,2.767366,27,27,29687,0,10727.52935462819157278075975,9.756569965808642586488379202,1099.5185185185185
178.33.109.222:443 => 151.252.176.115:53271,178.33.109.222,443,151.252.176.115,53271,6,1678928643.075130,lecanton27,2.765821,158,158,219070,0,79206.13806894950902462596097,57.12589498741964863235907168,1386.5189873417721
151.252.176.115:53273 => 178.33.109.222:443,151.252.176.115,53273,178.33.109.222,443,6,1678928643.196948,lecanton27,2.644088,62,62,6500,0,2458.314549288828511002659518,23.44853877783190272033306002,104.83870967741936
151.252.176.115:53274 => 178.33.109.222:443,151.252.176.115,53274,178.33.109.222,443,6,1678928643.197101,lecanton27,2.645540,47,47,5027,0,1900.179169470127081805604905,17.76574914762203557685765477,106.95744680851064
151.252.176.115:53275 => 178.33.109.222:443,151.252.176.115,53275,178.33.109.222,443,6,1678928643.197675,lecanton27,2.645025,59,59,6236,0,2357.633670759255583595618189,22.30602735323862723414712526,105.69491525423729
151.252.176.115:53276 => 178.33.109.222:443,151.252.176.115,53276,178.33.109.222,443,6,1678928643.197842,lecanton27,0.516307,33,33,4100,0,7941.011839854970008154063377,63.91546115005219762660587596,124.24242424242425
178.33.109.222:443 => 151.252.176.115:53273,178.33.109.222,443,151.252.176.115,53273,6,1678928643.235841,lecanton27,2.605110,279,279,401539,0,154135.1420861307200079843078,107.0972051084215253866439421,1439.2078853046594
178.33.109.222:443 => 151.252.176.115:53274,178.33.109.222,443,151.252.176.115,53274,6,1678928643.235845,lecanton27,2.606648,129,129,179217,0,68753.81716288505390831443294,49.48884544441750478008538169,1389.2790697674418
178.33.109.222:443 => 151.252.176.115:53276,178.33.109.222,443,151.252.176.115,53276,6,1678928643.235846,lecanton27,0.478194,55,55,70354,0,147124.3888463677921513026094,115.0160813393727232043898501,1279.1636363636364
178.33.109.222:443 => 151.252.176.115:53275,178.33.109.222,443,151.252.176.115,53275,6,1678928643.235846,lecanton27,2.606646,176,176,243955,0,93589.61669517072897508906081,67.51971690824147199121016049,1386.1079545454545
