FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:56083 => 178.33.109.222:443,151.252.176.115,56083,178.33.109.222,443,6,1678932129.120761,lecanton27,2.761684,36,36,5830,0,2111.030805841653136274823622,13.03552470159511370598518875,161.94444444444446
151.252.176.115:56084 => 178.33.109.222:443,151.252.176.115,56084,178.33.109.222,443,6,1678932129.121015,lecanton27,0.658001,27,27,5072,0,7708.194972348066340324710753,41.03337228970776640157081828,187.85185185185185
178.33.109.222:443 => 151.252.176.115:56083,178.33.109.222,443,151.252.176.115,56083,6,1678932129.158441,lecanton27,2.723834,89,89,119585,0,43903.18940140992439333674519,32.67453156102758097593318829,1343.6516853932585
178.33.109.222:443 => 151.252.176.115:56084,178.33.109.222,443,151.252.176.115,56084,6,1678932129.158448,lecanton27,0.620456,55,55,68893,0,111036.0766919813814355893085,88.64448083345152597444460203,1252.6
151.252.176.115:56086 => 178.33.109.222:443,151.252.176.115,56086,178.33.109.222,443,6,1678932129.282447,lecanton27,2.592610,46,46,5634,0,2173.099694902048514817114799,17.74273801304476955654726318,122.47826086956522
151.252.176.115:56087 => 178.33.109.222:443,151.252.176.115,56087,178.33.109.222,443,6,1678932129.282515,lecanton27,2.599957,51,51,5235,0,2013.494838568484017235669667,19.61570902903394171518990506,102.6470588235294
151.252.176.115:56088 => 178.33.109.222:443,151.252.176.115,56088,178.33.109.222,443,6,1678932129.283320,lecanton27,2.599077,53,53,5394,0,2075.352134623175842808812513,20.39185449296038555225566615,101.77358490566037
151.252.176.115:56089 => 178.33.109.222:443,151.252.176.115,56089,178.33.109.222,443,6,1678932129.283485,lecanton27,2.592782,84,84,7425,0,2863.719356274457320360909633,32.39763312148881008893150292,88.39285714285714
178.33.109.222:443 => 151.252.176.115:56086,178.33.109.222,443,151.252.176.115,56086,6,1678932129.320427,lecanton27,2.554501,118,118,162711,0,63695.80595192564027181825335,46.19297467489736743105600663,1378.906779661017
178.33.109.222:443 => 151.252.176.115:56087,178.33.109.222,443,151.252.176.115,56087,6,1678932129.320431,lecanton27,2.561844,129,129,179217,0,69956.25026348208556024488611,50.35435412929124490015785505,1389.2790697674418
178.33.109.222:443 => 151.252.176.115:56088,178.33.109.222,443,151.252.176.115,56088,6,1678932129.326124,lecanton27,2.556144,152,152,210156,0,82216.02538824103806358327230,59.46456850631263340406487271,1382.6052631578948
178.33.109.222:443 => 151.252.176.115:56089,178.33.109.222,443,151.252.176.115,56089,6,1678932129.326128,lecanton27,2.550069,277,277,402674,0,157907.0997686729261051367630,108.6245117288983160847804510,1453.6967509025271
