FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:57224 => 5.9.72.90:443,151.252.176.115,57224,5.9.72.90,443,6,1678932306.009606,rtv21,1.628270,97,97,6904,0,4240.083032912232000835242312,59.57242963390592469307915763,71.17525773195877
151.252.176.115:57225 => 5.9.72.90:443,151.252.176.115,57225,5.9.72.90,443,6,1678932306.009806,rtv21,1.533475,80,80,7727,0,5038.882277180912633071944440,52.16909307292261041099463637,96.5875
5.9.72.90:443 => 151.252.176.115:57224,5.9.72.90,443,151.252.176.115,57224,6,1678932306.052757,rtv21,1.585053,550,550,366303,0,231098.2661147608313412863797,346.9915517020566504716246081,666.0054545454545
5.9.72.90:443 => 151.252.176.115:57225,5.9.72.90,443,151.252.176.115,57225,6,1678932306.054195,rtv21,1.489022,151,151,216718,0,145543.8536166691962912569458,101.4088441943772489593840789,1435.2185430463576
151.252.176.115:57227 => 5.9.72.90:443,151.252.176.115,57227,5.9.72.90,443,6,1678932306.665265,rtv21,0.926974,70,70,9242,0,9970.074673076051755496917929,75.51452360044618295658777916,132.02857142857144
151.252.176.115:57228 => 5.9.72.90:443,151.252.176.115,57228,5.9.72.90,443,6,1678932306.666101,rtv21,0.974263,62,62,6215,0,6379.180980905566566727875327,63.63784727532504056912763802,100.24193548387096
151.252.176.115:57229 => 5.9.72.90:443,151.252.176.115,57229,5.9.72.90,443,6,1678932306.666199,rtv21,0.970329,85,85,8164,0,8413.641146456511142097164982,87.59915451357220076901751880,96.04705882352941
151.252.176.115:57230 => 5.9.72.90:443,151.252.176.115,57230,5.9.72.90,443,6,1678932306.666479,rtv21,0.407042,31,31,4025,0,9888.414463372330128094889471,76.15921698497943701141405555,129.83870967741936
5.9.72.90:443 => 151.252.176.115:57227,5.9.72.90,443,151.252.176.115,57227,6,1678932306.710933,rtv21,0.881238,129,129,183202,0,207891.6251909245856397477186,146.3849720506832433462923750,1420.1705426356589
5.9.72.90:443 => 151.252.176.115:57229,5.9.72.90,443,151.252.176.115,57229,6,1678932306.710939,rtv21,0.925532,291,291,425643,0,459890.0956422900558813741718,314.4137641918377754631930609,1462.6907216494844
5.9.72.90:443 => 151.252.176.115:57228,5.9.72.90,443,151.252.176.115,57228,6,1678932306.710939,rtv21,0.927956,141,141,200762,0,216348.6199776713551073542280,151.9468595493751858924345551,1423.8439716312057
5.9.72.90:443 => 151.252.176.115:57230,5.9.72.90,443,151.252.176.115,57230,6,1678932306.713497,rtv21,0.359839,52,52,68575,0,190571.3388487629189720958540,144.5090721128060049077504106,1318.75
