FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:51809 => 138.201.56.69:443,151.252.176.115,51809,138.201.56.69,443,6,1678931456.037486,telesport,2.479974,241,241,15888,0,6406.518778019446978073157219,97.17843816104523676457898349,65.9253112033195
151.252.176.115:51810 => 138.201.56.69:443,151.252.176.115,51810,138.201.56.69,443,6,1678931456.037764,telesport,2.480848,100,100,9683,0,3903.100875184614293177171677,40.30879763693704733220253720,96.83
138.201.56.69:443 => 151.252.176.115:51809,138.201.56.69,443,151.252.176.115,51809,6,1678931456.080270,telesport,2.437055,727,727,1079047,0,442766.7820381567096351949382,298.3108711128800950327341812,1484.2462173314993
138.201.56.69:443 => 151.252.176.115:51810,138.201.56.69,443,151.252.176.115,51810,6,1678931456.081987,telesport,2.436562,311,311,454816,0,186663.0112428905974894133619,127.6388616419364662175639282,1462.4308681672026
151.252.176.115:51812 => 138.201.56.69:443,151.252.176.115,51812,138.201.56.69,443,6,1678931456.652362,telesport,1.865056,40,40,6245,0,3348.424926650996002264811352,21.44707719232023059897397183,156.125
151.252.176.115:51813 => 138.201.56.69:443,151.252.176.115,51813,138.201.56.69,443,6,1678931456.652635,telesport,1.864879,41,41,6234,0,3342.844227427087762798551541,21.98534060386759677169403484,152.0487804878049
151.252.176.115:51814 => 138.201.56.69:443,151.252.176.115,51814,138.201.56.69,443,6,1678931456.652728,telesport,1.864768,54,54,6775,0,3633.159728180663760853897107,28.95802587774993993890929059,125.46296296296296
138.201.56.69:443 => 151.252.176.115:51814,138.201.56.69,443,151.252.176.115,51814,6,1678931456.701790,telesport,1.815535,97,97,133799,0,73696.73402055041626848284390,53.42777748707681206916969378,1379.3711340206185
138.201.56.69:443 => 151.252.176.115:51813,138.201.56.69,443,151.252.176.115,51813,6,1678931456.701797,telesport,1.815529,68,68,90498,0,49846.62872363922581242161376,37.45464820446272133356173325,1330.8529411764705
138.201.56.69:443 => 151.252.176.115:51812,138.201.56.69,443,151.252.176.115,51812,6,1678931456.701798,telesport,1.815495,72,72,97187,0,53531.95684923395547770718179,39.65860550428395561541067312,1349.8194444444443
151.252.176.115:51822 => 138.201.56.69:443,151.252.176.115,51822,138.201.56.69,443,6,1678931457.119099,telesport,1.398379,8,8,1121,0,801.6424731778723793764065393,5.720909710457608416602366025,140.125
138.201.56.69:443 => 151.252.176.115:51822,138.201.56.69,443,151.252.176.115,51822,6,1678931457.165390,telesport,1.351935,5,5,815,0,602.8396335622644579805981796,3.698402659891192993746001102,163.0
