FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:65229 => 138.201.56.69:443,151.252.176.115,65229,138.201.56.69,443,6,1678927233.373532,telesport,3.309756,91,91,8793,0,2656.691308966582430849887424,27.49447391288058696774022012,96.62637362637362
151.252.176.115:65230 => 138.201.56.69:443,151.252.176.115,65230,138.201.56.69,443,6,1678927233.373990,telesport,3.307333,123,123,11053,0,3341.967682117283019278675598,37.19008639287304907005130720,89.86178861788618
138.201.56.69:443 => 151.252.176.115:65229,138.201.56.69,443,151.252.176.115,65229,6,1678927233.416275,telesport,3.266870,271,271,395662,0,121113.4817118526295812199445,82.95402020894617783995077857,1460.0073800738007
138.201.56.69:443 => 151.252.176.115:65230,138.201.56.69,443,151.252.176.115,65230,6,1678927233.416284,telesport,3.264899,320,320,466922,0,143012.6935013916203839689987,98.01222028614055136161945592,1459.13125
151.252.176.115:65232 => 138.201.56.69:443,151.252.176.115,65232,138.201.56.69,443,6,1678927233.908953,telesport,2.774355,35,35,5858,0,2111.481767834325455826669622,12.61554487439422856844203427,167.37142857142857
151.252.176.115:65233 => 138.201.56.69:443,151.252.176.115,65233,138.201.56.69,443,6,1678927233.909017,telesport,2.775740,212,212,14302,0,5152.499873907498540929625974,76.37602945520834083883937256,67.4622641509434
151.252.176.115:65234 => 138.201.56.69:443,151.252.176.115,65234,138.201.56.69,443,6,1678927233.909074,telesport,2.774176,81,81,8286,0,2986.832846942659730312712676,29.19785911203903429342622818,102.29629629629629
138.201.56.69:443 => 151.252.176.115:65234,138.201.56.69,443,151.252.176.115,65234,6,1678927233.957106,telesport,2.726034,141,141,200713,0,73628.20859901233807061834152,51.72349281043449934960459040,1423.4964539007092
138.201.56.69:443 => 151.252.176.115:65232,138.201.56.69,443,151.252.176.115,65232,6,1678927233.957116,telesport,2.726029,47,47,58416,0,21428.97232567958741451393217,17.24119589336723857303058772,1242.8936170212767
138.201.56.69:443 => 151.252.176.115:65233,138.201.56.69,443,151.252.176.115,65233,6,1678927233.957116,telesport,2.727534,499,499,735259,0,269569.1419428685398605480262,182.9491401390413465056714233,1473.4649298597194
151.252.176.115:65242 => 138.201.56.69:443,151.252.176.115,65242,138.201.56.69,443,6,1678927234.299952,telesport,2.384777,8,8,1121,0,470.0649159229563183475855394,3.354611353598260969474294662,140.125
138.201.56.69:443 => 151.252.176.115:65242,138.201.56.69,443,151.252.176.115,65242,6,1678927234.349705,telesport,2.334941,5,5,815,0,349.0452221276683222402621736,2.141381730844590933989338489,163.0
