FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:58555 => 138.201.56.69:443,151.252.176.115,58555,138.201.56.69,443,6,1678929398.558503,telesport,2.627161,111,111,9824,0,3739.397775773924780399830844,42.25093170917199212381730697,88.50450450450451
151.252.176.115:58556 => 138.201.56.69:443,151.252.176.115,58556,138.201.56.69,443,6,1678929398.558703,telesport,2.626892,125,125,11210,0,4267.400410827700567819308902,47.58475034375223648326615636,89.68
138.201.56.69:443 => 151.252.176.115:58555,138.201.56.69,443,151.252.176.115,58555,6,1678929398.601281,telesport,2.584185,296,296,432242,0,167264.3405948103560697086315,114.5428829592308600196967322,1460.277027027027
138.201.56.69:443 => 151.252.176.115:58556,138.201.56.69,443,151.252.176.115,58556,6,1678929398.603996,telesport,2.581469,318,318,464702,0,180014.5576026673184919129379,123.1856745132325819136313471,1461.3270440251572
151.252.176.115:58558 => 138.201.56.69:443,151.252.176.115,58558,138.201.56.69,443,6,1678929399.125770,telesport,2.059916,63,63,7291,0,3539.464716036964614091060024,30.58377137708527920555983836,115.73015873015873
151.252.176.115:58559 => 138.201.56.69:443,151.252.176.115,58559,138.201.56.69,443,6,1678929399.125858,telesport,2.060891,23,23,5221,0,2533.370275283845676457415749,11.16022147702134659232341740,227.0
151.252.176.115:58560 => 138.201.56.69:443,151.252.176.115,58560,138.201.56.69,443,6,1678929399.125921,telesport,2.060858,170,170,12122,0,5882.016131145377313720790079,82.48991439487824973870106528,71.30588235294118
138.201.56.69:443 => 151.252.176.115:58558,138.201.56.69,443,151.252.176.115,58558,6,1678929399.171639,telesport,2.013827,119,119,167674,0,83261.37250121286485879869522,59.09147111445024820900702990,1409.0252100840337
138.201.56.69:443 => 151.252.176.115:58559,138.201.56.69,443,151.252.176.115,58559,6,1678929399.171651,telesport,2.015033,30,30,32628,0,16192.29064734919974015313893,14.88809364412394238704775555,1087.6
138.201.56.69:443 => 151.252.176.115:58560,138.201.56.69,443,151.252.176.115,58560,6,1678929399.171651,telesport,2.015034,513,513,758142,0,376242.7830001875898868207683,254.5862749710426722328258481,1477.859649122807
151.252.176.115:58569 => 138.201.56.69:443,151.252.176.115,58569,138.201.56.69,443,6,1678929399.627511,telesport,1.558129,8,8,1121,0,719.4526255528264989612541709,5.134363072633909002399672941,140.125
138.201.56.69:443 => 151.252.176.115:58569,138.201.56.69,443,151.252.176.115,58569,6,1678929399.670262,telesport,1.515204,5,5,815,0,537.8813677894197744990113542,3.299885691959630518398842664,163.0
