FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:56580 => 138.201.56.69:443,151.252.176.115,56580,138.201.56.69,443,6,1678932197.457882,telesport,2.526219,92,92,9321,0,3689.703861779204415769179157,36.41806193366450018783011291,101.31521739130434
151.252.176.115:56581 => 138.201.56.69:443,151.252.176.115,56581,138.201.56.69,443,6,1678932197.458961,telesport,2.524041,96,96,9739,0,3858.495167075336731851820157,38.03424746269969465630708851,101.44791666666667
138.201.56.69:443 => 151.252.176.115:56580,138.201.56.69,443,151.252.176.115,56580,6,1678932197.502080,telesport,2.481984,296,296,432087,0,174089.3575462210876460122225,119.2594311647456228565534669,1459.7533783783783
138.201.56.69:443 => 151.252.176.115:56581,138.201.56.69,443,151.252.176.115,56581,6,1678932197.502085,telesport,2.480815,281,281,409234,0,164959.4991968365234811946880,113.2692280561025308215243781,1456.3487544483985
151.252.176.115:56583 => 138.201.56.69:443,151.252.176.115,56583,138.201.56.69,443,6,1678932198.030737,telesport,1.953115,72,72,7177,0,3674.642814171208556587809730,36.86418874464637258942765787,99.68055555555556
151.252.176.115:56584 => 138.201.56.69:443,151.252.176.115,56584,138.201.56.69,443,6,1678932198.030815,telesport,1.953008,34,34,5753,0,2945.712459959201396000426010,17.40904287130416260455666336,169.2058823529412
151.252.176.115:56585 => 138.201.56.69:443,151.252.176.115,56585,138.201.56.69,443,6,1678932198.030895,telesport,1.952977,111,111,9083,0,4650.848422690077763332594291,56.83630682798619748210040364,81.82882882882883
138.201.56.69:443 => 151.252.176.115:56584,138.201.56.69,443,151.252.176.115,56584,6,1678932198.084189,telesport,1.899551,58,58,75570,0,39783.08558180327877482626157,30.53353134503890656265612242,1302.9310344827586
138.201.56.69:443 => 151.252.176.115:56583,138.201.56.69,443,151.252.176.115,56583,6,1678932198.084189,telesport,1.899552,137,137,195386,0,102858.9899091996428631593134,72.12226882970300365559879382,1426.1751824817518
138.201.56.69:443 => 151.252.176.115:56585,138.201.56.69,443,151.252.176.115,56585,6,1678932198.084190,telesport,1.899551,513,513,757892,0,398984.8127267970167686995506,270.0638203449130873559067380,1477.3723196881092
151.252.176.115:56593 => 138.201.56.69:443,151.252.176.115,56593,138.201.56.69,443,6,1678932198.511932,telesport,1.471960,8,8,1121,0,761.5696078697790700834261801,5.434930297018940732085111008,140.125
138.201.56.69:443 => 151.252.176.115:56593,138.201.56.69,443,151.252.176.115,56593,6,1678932198.559524,telesport,1.424218,5,5,815,0,572.2438559265505702076507950,3.510698502616874663850618374,163.0
