FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:53797 => 138.201.56.69:443,151.252.176.115,53797,138.201.56.69,443,6,1678928706.090499,telesport,3.137398,381,381,23168,0,7384.463176173376791851081693,121.4382108996053417513493666,60.808398950131235
151.252.176.115:53798 => 138.201.56.69:443,151.252.176.115,53798,138.201.56.69,443,6,1678928706.090874,telesport,3.137051,181,181,13912,0,4434.738230267853471301550405,57.69749997688912293743391485,76.86187845303867
138.201.56.69:443 => 151.252.176.115:53797,138.201.56.69,443,151.252.176.115,53797,6,1678928706.134141,telesport,3.093643,714,714,1058956,0,342300.6468425736259807611932,230.7958610608916413432319114,1483.1316526610644
138.201.56.69:443 => 151.252.176.115:53798,138.201.56.69,443,151.252.176.115,53798,6,1678928706.135576,telesport,3.092208,297,297,434338,0,140462.0905191371343712971443,96.04787258813119945359432483,1462.4175084175083
151.252.176.115:53800 => 138.201.56.69:443,151.252.176.115,53800,138.201.56.69,443,6,1678928706.674394,telesport,2.550390,56,56,7011,0,2748.991330737651888534694694,21.95742611914256251004748293,125.19642857142857
151.252.176.115:53801 => 138.201.56.69:443,151.252.176.115,53801,138.201.56.69,443,6,1678928706.674499,telesport,2.552055,23,23,4558,0,1786.011665109098354071522753,9.012344953380706920501321484,198.17391304347825
151.252.176.115:53802 => 138.201.56.69:443,151.252.176.115,53802,138.201.56.69,443,6,1678928706.674564,telesport,2.551948,104,104,10114,0,3963.246900015204071556316978,40.75318149115891076150454476,97.25
138.201.56.69:443 => 151.252.176.115:53802,138.201.56.69,443,151.252.176.115,53802,6,1678928706.721344,telesport,2.505045,161,161,231981,0,92605.52205649000317359568391,64.27030252949547812514346050,1440.8757763975154
138.201.56.69:443 => 151.252.176.115:53801,138.201.56.69,443,151.252.176.115,53801,6,1678928706.722566,telesport,2.503825,30,30,32860,0,13123.92040178526853913512326,11.98166804788673329805397741,1095.3333333333333
138.201.56.69:443 => 151.252.176.115:53800,138.201.56.69,443,151.252.176.115,53800,6,1678928706.724782,telesport,2.499860,82,82,112008,0,44805.70911971070379941276711,32.80183690286656052738953381,1365.9512195121952
151.252.176.115:53811 => 138.201.56.69:443,151.252.176.115,53811,138.201.56.69,443,6,1678928707.437136,telesport,1.790741,8,8,1121,0,625.9978411171688144740082457,4.467424379069893412838595866,140.125
138.201.56.69:443 => 151.252.176.115:53811,138.201.56.69,443,151.252.176.115,53811,6,1678928707.510131,telesport,1.717651,5,5,815,0,474.4852126537928834204387271,2.910952224869894990309440043,163.0
