FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:59038 => 51.178.75.191:443,151.252.176.115,59038,51.178.75.191,443,6,1678929481.226757,balkanweb,1.251504,69,69,12346,0,9864.930515603625717536659891,55.13366317646607601733594140,178.92753623188406
151.252.176.115:59039 => 51.178.75.191:443,151.252.176.115,59039,51.178.75.191,443,6,1678929481.227258,balkanweb,1.243214,39,39,8744,0,7033.382828700448997517724221,31.37030310147729996605572331,224.2051282051282
51.178.75.191:443 => 151.252.176.115:59038,51.178.75.191,443,151.252.176.115,59038,6,1678929481.264229,balkanweb,1.213854,156,156,214817,0,176971.0360554069929332522692,128.5162795525656298039138150,1377.0320512820513
51.178.75.191:443 => 151.252.176.115:59039,51.178.75.191,443,151.252.176.115,59039,6,1678929481.265492,balkanweb,1.204869,73,73,95150,0,78971.24085688983615646182282,60.58749955389341081893550253,1303.4246575342465
151.252.176.115:59041 => 51.178.75.191:443,151.252.176.115,59041,51.178.75.191,443,6,1678929481.401038,balkanweb,1.069403,19,19,5708,0,5337.557497033391527796349926,17.76692229215739996988974222,300.42105263157896
151.252.176.115:59042 => 51.178.75.191:443,151.252.176.115,59042,51.178.75.191,443,6,1678929481.401108,balkanweb,1.077140,23,23,5928,0,5503.462873906827339064559853,21.35284178472621943294279295,257.7391304347826
151.252.176.115:59043 => 51.178.75.191:443,151.252.176.115,59043,51.178.75.191,443,6,1678929481.401295,balkanweb,1.069196,25,25,5959,0,5573.346701633750968017089477,23.38205530136663436825427705,238.36
151.252.176.115:59044 => 51.178.75.191:443,151.252.176.115,59044,51.178.75.191,443,6,1678929481.401815,balkanweb,1.068693,35,35,6484,0,6067.224170084392805043169554,32.75028469354622889828978013,185.25714285714287
51.178.75.191:443 => 151.252.176.115:59041,51.178.75.191,443,151.252.176.115,59041,6,1678929481.439304,balkanweb,1.031053,19,19,19634,0,19042.66802967451721686470046,18.42776268533237379649736725,1033.3684210526317
51.178.75.191:443 => 151.252.176.115:59042,51.178.75.191,443,151.252.176.115,59042,6,1678929481.439328,balkanweb,1.038766,21,21,20706,0,19933.26697254242052589322331,20.21629510399839809928318794,986.0
51.178.75.191:443 => 151.252.176.115:59043,51.178.75.191,443,151.252.176.115,59043,6,1678929481.439329,balkanweb,1.031033,37,37,45601,0,44228.45825497341016242933058,35.88633923453468511677123817,1232.4594594594594
51.178.75.191:443 => 151.252.176.115:59044,51.178.75.191,443,151.252.176.115,59044,6,1678929481.439329,balkanweb,1.031033,85,85,117219,0,113690.8323981870609379137234,82.44159013339049283582581741,1379.0470588235294
151.252.176.115:59054 => 51.178.75.191:443,151.252.176.115,59054,51.178.75.191,443,6,1678929481.586241,balkanweb,0.891972,11,11,1934,0,2168.229495993147766970263641,12.33222567524541129093738368,175.8181818181818
151.252.176.115:59056 => 51.178.75.191:443,151.252.176.115,59056,51.178.75.191,443,6,1678929481.623507,balkanweb,0.847019,11,11,1937,0,2286.843624523180707870779758,12.98672166740061320938491344,176.0909090909091
151.252.176.115:59057 => 51.178.75.191:443,151.252.176.115,59057,51.178.75.191,443,6,1678929481.623796,balkanweb,0.854435,13,13,2044,0,2392.224101306711452597330400,15.21473254255736246759554559,157.23076923076923
51.178.75.191:443 => 151.252.176.115:59054,51.178.75.191,443,151.252.176.115,59054,6,1678929481.636757,balkanweb,0.841337,12,12,9101,0,10817.30626372072071001275351,14.26301232443123266895429537,758.4166666666666
51.178.75.191:443 => 151.252.176.115:59057,51.178.75.191,443,151.252.176.115,59057,6,1678929481.692275,balkanweb,0.785819,11,11,8762,0,11150.15035268935976350788159,13.99813443044772396696949297,796.5454545454545
51.178.75.191:443 => 151.252.176.115:59056,51.178.75.191,443,151.252.176.115,59056,6,1678929481.693481,balkanweb,0.776881,12,12,10405,0,13393.29961731590809918121308,15.44638110598663115715276857,867.0833333333334
