FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:57060 => 51.178.75.191:443,151.252.176.115,57060,51.178.75.191,443,6,1678932280.436522,balkanweb,1.649334,42,42,9162,0,5554.969460400379789660553896,25.46482398349879405869278145,218.14285714285714
151.252.176.115:57061 => 51.178.75.191:443,151.252.176.115,57061,51.178.75.191,443,6,1678932280.436855,balkanweb,1.648853,35,35,7735,0,4691.139840846940266961336153,21.22687710790470709032278802,221.0
51.178.75.191:443 => 151.252.176.115:57060,51.178.75.191,443,151.252.176.115,57060,6,1678932280.473755,balkanweb,1.611886,72,72,94893,0,58870.78862897252038915903482,44.66817132228954156807615427,1317.9583333333333
51.178.75.191:443 => 151.252.176.115:57061,51.178.75.191,443,151.252.176.115,57061,6,1678932280.477882,balkanweb,1.607751,39,39,48657,0,30264.01476348016577193856511,24.25748763334620846138487863,1247.6153846153845
151.252.176.115:57063 => 51.178.75.191:443,151.252.176.115,57063,51.178.75.191,443,6,1678932280.602112,balkanweb,1.483768,42,42,4976,0,3353.624016692636584695181457,28.30631203800054995120530972,118.47619047619048
151.252.176.115:57064 => 51.178.75.191:443,151.252.176.115,57064,51.178.75.191,443,6,1678932280.602563,balkanweb,1.481891,40,40,7085,0,4781.053397314647298620478834,26.99253858752094452291025453,177.125
151.252.176.115:57065 => 51.178.75.191:443,151.252.176.115,57065,51.178.75.191,443,6,1678932280.602582,balkanweb,1.483249,27,27,6874,0,4634.420788417858363632808787,18.20328211918565257755103829,254.59259259259258
151.252.176.115:57066 => 51.178.75.191:443,151.252.176.115,57066,51.178.75.191,443,6,1678932280.602631,balkanweb,1.478075,49,49,10056,0,6803.443668284762275256668302,33.15122710281954569287756034,205.22448979591837
51.178.75.191:443 => 151.252.176.115:57063,51.178.75.191,443,151.252.176.115,57063,6,1678932280.640144,balkanweb,1.445497,91,91,126169,0,87284.16593047235656663417496,62.95412581278273147574847959,1386.4725274725274
51.178.75.191:443 => 151.252.176.115:57064,51.178.75.191,443,151.252.176.115,57064,6,1678932280.640144,balkanweb,1.444232,61,61,82978,0,57454.75796132477330511995303,42.23698131602124866364960754,1360.295081967213
51.178.75.191:443 => 151.252.176.115:57065,51.178.75.191,443,151.252.176.115,57065,6,1678932280.640191,balkanweb,1.445449,36,36,41358,0,28612.56260165526421201993291,24.90575592774286744118955425,1148.8333333333333
51.178.75.191:443 => 151.252.176.115:57066,51.178.75.191,443,151.252.176.115,57066,6,1678932280.641499,balkanweb,1.439164,90,90,119226,0,82843.92883646339124658482286,62.53630579975596943781250782,1324.7333333333333
151.252.176.115:57076 => 51.178.75.191:443,151.252.176.115,57076,51.178.75.191,443,6,1678932280.846929,balkanweb,1.238874,12,12,1985,0,1602.261408343382781461230117,9.686215063033044522687537231,165.41666666666666
151.252.176.115:57078 => 51.178.75.191:443,151.252.176.115,57078,51.178.75.191,443,6,1678932280.894074,balkanweb,1.191703,12,12,1988,0,1668.200885623347428008488692,10.06962305205239896182186333,165.66666666666666
151.252.176.115:57079 => 51.178.75.191:443,151.252.176.115,57079,51.178.75.191,443,6,1678932280.894122,balkanweb,1.191627,13,13,2043,0,1714.462663232706207563272736,10.90945404895995139418626802,157.15384615384616
51.178.75.191:443 => 151.252.176.115:57076,51.178.75.191,443,151.252.176.115,57076,6,1678932280.939255,balkanweb,1.146385,11,11,9049,0,7893.508725253732384844533032,9.595380260558189438975562311,822.6363636363636
51.178.75.191:443 => 151.252.176.115:57078,51.178.75.191,443,151.252.176.115,57078,6,1678932280.990431,balkanweb,1.095208,12,12,10405,0,9500.478447929525715663143439,10.95682281356600755290319282,867.0833333333334
51.178.75.191:443 => 151.252.176.115:57079,51.178.75.191,443,151.252.176.115,57079,6,1678932280.990436,balkanweb,1.095203,11,11,8762,0,8000.343315348844004262223533,10.04380009915969916079484808,796.5454545454545
