FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:49314 => 51.178.75.191:443,151.252.176.115,49314,51.178.75.191,443,6,1678927316.508356,balkanweb,1.124882,34,34,8469,0,7528.789686384883036620729997,30.22539253006093083541206989,249.08823529411765
151.252.176.115:49315 => 51.178.75.191:443,151.252.176.115,49315,51.178.75.191,443,6,1678927316.508739,balkanweb,1.118648,52,52,11407,0,10197.13082220680678819432029,46.48468508413728000228847680,219.3653846153846
51.178.75.191:443 => 151.252.176.115:49314,51.178.75.191,443,151.252.176.115,49314,6,1678927316.547391,balkanweb,1.085590,56,56,70702,0,65127.71856778341731224495436,51.58485247653349791357694894,1262.5357142857142
51.178.75.191:443 => 151.252.176.115:49315,51.178.75.191,443,151.252.176.115,49315,6,1678927316.547397,balkanweb,1.079911,100,100,136142,0,126067.7963276603349720486225,92.60022353693961817223826778,1361.42
151.252.176.115:49317 => 51.178.75.191:443,151.252.176.115,49317,51.178.75.191,443,6,1678927316.680492,balkanweb,0.952654,41,41,5905,0,6198.472897820194950107804093,43.03766110256189550455884298,144.02439024390245
151.252.176.115:49318 => 51.178.75.191:443,151.252.176.115,49318,51.178.75.191,443,6,1678927316.680673,balkanweb,0.951386,24,24,6032,0,6340.223631627961731621024484,25.22635397199454269875739185,251.33333333333334
151.252.176.115:49319 => 51.178.75.191:443,151.252.176.115,49319,51.178.75.191,443,6,1678927316.680977,balkanweb,0.952259,36,36,5774,0,6063.476428156625455889626667,37.80484090987850994319822653,160.38888888888889
151.252.176.115:49320 => 51.178.75.191:443,151.252.176.115,49320,51.178.75.191,443,6,1678927316.681040,balkanweb,0.952074,30,30,7679,0,8065.549526612427185281816329,31.51015572318958400292414245,255.96666666666667
51.178.75.191:443 => 151.252.176.115:49318,51.178.75.191,443,151.252.176.115,49318,6,1678927316.717872,balkanweb,0.913991,30,30,35016,0,38311.09934342898343637957048,32.82308031479522227242937841,1167.2
51.178.75.191:443 => 151.252.176.115:49317,51.178.75.191,443,151.252.176.115,49317,6,1678927316.726088,balkanweb,0.906892,107,107,148728,0,163997.4770976036837903521037,117.9853830445080560860609643,1389.981308411215
51.178.75.191:443 => 151.252.176.115:49319,51.178.75.191,443,151.252.176.115,49319,6,1678927316.726093,balkanweb,0.906888,59,59,77760,0,85743.77431391748484928679175,65.05764769188698053122326020,1317.9661016949153
51.178.75.191:443 => 151.252.176.115:49320,51.178.75.191,443,151.252.176.115,49320,6,1678927316.726094,balkanweb,0.906886,38,38,45709,0,50402.14536336430378239381797,41.90162820905824987925715029,1202.8684210526317
151.252.176.115:49330 => 51.178.75.191:443,151.252.176.115,49330,51.178.75.191,443,6,1678927316.899716,balkanweb,0.733327,12,12,1986,0,2708.205207226789685910923776,16.36377768717093465807204699,165.5
151.252.176.115:49332 => 51.178.75.191:443,151.252.176.115,49332,51.178.75.191,443,6,1678927316.962358,balkanweb,0.670821,13,13,2041,0,3042.540409438583467124612974,19.37923827667887558678097436,157.0
151.252.176.115:49333 => 51.178.75.191:443,151.252.176.115,49333,51.178.75.191,443,6,1678927316.963484,balkanweb,0.669596,12,12,1992,0,2974.928165640177061989617620,17.92125400988058471078082904,166.0
51.178.75.191:443 => 151.252.176.115:49330,51.178.75.191,443,151.252.176.115,49330,6,1678927317.002534,balkanweb,0.630439,11,11,9049,0,14353.49018699668009117456249,17.44815913990092618001107165,822.6363636363636
51.178.75.191:443 => 151.252.176.115:49332,51.178.75.191,443,151.252.176.115,49332,6,1678927317.024463,balkanweb,0.608517,12,12,10405,0,17098.94711240606260794686098,19.72007355587436341137552443,867.0833333333334
51.178.75.191:443 => 151.252.176.115:49333,51.178.75.191,443,151.252.176.115,49333,6,1678927317.024470,balkanweb,0.608509,11,11,8762,0,14399.12967597849826378903188,18.07697174569316148158860428,796.5454545454545
