FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:61943 => 51.178.75.191:443,151.252.176.115,61943,51.178.75.191,443,6,1678933178.640054,balkanweb,1.189416,46,46,10865,0,9134.735029627985498765780854,38.67444191098824969564895714,236.19565217391303
151.252.176.115:61944 => 51.178.75.191:443,151.252.176.115,61944,51.178.75.191,443,6,1678933178.640267,balkanweb,1.189100,52,52,8839,0,7433.352956017155832141956101,43.73055251871163064502564965,169.98076923076923
51.178.75.191:443 => 151.252.176.115:61943,51.178.75.191,443,151.252.176.115,61943,6,1678933178.679329,balkanweb,1.149946,68,68,87874,0,76415.76213143921540663648554,59.13321147253871051336323619,1292.264705882353
51.178.75.191:443 => 151.252.176.115:61944,51.178.75.191,443,151.252.176.115,61944,6,1678933178.679336,balkanweb,1.149924,93,93,129426,0,112551.7860310768363822304778,80.87490999405178081334070773,1391.6774193548388
151.252.176.115:61946 => 51.178.75.191:443,151.252.176.115,61946,51.178.75.191,443,6,1678933178.804191,balkanweb,1.025296,18,18,5798,0,5654.952325962453769448042321,17.55590580671337838048719589,322.1111111111111
151.252.176.115:61947 => 51.178.75.191:443,151.252.176.115,61947,51.178.75.191,443,6,1678933178.804333,balkanweb,1.025064,39,39,4833,0,4714.827561986373533750087799,38.04640490740090374844887734,123.92307692307692
151.252.176.115:61948 => 51.178.75.191:443,151.252.176.115,61948,51.178.75.191,443,6,1678933178.804457,balkanweb,1.024996,46,46,7933,0,7739.542398214236933607545786,44.87822391502015617621922427,172.45652173913044
151.252.176.115:61949 => 51.178.75.191:443,151.252.176.115,61949,51.178.75.191,443,6,1678933178.804562,balkanweb,1.022445,32,32,8750,0,8557.917540796815476627104636,31.29752700634263945737912553,273.4375
51.178.75.191:443 => 151.252.176.115:61947,51.178.75.191,443,151.252.176.115,61947,6,1678933178.843623,balkanweb,0.985651,88,88,123056,0,124847.4358571137248376961014,89.28109442388837428258075120,1398.3636363636363
51.178.75.191:443 => 151.252.176.115:61946,51.178.75.191,443,151.252.176.115,61946,6,1678933178.843623,balkanweb,0.985653,13,13,8872,0,9001.139346199930401469888490,13.18922582288087186870024238,682.4615384615385
51.178.75.191:443 => 151.252.176.115:61949,51.178.75.191,443,151.252.176.115,61949,6,1678933178.844110,balkanweb,0.982832,45,45,54526,0,55478.45409998860435964640956,45.78605499210444918358376610,1211.6888888888889
51.178.75.191:443 => 151.252.176.115:61948,51.178.75.191,443,151.252.176.115,61948,6,1678933178.844111,balkanweb,0.985164,83,83,111158,0,112831.9751838272612478734505,84.24993199101875423787308509,1339.2530120481927
151.252.176.115:61959 => 51.178.75.191:443,151.252.176.115,61959,51.178.75.191,443,6,1678933179.036189,balkanweb,0.793226,11,11,1939,0,2444.448366543708854727404296,13.86742239916492903661755918,176.27272727272728
151.252.176.115:61961 => 51.178.75.191:443,151.252.176.115,61961,51.178.75.191,443,6,1678933179.065426,balkanweb,0.763251,12,12,1985,0,2600.717195260798872192764896,15.72221982021641635582527897,165.41666666666666
151.252.176.115:61962 => 51.178.75.191:443,151.252.176.115,61962,51.178.75.191,443,6,1678933179.065669,balkanweb,0.763763,11,11,1936,0,2534.817737963216338052511054,14.40237351115463828438926735,176.0
51.178.75.191:443 => 151.252.176.115:61959,51.178.75.191,443,151.252.176.115,61959,6,1678933179.120483,balkanweb,0.708792,11,11,8762,0,12361.87767356290703055339225,15.51936252102168196029300556,796.5454545454545
51.178.75.191:443 => 151.252.176.115:61961,51.178.75.191,443,151.252.176.115,61961,6,1678933179.134977,balkanweb,0.693571,11,11,9049,0,13046.96995693303209044207442,15.85994800820680218751937437,822.6363636363636
51.178.75.191:443 => 151.252.176.115:61962,51.178.75.191,443,151.252.176.115,61962,6,1678933179.134982,balkanweb,0.694293,12,12,10405,0,14986.46824899574099119535988,17.28376924439681805808210655,867.0833333333334
