FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:54284 => 51.178.75.191:443,151.252.176.115,54284,51.178.75.191,443,6,1678928788.893411,balkanweb,2.221406,51,51,11287,0,5081.016257271295746927846598,22.95843263230584593721273824,221.31372549019608
151.252.176.115:54285 => 51.178.75.191:443,151.252.176.115,54285,51.178.75.191,443,6,1678928788.894346,balkanweb,2.220558,50,50,11802,0,5314.880313867055037517596928,22.51686287860979087238432862,236.04
51.178.75.191:443 => 151.252.176.115:54284,51.178.75.191,443,151.252.176.115,54284,6,1678928788.931532,balkanweb,2.183073,82,82,106161,0,48629.15715599066087116647038,37.56173064299727952294769804,1294.6463414634147
51.178.75.191:443 => 151.252.176.115:54285,51.178.75.191,443,151.252.176.115,54285,6,1678928788.931539,balkanweb,2.183068,70,70,83398,0,38202.19983985840111256268701,32.06496545229007983260255750,1191.4
151.252.176.115:54287 => 51.178.75.191:443,151.252.176.115,54287,51.178.75.191,443,6,1678928789.060551,balkanweb,2.054317,28,28,6676,0,3249.741885015798438118362453,13.62983414925739308977144228,238.42857142857142
151.252.176.115:54288 => 51.178.75.191:443,151.252.176.115,54288,51.178.75.191,443,6,1678928789.060866,balkanweb,2.054019,40,40,6563,0,3195.199265440095734265359765,19.47401654999296501152131504,164.075
151.252.176.115:54289 => 51.178.75.191:443,151.252.176.115,54289,51.178.75.191,443,6,1678928789.061089,balkanweb,2.049604,58,58,8938,0,4360.842387114779245161504369,28.29814930103571226441790707,154.10344827586206
151.252.176.115:54290 => 51.178.75.191:443,151.252.176.115,54290,51.178.75.191,443,6,1678928789.061153,balkanweb,2.053681,32,32,6996,0,3406.566063570729826102495957,15.58177730621260069114920964,218.625
51.178.75.191:443 => 151.252.176.115:54290,51.178.75.191,443,151.252.176.115,54290,6,1678928789.100464,balkanweb,2.014142,45,45,53797,0,26709.63616269359359965682658,22.34201957955298087225230396,1195.4888888888888
51.178.75.191:443 => 151.252.176.115:54289,51.178.75.191,443,151.252.176.115,54289,6,1678928789.100465,balkanweb,2.010196,112,112,152867,0,76045.81841770653209935747559,55.71596003573780865149468012,1364.8839285714287
51.178.75.191:443 => 151.252.176.115:54288,51.178.75.191,443,151.252.176.115,54288,6,1678928789.100465,balkanweb,2.014141,57,57,72163,0,35828.17687540246685807994574,28.29990551803473540333074993,1266.017543859649
51.178.75.191:443 => 151.252.176.115:54287,51.178.75.191,443,151.252.176.115,54287,6,1678928789.100465,balkanweb,2.014141,44,44,53451,0,26537.86403235920424637599850,21.84554110164084838151847363,1214.7954545454545
151.252.176.115:54300 => 51.178.75.191:443,151.252.176.115,54300,51.178.75.191,443,6,1678928789.249750,balkanweb,1.864966,11,11,1934,0,1037.016224424466719500516363,5.898230852465943078855056875,175.8181818181818
151.252.176.115:54302 => 51.178.75.191:443,151.252.176.115,54302,51.178.75.191,443,6,1678928789.295925,balkanweb,1.818840,12,12,1989,0,1093.554133403707857755492512,6.597611664577422972883816059,165.75
151.252.176.115:54303 => 51.178.75.191:443,151.252.176.115,54303,51.178.75.191,443,6,1678928789.295994,balkanweb,1.818857,12,12,1992,0,1095.193299968056862084265008,6.597549999807571458338945832,166.0
151.252.176.115:54309 => 51.178.75.191:443,151.252.176.115,54309,51.178.75.191,443,6,1678928789.498211,balkanweb,1.616535,9,9,1090,0,674.2817198514105787997166780,5.567463741892380925869220277,121.11111111111111
51.178.75.191:443 => 151.252.176.115:54300,51.178.75.191,443,151.252.176.115,54300,6,1678928789.567175,balkanweb,1.547424,11,11,9049,0,5847.783154455404594991417995,7.108588208532373803172239800,822.6363636363636
51.178.75.191:443 => 151.252.176.115:54302,51.178.75.191,443,151.252.176.115,54302,6,1678928789.567184,balkanweb,1.547421,12,12,10405,0,6724.091246015143907184922526,7.754838534568162122654403682,867.0833333333334
51.178.75.191:443 => 151.252.176.115:54303,51.178.75.191,443,151.252.176.115,54303,6,1678928789.567186,balkanweb,1.547420,11,11,8762,0,5662.328262527303511651652428,7.108606583862170580708534205,796.5454545454545
51.178.75.191:443 => 151.252.176.115:54309,51.178.75.191,443,151.252.176.115,54309,6,1678928789.677975,balkanweb,1.436630,8,8,5123,0,3565.984282661506442159776700,5.568587597363273772648489869,640.375
