FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:53640 => 188.40.137.224:443,151.252.176.115,53640,188.40.137.224,443,6,1678931768.987101,shqiperia,1.184238,83,83,12002,0,10134.78709516161447276645404,70.08726286439043503079617442,144.6024096385542
151.252.176.115:53641 => 188.40.137.224:443,151.252.176.115,53641,188.40.137.224,443,6,1678931768.987376,shqiperia,1.183038,63,63,8612,0,7279.563293824881364757514129,53.25272730039102716903429983,136.6984126984127
188.40.137.224:443 => 151.252.176.115:53641,188.40.137.224,443,151.252.176.115,53641,6,1678931769.031829,shqiperia,1.138434,131,131,177174,0,155629.5753640527250591602148,115.0703510260586033094584315,1352.473282442748
188.40.137.224:443 => 151.252.176.115:53640,188.40.137.224,443,151.252.176.115,53640,6,1678931769.033166,shqiperia,1.138044,171,171,240977,0,211746.6459996274309253420782,150.2578107700580996868310891,1409.2222222222222
151.252.176.115:53643 => 188.40.137.224:443,151.252.176.115,53643,188.40.137.224,443,6,1678931769.192207,shqiperia,0.978196,66,66,9736,0,9953.015551075653550004293618,67.47114075297793080323370776,147.5151515151515
151.252.176.115:53644 => 188.40.137.224:443,151.252.176.115,53644,188.40.137.224,443,6,1678931769.192367,shqiperia,2.903887,30,30,3994,0,1375.397871886888160593025831,10.33098050991653600846038431,133.13333333333333
151.252.176.115:53645 => 188.40.137.224:443,151.252.176.115,53645,188.40.137.224,443,6,1678931769.196210,shqiperia,1.979583,42,42,3997,0,2019.112105933421331664294955,21.21658955446677406302236380,95.16666666666667
151.252.176.115:53646 => 188.40.137.224:443,151.252.176.115,53646,188.40.137.224,443,6,1678931769.196372,shqiperia,0.974003,66,66,9636,0,9893.193347453755275907774411,67.76159827023120051991626309,146.0
188.40.137.224:443 => 151.252.176.115:53643,188.40.137.224,443,151.252.176.115,53643,6,1678931769.237427,shqiperia,0.932837,87,87,114545,0,122792.0847908048244227019297,93.26388211445300733139873311,1316.6091954022988
188.40.137.224:443 => 151.252.176.115:53644,188.40.137.224,443,151.252.176.115,53644,6,1678931769.237439,shqiperia,2.858517,46,46,57331,0,20056.20396870125313230601742,16.09226042734746723563302230,1246.3260869565217
188.40.137.224:443 => 151.252.176.115:53646,188.40.137.224,443,151.252.176.115,53646,6,1678931769.240168,shqiperia,0.930095,157,157,220867,0,237467.1404533945457184481155,168.7999612942763911213370677,1406.7961783439491
188.40.137.224:443 => 151.252.176.115:53645,188.40.137.224,443,151.252.176.115,53645,6,1678931769.242028,shqiperia,1.933428,120,120,169970,0,87911.21262338188957644142942,62.06592642705081337396582650,1416.4166666666667
