FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:50701 => 188.40.137.224:443,151.252.176.115,50701,188.40.137.224,443,6,1678927541.903807,shqiperia,1.811794,83,83,12470,0,6882.680922886376707285706874,45.81094760221084737006525024,150.24096385542168
151.252.176.115:50702 => 188.40.137.224:443,151.252.176.115,50702,188.40.137.224,443,6,1678927541.904326,shqiperia,3.895109,63,63,5150,0,1322.170958502059891006901219,16.17413017196694623950189841,81.74603174603175
188.40.137.224:443 => 151.252.176.115:50701,188.40.137.224,443,151.252.176.115,50701,6,1678927541.950188,shqiperia,1.765199,148,148,200400,0,113528.2764152936864342207309,83.84323807117497800531271545,1354.054054054054
188.40.137.224:443 => 151.252.176.115:50702,188.40.137.224,443,151.252.176.115,50702,6,1678927541.950194,shqiperia,3.848906,102,102,137771,0,35794.84663953861175097547199,26.50103691802293950540751060,1350.6960784313726
151.252.176.115:50704 => 188.40.137.224:443,151.252.176.115,50704,188.40.137.224,443,6,1678927542.634113,shqiperia,1.081501,56,56,5781,0,5345.348732918416164201420063,51.77988739723772793552664306,103.23214285714286
151.252.176.115:50705 => 188.40.137.224:443,151.252.176.115,50705,188.40.137.224,443,6,1678927542.634603,shqiperia,1.080916,39,39,10076,0,9321.723427167328451054476018,36.08050949379970321468088177,258.35897435897436
151.252.176.115:50706 => 188.40.137.224:443,151.252.176.115,50706,188.40.137.224,443,6,1678927542.651998,shqiperia,1.063580,82,82,10949,0,10294.47714323323116267699656,77.09810263449858026664660862,133.52439024390245
151.252.176.115:50707 => 188.40.137.224:443,151.252.176.115,50707,188.40.137.224,443,6,1678927542.652354,shqiperia,2.121360,58,58,4787,0,2256.571256175283780216464909,27.34095108798129501829015349,82.53448275862068
188.40.137.224:443 => 151.252.176.115:50704,188.40.137.224,443,151.252.176.115,50704,6,1678927542.677049,shqiperia,1.038336,92,92,125270,0,120644.9550049309664694280079,88.60330374753451676528599606,1361.6304347826087
188.40.137.224:443 => 151.252.176.115:50705,188.40.137.224,443,151.252.176.115,50705,6,1678927542.677057,shqiperia,1.038328,77,77,97964,0,94347.83613655800479231996055,74.15768427702999437557303665,1272.2597402597403
188.40.137.224:443 => 151.252.176.115:50706,188.40.137.224,443,151.252.176.115,50706,6,1678927542.696349,shqiperia,1.019037,161,161,226826,0,222588.5811800749138647566281,157.9923005739732708429625225,1408.857142857143
188.40.137.224:443 => 151.252.176.115:50707,188.40.137.224,443,151.252.176.115,50707,6,1678927542.697191,shqiperia,2.076202,99,99,138475,0,66696.30411684412210372593803,47.68322157477933264682338231,1398.7373737373737
