FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:65265 => 188.40.137.224:443,151.252.176.115,65265,188.40.137.224,443,6,1678930840.869662,shqiperia,2.842698,77,77,11555,0,4064.800411440117803579557167,27.08694346005097973826273491,150.06493506493507
151.252.176.115:65266 => 188.40.137.224:443,151.252.176.115,65266,188.40.137.224,443,6,1678930840.870433,shqiperia,2.793187,46,46,6907,0,2472.802572831679368406053730,16.46864316639022020365983373,150.15217391304347
188.40.137.224:443 => 151.252.176.115:65266,188.40.137.224,443,151.252.176.115,65266,6,1678930840.914557,shqiperia,2.836797,78,78,102784,0,36232.41282333561407460597286,27.49579895917825632218308183,1317.7435897435898
188.40.137.224:443 => 151.252.176.115:65265,188.40.137.224,443,151.252.176.115,65265,6,1678930840.914563,shqiperia,2.797692,156,156,215413,0,76996.68155036365690004475117,55.76024809021150291025602532,1380.8525641025642
151.252.176.115:65268 => 188.40.137.224:443,151.252.176.115,65268,188.40.137.224,443,6,1678930842.556066,shqiperia,2.099029,37,37,4997,0,2380.624564977425276163406985,17.62719809969276270122994966,135.05405405405406
151.252.176.115:65269 => 188.40.137.224:443,151.252.176.115,65269,188.40.137.224,443,6,1678930842.556942,shqiperia,1.215955,65,65,9633,0,7922.168172341904100069492703,53.45592558935157962260116534,148.2
151.252.176.115:65270 => 188.40.137.224:443,151.252.176.115,65270,188.40.137.224,443,6,1678930842.576698,shqiperia,1.194882,86,86,10136,0,8482.846004877469072259854948,71.97363421660046766124186321,117.86046511627907
151.252.176.115:65271 => 188.40.137.224:443,151.252.176.115,65271,188.40.137.224,443,6,1678930842.577045,shqiperia,1.320395,54,54,6822,0,5166.635741577331025942994331,40.89685283570446722382317413,126.33333333333333
188.40.137.224:443 => 151.252.176.115:65268,188.40.137.224,443,151.252.176.115,65268,6,1678930842.599651,shqiperia,2.055093,77,77,104413,0,50806.94644962539408192232663,37.46789074752334809178951999,1356.012987012987
188.40.137.224:443 => 151.252.176.115:65269,188.40.137.224,443,151.252.176.115,65269,6,1678930842.603219,shqiperia,1.169451,106,106,141536,0,121027.7301058359862875828059,90.64082206094996712132445053,1335.245283018868
188.40.137.224:443 => 151.252.176.115:65270,188.40.137.224,443,151.252.176.115,65270,6,1678930842.621739,shqiperia,1.149589,262,262,375359,0,326515.8243511376674620233840,227.9075391292018277836687721,1432.6679389312976
188.40.137.224:443 => 151.252.176.115:65271,188.40.137.224,443,151.252.176.115,65271,6,1678930842.622976,shqiperia,1.274296,86,86,110402,0,86637.64148988931927903720957,67.48824448950636272891070834,1283.7441860465117
151.252.176.115:65294 => 188.40.137.224:443,151.252.176.115,65294,188.40.137.224,443,6,1678930843.662142,shqiperia,0.046337,2,2,104,0,2244.426700045320154520145888,43.16205192394846451000280553,52.0
188.40.137.224:443 => 151.252.176.115:65294,188.40.137.224,443,151.252.176.115,65294,6,1678930843.708332,shqiperia,0.000000,1,1,60,0,0,0,60.0
