FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:55661 => 188.40.137.224:443,151.252.176.115,55661,188.40.137.224,443,6,1678929020.878388,shqiperia,1.367750,91,91,11269,0,8239.078779016633156644123561,66.53262657649424236885395723,123.83516483516483
151.252.176.115:55662 => 188.40.137.224:443,151.252.176.115,55662,188.40.137.224,443,6,1678929020.881838,shqiperia,1.362728,44,44,8824,0,6475.246711009093524166231266,32.28817489623754703800024656,200.54545454545453
188.40.137.224:443 => 151.252.176.115:55661,188.40.137.224,443,151.252.176.115,55661,6,1678929020.924095,shqiperia,1.321928,151,151,205365,0,155352.6364522122233586095461,114.2270986014366894414824408,1360.0331125827815
188.40.137.224:443 => 151.252.176.115:55662,188.40.137.224,443,151.252.176.115,55662,6,1678929020.925633,shqiperia,1.318817,67,67,85171,0,64581.36344921243811688808986,50.80310611707310415319183784,1271.2089552238806
151.252.176.115:55664 => 188.40.137.224:443,151.252.176.115,55664,188.40.137.224,443,6,1678929021.276068,shqiperia,2.396520,30,30,3975,0,1658.655049822242251264333283,12.51815131941314906614591157,132.5
151.252.176.115:55665 => 188.40.137.224:443,151.252.176.115,55665,188.40.137.224,443,6,1678929021.276431,shqiperia,1.086860,65,65,9636,0,8865.907292567580001104098044,59.80531071159118929760962773,148.24615384615385
151.252.176.115:55666 => 188.40.137.224:443,151.252.176.115,55666,188.40.137.224,443,6,1678929021.284953,shqiperia,0.961212,83,83,8284,0,8618.286080490047981090539860,86.34931732021655992642622023,99.80722891566265
151.252.176.115:55667 => 188.40.137.224:443,151.252.176.115,55667,188.40.137.224,443,6,1678929021.286852,shqiperia,0.957745,95,95,10250,0,10702.22240784342387587510245,99.19132963367075787396436421,107.89473684210526
188.40.137.224:443 => 151.252.176.115:55664,188.40.137.224,443,151.252.176.115,55664,6,1678929021.320452,shqiperia,2.351771,46,46,58074,0,24693.73080967492158037495998,19.55972754149957627677184556,1262.4782608695652
188.40.137.224:443 => 151.252.176.115:55665,188.40.137.224,443,151.252.176.115,55665,6,1678929021.320457,shqiperia,1.042698,111,111,152669,0,146417.2751841856414800833990,106.4546014282179499720916315,1375.3963963963963
188.40.137.224:443 => 151.252.176.115:55667,188.40.137.224,443,151.252.176.115,55667,6,1678929021.331568,shqiperia,0.912882,206,206,295612,0,323822.7941836951544668423739,225.6589570174458473274749639,1435.009708737864
188.40.137.224:443 => 151.252.176.115:55666,188.40.137.224,443,151.252.176.115,55666,6,1678929021.333602,shqiperia,0.912422,178,178,252238,0,276448.8361744894358093075353,195.0851689240285744973268948,1417.0674157303372
