FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:58478 => 188.40.137.224:443,151.252.176.115,58478,188.40.137.224,443,6,1678932683.839739,shqiperia,1.463243,49,49,5880,0,4018.471299708934196165640294,33.48726083090778496804700245,120.0
151.252.176.115:58479 => 188.40.137.224:443,151.252.176.115,58479,188.40.137.224,443,6,1678932683.840018,shqiperia,1.462995,59,59,8881,0,6070.424027423196935054460200,40.32823078684479441146415401,150.52542372881356
188.40.137.224:443 => 151.252.176.115:58478,188.40.137.224,443,151.252.176.115,58478,6,1678932683.885480,shqiperia,1.417339,95,95,125332,0,88427.68032206832663180791610,67.02701329745389070645766468,1319.2842105263157
188.40.137.224:443 => 151.252.176.115:58479,188.40.137.224,443,151.252.176.115,58479,6,1678932683.886859,shqiperia,1.415961,138,138,184816,0,130523.3689345963624704352733,97.46031140688196920677900027,1339.2463768115942
151.252.176.115:58481 => 188.40.137.224:443,151.252.176.115,58481,188.40.137.224,443,6,1678932684.111310,shqiperia,1.191643,63,63,9999,0,8390.935875929284189979717080,52.86818283663815421229344695,158.71428571428572
151.252.176.115:58482 => 188.40.137.224:443,151.252.176.115,58482,188.40.137.224,443,6,1678932684.112075,shqiperia,1.191005,70,70,10144,0,8517.176670123131305074286002,58.77389263689069315410094836,144.9142857142857
151.252.176.115:58483 => 188.40.137.224:443,151.252.176.115,58483,188.40.137.224,443,6,1678932684.112199,shqiperia,2.836646,36,36,5333,0,1880.037198860908269836983536,12.69104428257879199589938258,148.13888888888889
151.252.176.115:58484 => 188.40.137.224:443,151.252.176.115,58484,188.40.137.224,443,6,1678932684.122211,shqiperia,1.180836,81,81,11187,0,9473.796530593579464040730466,68.59546965031553916039145148,138.11111111111111
188.40.137.224:443 => 151.252.176.115:58483,188.40.137.224,443,151.252.176.115,58483,6,1678932684.156343,shqiperia,2.792229,49,49,58227,0,20853.23231010064002630156767,17.54870392077440639718303907,1188.3061224489795
188.40.137.224:443 => 151.252.176.115:58481,188.40.137.224,443,151.252.176.115,58481,6,1678932684.156348,shqiperia,1.146472,98,98,129609,0,113050.2969108709152949221612,85.47962793683578840128673007,1322.5408163265306
188.40.137.224:443 => 151.252.176.115:58482,188.40.137.224,443,151.252.176.115,58482,6,1678932684.157657,shqiperia,1.145164,130,130,174780,0,152624.4275929037238334421969,113.5208581478286079548431491,1344.4615384615386
188.40.137.224:443 => 151.252.176.115:58484,188.40.137.224,443,151.252.176.115,58484,6,1678932684.168833,shqiperia,1.133988,218,218,308918,0,272417.3448043541906969033182,192.2418932122738512224115246,1417.0550458715597
151.252.176.115:58510 => 188.40.137.224:443,151.252.176.115,58510,188.40.137.224,443,6,1678932685.247571,shqiperia,0.044889,2,2,104,0,2316.825948450622646973646105,44.55434516251197398026242509,52.0
188.40.137.224:443 => 151.252.176.115:58510,188.40.137.224,443,151.252.176.115,58510,6,1678932685.292353,shqiperia,0.000000,1,1,60,0,0,0,60.0
