FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:61190 => 65.254.227.240:443,151.252.176.115,61190,65.254.227.240,443,6,1678933058.572776,tribuna-news,4.082618,153,153,15760,0,3860.268092679746182474088930,37.47595293020311966488170091,103.00653594771242
151.252.176.115:61191 => 65.254.227.240:443,151.252.176.115,61191,65.254.227.240,443,6,1678933058.573095,tribuna-news,4.798360,152,152,17051,0,3553.505781141890145799814937,31.67748980901808117773572637,112.17763157894737
65.254.227.240:443 => 151.252.176.115:61191,65.254.227.240,443,151.252.176.115,61191,6,1678933058.671603,tribuna-news,4.699676,419,419,602436,0,128186.7090412190116935720675,89.15508218013326876150611234,1437.7947494033413
65.254.227.240:443 => 151.252.176.115:61190,65.254.227.240,443,151.252.176.115,61190,6,1678933058.677398,tribuna-news,3.977880,463,463,675496,0,169813.0662563978802779369916,116.3936569227829899343368830,1458.9546436285098
151.252.176.115:61193 => 65.254.227.240:443,151.252.176.115,61193,65.254.227.240,443,6,1678933060.412911,tribuna-news,2.241246,97,97,11089,0,4947.694273631720926663115071,43.27949720824933987612247830,114.31958762886597
151.252.176.115:61194 => 65.254.227.240:443,151.252.176.115,61194,65.254.227.240,443,6,1678933060.413265,tribuna-news,2.240831,143,143,15109,0,6742.587906004513504141990181,63.81561126207197240666520590,105.65734265734265
151.252.176.115:61195 => 65.254.227.240:443,151.252.176.115,61195,65.254.227.240,443,6,1678933060.414022,tribuna-news,2.233643,109,109,10773,0,4823.062593261322422607372799,48.79920381188936638486991878,98.8348623853211
151.252.176.115:61196 => 65.254.227.240:443,151.252.176.115,61196,65.254.227.240,443,6,1678933060.414518,tribuna-news,2.233083,133,133,14687,0,6577.005870359498504981677797,59.55891473805496705675516763,110.42857142857143
65.254.227.240:443 => 151.252.176.115:61195,65.254.227.240,443,151.252.176.115,61195,6,1678933060.512275,tribuna-news,2.135167,275,275,398073,0,186436.4707772272613804915494,128.7955462031775500464366487,1447.5381818181818
65.254.227.240:443 => 151.252.176.115:61196,65.254.227.240,443,151.252.176.115,61196,6,1678933060.512283,tribuna-news,2.135158,388,388,562970,0,263666.6701012290425345571616,181.7195729777374789125675945,1450.9536082474226
65.254.227.240:443 => 151.252.176.115:61194,65.254.227.240,443,151.252.176.115,61194,6,1678933060.515570,tribuna-news,2.138417,442,442,641900,0,300175.3166010184168943662532,206.6949523876774268068388906,1452.262443438914
65.254.227.240:443 => 151.252.176.115:61193,65.254.227.240,443,151.252.176.115,61193,6,1678933060.516956,tribuna-news,2.137038,235,235,333468,0,156042.1480572643069519587392,109.9652884038561785050148851,1419.0127659574468
