FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:64952 => 65.254.227.240:443,151.252.176.115,64952,65.254.227.240,443,6,1678927196.025679,tribuna-news,3.775092,109,109,13810,0,3658.188992480183264407860789,28.87346851414482084145234076,126.69724770642202
151.252.176.115:64953 => 65.254.227.240:443,151.252.176.115,64953,65.254.227.240,443,6,1678927196.026049,tribuna-news,3.767958,104,104,14126,0,3748.980216870782529953890144,27.60115691310784249718282422,135.82692307692307
65.254.227.240:443 => 151.252.176.115:64953,65.254.227.240,443,151.252.176.115,64953,6,1678927196.123813,tribuna-news,3.669998,397,397,574237,0,156467.9326800723052165151044,108.1744458716326275927125846,1446.44080604534
65.254.227.240:443 => 151.252.176.115:64952,65.254.227.240,443,151.252.176.115,64952,6,1678927196.129809,tribuna-news,3.670811,429,429,624393,0,170096.7442889323367506526487,116.8679073915818602483211476,1455.4615384615386
151.252.176.115:64955 => 65.254.227.240:443,151.252.176.115,64955,65.254.227.240,443,6,1678927197.791272,tribuna-news,2.005514,75,75,10254,0,5112.903724431741688165727090,37.39689675564468759629700915,136.72
151.252.176.115:64956 => 65.254.227.240:443,151.252.176.115,64956,65.254.227.240,443,6,1678927197.792178,tribuna-news,2.615116,77,77,11293,0,4318.355285195761870601533546,29.44420056318725440859984796,146.66233766233765
151.252.176.115:64957 => 65.254.227.240:443,151.252.176.115,64957,65.254.227.240,443,6,1678927197.792544,tribuna-news,2.004642,105,105,12652,0,6311.351353508506755819742378,52.37842966474811961437503554,120.4952380952381
151.252.176.115:64958 => 65.254.227.240:443,151.252.176.115,64958,65.254.227.240,443,6,1678927197.792807,tribuna-news,2.001268,98,98,13272,0,6631.795441689968559933002476,48.96895368336474675056014487,135.42857142857142
65.254.227.240:443 => 151.252.176.115:64958,65.254.227.240,443,151.252.176.115,64958,6,1678927197.890723,tribuna-news,1.903099,378,378,549317,0,288643.4179199295464923264633,198.6234031965756904921919459,1453.2195767195767
65.254.227.240:443 => 151.252.176.115:64955,65.254.227.240,443,151.252.176.115,64955,6,1678927197.893787,tribuna-news,1.902825,258,258,369114,0,193982.1055535848015450711442,135.5878759213274999014622995,1430.6744186046512
65.254.227.240:443 => 151.252.176.115:64957,65.254.227.240,443,151.252.176.115,64957,6,1678927197.893799,tribuna-news,1.903332,472,472,688819,0,361901.6545720872659105190266,247.9861632127237917504670756,1459.3622881355932
65.254.227.240:443 => 151.252.176.115:64956,65.254.227.240,443,151.252.176.115,64956,6,1678927197.895805,tribuna-news,2.511300,266,266,380230,0,151407.6374785967427228925258,105.9212360132202444948831283,1429.436090225564
