FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:58283 => 65.254.227.240:443,151.252.176.115,58283,65.254.227.240,443,6,1678929361.344956,tribuna-news,3.933783,112,112,14523,0,3691.866073954765679754068793,28.47132137181944199769026405,129.66964285714286
151.252.176.115:58284 => 65.254.227.240:443,151.252.176.115,58284,65.254.227.240,443,6,1678929361.345211,tribuna-news,3.933561,115,115,13739,0,3492.763935782361071812538308,29.23559593965874687083789981,119.4695652173913
65.254.227.240:443 => 151.252.176.115:58283,65.254.227.240,443,151.252.176.115,58283,6,1678929361.443550,tribuna-news,3.834848,420,420,608137,0,158581.7742971820525872211884,109.5219419387678468612054506,1447.945238095238
65.254.227.240:443 => 151.252.176.115:58284,65.254.227.240,443,151.252.176.115,58284,6,1678929361.443555,tribuna-news,3.834845,435,435,633820,0,165279.1703445641218875860693,113.4335286041547963477011457,1457.057471264368
151.252.176.115:58286 => 65.254.227.240:443,151.252.176.115,58286,65.254.227.240,443,6,1678929363.244144,tribuna-news,2.049790,79,79,11479,0,5600.085862454202625634821128,38.54053342049673381175632626,145.30379746835442
151.252.176.115:58287 => 65.254.227.240:443,151.252.176.115,58287,65.254.227.240,443,6,1678929363.244544,tribuna-news,2.034058,106,106,13617,0,6694.499370224447877100849632,52.11257496098931298910847183,128.46226415094338
151.252.176.115:58288 => 65.254.227.240:443,151.252.176.115,58288,65.254.227.240,443,6,1678929363.245048,tribuna-news,2.033653,82,82,10531,0,5178.366220785945291551705232,40.32152977917078282283162368,128.4268292682927
151.252.176.115:58289 => 65.254.227.240:443,151.252.176.115,58289,65.254.227.240,443,6,1678929363.245384,tribuna-news,2.033280,89,89,12847,0,6318.362448851117406358199559,43.77163991186654076172489770,144.34831460674158
65.254.227.240:443 => 151.252.176.115:58287,65.254.227.240,443,151.252.176.115,58287,6,1678929363.341212,tribuna-news,1.937173,427,427,620993,0,320566.6195017171930436775652,220.4242987074463664319087660,1454.3161592505855
65.254.227.240:443 => 151.252.176.115:58288,65.254.227.240,443,151.252.176.115,58288,6,1678929363.341212,tribuna-news,1.937186,312,312,449323,0,231946.2354157009187553492540,161.0583599096834274044929088,1440.1378205128206
65.254.227.240:443 => 151.252.176.115:58289,65.254.227.240,443,151.252.176.115,58289,6,1678929363.344015,tribuna-news,1.934382,312,312,449809,0,232533.6981009955634409335902,161.2918234350815919502973043,1441.695512820513
65.254.227.240:443 => 151.252.176.115:58286,65.254.227.240,443,151.252.176.115,58286,6,1678929363.349031,tribuna-news,1.944677,295,295,424541,0,218309.2616408791794215697517,151.6961428556001845036476495,1439.122033898305
