FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
151.252.176.115:63128 => 65.254.227.240:443,151.252.176.115,63128,65.254.227.240,443,6,1678930490.217732,tribuna-news,3.743580,121,121,17102,0,4568.354355990789565068731001,32.32200193397763638014948258,141.3388429752066
151.252.176.115:63129 => 65.254.227.240:443,151.252.176.115,63129,65.254.227.240,443,6,1678930490.218630,tribuna-news,3.742707,94,94,12483,0,3335.286465117360242199028671,25.11551131306832193917397221,132.79787234042553
65.254.227.240:443 => 151.252.176.115:63128,65.254.227.240,443,151.252.176.115,63128,6,1678930490.322275,tribuna-news,3.638972,490,490,710203,0,195165.8325483130950169443458,134.6534131067785077763720084,1449.3938775510203
65.254.227.240:443 => 151.252.176.115:63129,65.254.227.240,443,151.252.176.115,63129,6,1678930490.322283,tribuna-news,3.638969,375,375,542898,0,149190.0590524404027624307874,103.0511664155424242415915057,1447.728
151.252.176.115:63131 => 65.254.227.240:443,151.252.176.115,63131,65.254.227.240,443,6,1678930492.079862,tribuna-news,1.878594,76,76,8559,0,4556.066930906837773356031159,40.45578767950925000292772148,112.61842105263158
151.252.176.115:63132 => 65.254.227.240:443,151.252.176.115,63132,65.254.227.240,443,6,1678930492.080985,tribuna-news,1.872450,87,87,10634,0,5679.190365563833480199738311,46.46318993831610990947688857,122.22988505747126
151.252.176.115:63133 => 65.254.227.240:443,151.252.176.115,63133,65.254.227.240,443,6,1678930492.081613,tribuna-news,2.470658,94,94,13695,0,5543.057760321339497413239712,38.04654468566673331557827915,145.69148936170214
151.252.176.115:63134 => 65.254.227.240:443,151.252.176.115,63134,65.254.227.240,443,6,1678930492.081761,tribuna-news,1.871722,100,100,12406,0,6628.121056438936978888958937,53.42673751764418006520199047,124.06
65.254.227.240:443 => 151.252.176.115:63132,65.254.227.240,443,151.252.176.115,63132,6,1678930492.179038,tribuna-news,1.774298,328,328,476199,0,268387.2720366026451024574226,184.8618439518051646341257218,1451.8262195121952
65.254.227.240:443 => 151.252.176.115:63133,65.254.227.240,443,151.252.176.115,63133,6,1678930492.179050,tribuna-news,2.373046,312,312,448565,0,189024.9915088034534518083510,131.4765916884881287594087936,1437.7083333333333
65.254.227.240:443 => 151.252.176.115:63134,65.254.227.240,443,151.252.176.115,63134,6,1678930492.179050,tribuna-news,1.774294,381,381,553034,0,311692.4252688675044834734266,214.7332967366174940567910391,1451.5328083989502
65.254.227.240:443 => 151.252.176.115:63131,65.254.227.240,443,151.252.176.115,63131,6,1678930492.183232,tribuna-news,1.775063,288,288,415095,0,233848.0380696347115567165785,162.2477624737826206731817406,1441.3020833333333
