FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:61074 => 173.231.244.176:443,10.1.215.139,61074,173.231.244.176,443,6,1680729906.810216,bulevardionline,3.661334,89,89,9547,0,2607.519554348223898721067239,24.30808006043698826711794117,107.26966292134831
10.1.215.139:61075 => 173.231.244.176:443,10.1.215.139,61075,173.231.244.176,443,6,1680729906.810480,bulevardionline,0.619059,12,12,1586,0,2561.952899481309535924685692,19.38425901246892460977063576,132.16666666666666
173.231.244.176:443 => 10.1.215.139:61074,173.231.244.176,443,10.1.215.139,61074,6,1680729906.933976,bulevardionline,3.537492,258,258,344961,0,97515.69756200155364308951087,72.93302712769385768222232022,1337.0581395348838
173.231.244.176:443 => 10.1.215.139:61075,173.231.244.176,443,10.1.215.139,61075,6,1680729906.933984,bulevardionline,0.495484,9,9,6521,0,13160.86896852370611361819958,18.16405776977662245400456927,724.5555555555555
10.1.215.139:61090 => 173.231.244.176:443,10.1.215.139,61090,173.231.244.176,443,6,1680729908.068337,bulevardionline,0.613749,12,12,1590,0,2590.635585556962210936392564,19.55196668344877140329352879,132.5
10.1.215.139:61091 => 173.231.244.176:443,10.1.215.139,61091,173.231.244.176,443,6,1680729908.068382,bulevardionline,0.624962,10,10,1412,0,2259.337367711956886978728307,16.00097285914983631004765090,141.2
10.1.215.139:61092 => 173.231.244.176:443,10.1.215.139,61092,173.231.244.176,443,6,1680729908.068420,bulevardionline,0.616124,10,10,1412,0,2291.746466620355642695301595,16.23049905538495497659562036,141.2
10.1.215.139:61093 => 173.231.244.176:443,10.1.215.139,61093,173.231.244.176,443,6,1680729908.068456,bulevardionline,0.616103,10,10,1412,0,2291.824581279428926656744083,16.23105227535006321994861249,141.2
10.1.215.139:61094 => 173.231.244.176:443,10.1.215.139,61094,173.231.244.176,443,6,1680729908.068494,bulevardionline,2.398692,129,129,10580,0,4410.737185099212404093564326,53.77930972379947071153778809,82.01550387596899
10.1.215.139:61095 => 173.231.244.176:443,10.1.215.139,61095,173.231.244.176,443,6,1680729908.068534,bulevardionline,0.629522,10,10,1400,0,2223.909569482877484821817188,15.88506835344912489158440849,140.0
173.231.244.176:443 => 10.1.215.139:61090,173.231.244.176,443,10.1.215.139,61090,6,1680729908.188399,bulevardionline,0.493553,9,9,6360,0,12886.15407058613765897482135,18.23512368479170423439833209,706.6666666666666
173.231.244.176:443 => 10.1.215.139:61094,173.231.244.176,443,10.1.215.139,61094,6,1680729908.188404,bulevardionline,2.278754,695,695,1005891,0,441421.4961334132600535204765,304.9912364388608862562610971,1447.325179856115
173.231.244.176:443 => 10.1.215.139:61095,173.231.244.176,443,10.1.215.139,61095,6,1680729908.198496,bulevardionline,0.499483,9,9,5692,0,11395.78323987002560647709732,18.01863126472772847123926140,632.4444444444445
173.231.244.176:443 => 10.1.215.139:61091,173.231.244.176,443,10.1.215.139,61091,6,1680729908.198507,bulevardionline,0.494790,8,8,5640,0,11398.77523797974898441763172,16.16847551486489217647891024,705.0
173.231.244.176:443 => 10.1.215.139:61092,173.231.244.176,443,10.1.215.139,61092,6,1680729908.198507,bulevardionline,0.486007,8,8,5640,0,11604.77112469573483509496777,16.46066826197976572353896137,705.0
173.231.244.176:443 => 10.1.215.139:61093,173.231.244.176,443,10.1.215.139,61093,6,1680729908.198507,bulevardionline,0.486011,8,8,5640,0,11604.67561433794708350222526,16.46053278629496040213081597,705.0
