FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:53385 => 173.231.244.176:443,10.1.215.139,53385,173.231.244.176,443,6,1680730726.603971,bulevardionline,3.752097,13,13,1662,0,442.9523010732398442790791389,3.464729190103560755492195431,127.84615384615384
10.1.215.139:53386 => 173.231.244.176:443,10.1.215.139,53386,173.231.244.176,443,6,1680730726.604257,bulevardionline,3.747934,83,83,9654,0,2575.819104605363915159658628,22.14553404622386626872298178,116.3132530120482
173.231.244.176:443 => 10.1.215.139:53386,173.231.244.176,443,10.1.215.139,53386,6,1680730726.727317,bulevardionline,3.624691,240,240,321119,0,88592.10343723092533956687618,66.21254060001252520559683570,1337.9958333333334
173.231.244.176:443 => 10.1.215.139:53385,173.231.244.176,443,10.1.215.139,53385,6,1680730726.727324,bulevardionline,3.628655,10,10,6573,0,1811.414973316559441445935202,2.755842040645914257486589384,657.3
10.1.215.139:53400 => 173.231.244.176:443,10.1.215.139,53400,173.231.244.176,443,6,1680730727.865003,bulevardionline,0.612944,10,10,1412,0,2303.636221253491346680936595,16.31470411652614268187632149,141.2
10.1.215.139:53401 => 173.231.244.176:443,10.1.215.139,53401,173.231.244.176,443,6,1680730727.865047,bulevardionline,0.606519,10,10,1412,0,2328.039187560488624428913192,16.48752965694397042796680731,141.2
10.1.215.139:53402 => 173.231.244.176:443,10.1.215.139,53402,173.231.244.176,443,6,1680730727.865085,bulevardionline,2.487048,114,114,8420,0,3385.539804619774125790897482,45.83747478938886583612379013,73.85964912280701
10.1.215.139:53403 => 173.231.244.176:443,10.1.215.139,53403,173.231.244.176,443,6,1680730727.865119,bulevardionline,0.612839,10,10,1412,0,2304.030911870817620941225999,16.31749937585564887352143059,141.2
10.1.215.139:53404 => 173.231.244.176:443,10.1.215.139,53404,173.231.244.176,443,6,1680730727.865151,bulevardionline,0.612816,10,10,1412,0,2304.117385969034751050886400,16.31811179864755489412809065,141.2
10.1.215.139:53405 => 173.231.244.176:443,10.1.215.139,53405,173.231.244.176,443,6,1680730727.865179,bulevardionline,0.606402,10,10,1412,0,2328.488362505400707781306790,16.49071078261615232139735687,141.2
173.231.244.176:443 => 10.1.215.139:53402,173.231.244.176,443,10.1.215.139,53402,6,1680730727.987145,bulevardionline,2.364856,688,688,998199,0,422097.1594042089666347549280,290.9268048456227355915117030,1450.8706395348838
173.231.244.176:443 => 10.1.215.139:53405,173.231.244.176,443,10.1.215.139,53405,6,1680730727.987150,bulevardionline,0.484387,8,8,5640,0,11643.58250737530115382947932,16.51571986861744844514819762,705.0
173.231.244.176:443 => 10.1.215.139:53401,173.231.244.176,443,10.1.215.139,53401,6,1680730727.987151,bulevardionline,0.484385,8,8,5640,0,11643.63058311054223396678262,16.51578806114970529640678386,705.0
173.231.244.176:443 => 10.1.215.139:53400,173.231.244.176,443,10.1.215.139,53400,6,1680730727.990184,bulevardionline,0.487652,8,8,5640,0,11565.62466677056589535160319,16.40514137130576722744908254,705.0
173.231.244.176:443 => 10.1.215.139:53404,173.231.244.176,443,10.1.215.139,53404,6,1680730727.990709,bulevardionline,0.487129,8,8,5640,0,11578.04195603218038753595044,16.42275454756337643622120629,705.0
173.231.244.176:443 => 10.1.215.139:53403,173.231.244.176,443,10.1.215.139,53403,6,1680730727.990712,bulevardionline,0.487125,8,8,5640,0,11578.13702848344880677444188,16.42288940210418270464459841,705.0
