FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:62505 => 173.231.244.176:443,10.1.215.139,62505,173.231.244.176,443,6,1680731544.070558,bulevardionline,4.669846,99,99,11529,0,2468.818029545299780763648309,21.19984256440148133364569196,116.45454545454545
10.1.215.139:62506 => 173.231.244.176:443,10.1.215.139,62506,173.231.244.176,443,6,1680731544.071368,bulevardionline,4.672884,13,13,1662,0,355.6690044092684517741078101,2.782007856390186445886523184,127.84615384615384
173.231.244.176:443 => 10.1.215.139:62505,173.231.244.176,443,10.1.215.139,62505,6,1680731544.202384,bulevardionline,4.537870,232,232,298294,0,65734.36436037171624572762111,51.12530768840887905559216108,1285.75
173.231.244.176:443 => 10.1.215.139:62506,173.231.244.176,443,10.1.215.139,62506,6,1680731544.202391,bulevardionline,4.541718,10,10,6573,0,1447.249697141037818728507582,2.201809975872566284388418656,657.3
10.1.215.139:62525 => 173.231.244.176:443,10.1.215.139,62525,173.231.244.176,443,6,1680731545.305120,bulevardionline,3.435234,130,130,9654,0,2810.288906083253717214023848,37.84312800816480041825389479,74.26153846153846
10.1.215.139:62526 => 173.231.244.176:443,10.1.215.139,62526,173.231.244.176,443,6,1680731545.305171,bulevardionline,0.608194,10,10,1412,0,2321.627638549541758057461928,16.44212208604491330069024029,141.2
10.1.215.139:62527 => 173.231.244.176:443,10.1.215.139,62527,173.231.244.176,443,6,1680731545.305210,bulevardionline,0.605248,11,11,1452,0,2399.016601459236544358676113,18.17436819287300412392936449,132.0
10.1.215.139:62528 => 173.231.244.176:443,10.1.215.139,62528,173.231.244.176,443,6,1680731545.305245,bulevardionline,0.608145,10,10,1412,0,2321.814698797161861069317350,16.44344687533400751465522203,141.2
10.1.215.139:62529 => 173.231.244.176:443,10.1.215.139,62529,173.231.244.176,443,6,1680731545.305288,bulevardionline,0.605153,10,10,1412,0,2333.294224766298770724097873,16.52474663432222925441995661,141.2
10.1.215.139:62530 => 173.231.244.176:443,10.1.215.139,62530,173.231.244.176,443,6,1680731545.305319,bulevardionline,0.605157,10,10,1412,0,2333.278802029886459216368645,16.52463740814367180748136434,141.2
173.231.244.176:443 => 10.1.215.139:62525,173.231.244.176,443,10.1.215.139,62525,6,1680731545.423760,bulevardionline,3.316488,685,685,997975,0,300913.1949218570970255282094,206.5437896956057130313753585,1456.897810218978
173.231.244.176:443 => 10.1.215.139:62527,173.231.244.176,443,10.1.215.139,62527,6,1680731545.423774,bulevardionline,0.486526,9,9,5692,0,11699.27198135351450898821440,18.49849751092439047450701504,632.4444444444445
173.231.244.176:443 => 10.1.215.139:62530,173.231.244.176,443,10.1.215.139,62530,6,1680731545.425842,bulevardionline,0.484459,8,8,5640,0,11641.85204527111685405782533,16.51326531244130050220968131,705.0
173.231.244.176:443 => 10.1.215.139:62526,173.231.244.176,443,10.1.215.139,62526,6,1680731545.427760,bulevardionline,0.485539,8,8,5640,0,11615.95669966779187665666404,16.47653432576991755554136743,705.0
173.231.244.176:443 => 10.1.215.139:62528,173.231.244.176,443,10.1.215.139,62528,6,1680731545.431589,bulevardionline,0.481711,8,8,5640,0,11708.26491402521428823506210,16.60746796315633232373767674,705.0
173.231.244.176:443 => 10.1.215.139:62529,173.231.244.176,443,10.1.215.139,62529,6,1680731545.431596,bulevardionline,0.478703,8,8,5640,0,11781.83550134425729523316127,16.71182340616206708543710819,705.0
