FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:56631 => 178.33.109.222:443,10.1.215.139,56631,178.33.109.222,443,6,1680729491.987193,lecanton27,2.868015,43,43,6123,0,2134.926072562381995910063232,14.99294808430220901912995574,142.3953488372093
10.1.215.139:56632 => 178.33.109.222:443,10.1.215.139,56632,178.33.109.222,443,6,1680729491.987678,lecanton27,2.867013,34,34,6166,0,2150.670401564276129895469605,11.85903237969273247104216130,181.35294117647058
178.33.109.222:443 => 10.1.215.139:56631,178.33.109.222,443,10.1.215.139,56631,6,1680729492.032368,lecanton27,2.822814,73,73,96644,0,34236.75807190980347979002513,25.86071912637531201134754185,1323.890410958904
178.33.109.222:443 => 10.1.215.139:56632,178.33.109.222,443,10.1.215.139,56632,6,1680729492.032373,lecanton27,2.822300,79,79,105718,0,37458.10154838252489104630975,27.99135456896857173227509478,1338.2025316455697
10.1.215.139:56633 => 178.33.109.222:443,10.1.215.139,56633,178.33.109.222,443,6,1680729492.174596,lecanton27,2.680618,44,44,5559,0,2073.775524897616892820983818,16.41412539944147207845355064,126.3409090909091
10.1.215.139:56634 => 178.33.109.222:443,10.1.215.139,56634,178.33.109.222,443,6,1680729492.174829,lecanton27,2.680682,47,47,5032,0,1877.134251656854487029793165,17.53285171460098586852151803,107.06382978723404
10.1.215.139:56635 => 178.33.109.222:443,10.1.215.139,56635,178.33.109.222,443,6,1680729492.175399,lecanton27,2.680105,45,45,4907,0,1830.898416293391490258777175,16.79038694379511250492051617,109.04444444444445
10.1.215.139:56636 => 178.33.109.222:443,10.1.215.139,56636,178.33.109.222,443,6,1680729492.175813,lecanton27,0.428638,33,33,4116,0,9602.508410360257373354672241,76.98804119093500809540917977,124.72727272727273
178.33.109.222:443 => 10.1.215.139:56633,178.33.109.222,443,10.1.215.139,56633,6,1680729492.222202,lecanton27,2.632980,129,129,176370,0,66984.93721942437846090741289,48.99391563931362942369482488,1367.2093023255813
178.33.109.222:443 => 10.1.215.139:56634,178.33.109.222,443,10.1.215.139,56634,6,1680729492.222211,lecanton27,2.633274,133,133,182119,0,69160.67222780462648398913292,50.50746713027204916769010745,1369.3157894736842
178.33.109.222:443 => 10.1.215.139:56635,178.33.109.222,443,10.1.215.139,56635,6,1680729492.223544,lecanton27,2.631941,113,113,152125,0,57799.54793819466317823993775,42.93409312746752301818315836,1346.2389380530974
178.33.109.222:443 => 10.1.215.139:56636,178.33.109.222,443,10.1.215.139,56636,6,1680729492.223544,lecanton27,0.380849,57,57,73658,0,193404.7352100176185312289122,149.6656155064080514849717342,1292.2456140350878
