FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:60202 => 5.9.72.90:443,10.1.215.139,60202,5.9.72.90,443,6,1680731323.784808,rtv21,2.306702,109,109,7500,0,3251.395282095389868305485494,47.25361143311966608603972251,68.80733944954129
10.1.215.139:60203 => 5.9.72.90:443,10.1.215.139,60203,5.9.72.90,443,6,1680731323.784979,rtv21,2.306723,101,101,13235,0,5737.576640108066724960040716,43.78505785046579064759834623,131.03960396039605
5.9.72.90:443 => 10.1.215.139:60202,5.9.72.90,443,10.1.215.139,60202,6,1680731323.821933,rtv21,2.269127,579,579,374166,0,164894.2522829264294153654687,255.1642107295008168339630175,646.2279792746114
5.9.72.90:443 => 10.1.215.139:60203,5.9.72.90,443,10.1.215.139,60203,6,1680731323.821942,rtv21,2.269118,200,200,280840,0,123766.1505483628440654033858,88.13997332884407069178420867,1404.2
10.1.215.139:60205 => 5.9.72.90:443,10.1.215.139,60205,5.9.72.90,443,6,1680731324.411269,rtv21,1.680185,61,61,5111,0,3041.926930665373158312923874,36.30552587959064031639373045,83.78688524590164
10.1.215.139:60206 => 5.9.72.90:443,10.1.215.139,60206,5.9.72.90,443,6,1680731324.412031,rtv21,1.679324,113,113,10614,0,6320.400351570036514692816872,67.28898056598964821559151182,93.929203539823
10.1.215.139:60207 => 5.9.72.90:443,10.1.215.139,60207,5.9.72.90,443,6,1680731324.412172,rtv21,1.679232,37,37,3685,0,2194.455560637243692354600198,22.03388215565210763015473740,99.5945945945946
10.1.215.139:60208 => 5.9.72.90:443,10.1.215.139,60208,5.9.72.90,443,6,1680731324.412227,rtv21,1.679069,44,44,4725,0,2814.059457949613744283290323,26.20499812693820206316714798,107.38636363636364
5.9.72.90:443 => 10.1.215.139:60205,5.9.72.90,443,10.1.215.139,60205,6,1680731324.449388,rtv21,1.641672,152,152,212943,0,129711.0506849114804906217564,92.58853169207978207583488054,1400.9407894736842
5.9.72.90:443 => 10.1.215.139:60206,5.9.72.90,443,10.1.215.139,60206,6,1680731324.449395,rtv21,1.641664,296,296,426074,0,259537.8835133133211180850649,180.3048614089119332579626525,1439.4391891891892
5.9.72.90:443 => 10.1.215.139:60208,5.9.72.90,443,10.1.215.139,60208,6,1680731324.449396,rtv21,1.641663,60,60,77077,0,46950.56171699063693340228780,36.54830498098574433364216651,1284.6166666666666
5.9.72.90:443 => 10.1.215.139:60207,5.9.72.90,443,10.1.215.139,60207,6,1680731324.449396,rtv21,1.641663,64,64,80644,0,49123.35844811023943403731460,38.98485864638479395588497761,1260.0625
