FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:58749 => 5.9.72.90:443,10.1.215.139,58749,5.9.72.90,443,6,1680729689.185935,rtv21,1.931771,110,110,7556,0,3911.436707560057584465239410,56.94256720905324699459718569,68.69090909090909
10.1.215.139:58751 => 5.9.72.90:443,10.1.215.139,58751,5.9.72.90,443,6,1680729689.186676,rtv21,1.934131,68,68,7659,0,3959.917916625088993454941780,35.15790812514767613982713684,112.63235294117646
5.9.72.90:443 => 10.1.215.139:58749,5.9.72.90,443,10.1.215.139,58749,6,1680729689.222102,rtv21,1.895367,575,575,368194,0,194260.0034716231737705679164,303.3713259753915732414883239,640.3373913043479
5.9.72.90:443 => 10.1.215.139:58751,5.9.72.90,443,10.1.215.139,58751,6,1680729689.223368,rtv21,1.897301,229,229,327055,0,172379.0795451011726658026323,120.6977701482263489029943061,1428.1877729257642
10.1.215.139:58752 => 5.9.72.90:443,10.1.215.139,58752,5.9.72.90,443,6,1680729689.888915,rtv21,1.231943,47,47,5408,0,4389.813489747496434494128381,38.15111575779074194179438497,115.06382978723404
10.1.215.139:58753 => 5.9.72.90:443,10.1.215.139,58753,5.9.72.90,443,6,1680729689.889052,rtv21,1.231796,42,42,5877,0,4771.082224654082331814683600,34.09655494903376857856333354,139.92857142857142
10.1.215.139:58754 => 5.9.72.90:443,10.1.215.139,58754,5.9.72.90,443,6,1680729689.889359,rtv21,1.228316,81,81,8556,0,6965.634250469748826849117002,65.94394276391417192318589028,105.62962962962963
10.1.215.139:58755 => 5.9.72.90:443,10.1.215.139,58755,5.9.72.90,443,6,1680729689.889420,rtv21,1.228220,38,38,4434,0,3610.102424647050202732409503,30.93908257478301932878474540,116.6842105263158
5.9.72.90:443 => 10.1.215.139:58755,5.9.72.90,443,10.1.215.139,58755,6,1680729689.934390,rtv21,1.183078,90,90,121235,0,102474.2240156608440018325081,76.07275259957500688881037429,1347.0555555555557
5.9.72.90:443 => 10.1.215.139:58754,5.9.72.90,443,10.1.215.139,58754,6,1680729689.934400,rtv21,1.183069,226,226,322140,0,272291.8105368325938723776889,191.0285875126471913303450602,1425.3982300884957
5.9.72.90:443 => 10.1.215.139:58752,5.9.72.90,443,10.1.215.139,58752,6,1680729689.934400,rtv21,1.186269,121,121,167099,0,140860.9682963982031057036810,102.0004737542665280808990204,1380.98347107438
5.9.72.90:443 => 10.1.215.139:58753,5.9.72.90,443,10.1.215.139,58753,6,1680729689.934401,rtv21,1.186268,109,109,146026,0,123096.9730280172777146479548,91.88480174800298077668789852,1339.6880733944954
