FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:57535 => 138.201.56.69:443,10.1.215.139,57535,138.201.56.69,443,6,1680729556.143261,telesport,1.372483,85,85,9475,0,6903.546346293542433676774139,61.93155033614259703034573106,111.47058823529412
10.1.215.139:57536 => 138.201.56.69:443,10.1.215.139,57536,138.201.56.69,443,6,1680729556.146059,telesport,1.369583,62,62,5055,0,3690.904457780214853718248547,45.26925348810550364600027892,81.53225806451613
138.201.56.69:443 => 10.1.215.139:57535,138.201.56.69,443,10.1.215.139,57535,6,1680729556.177297,telesport,1.338205,388,388,557668,0,416728.3786863746585911725035,289.9406294252375383442746067,1437.2886597938145
138.201.56.69:443 => 10.1.215.139:57536,138.201.56.69,443,10.1.215.139,57536,6,1680729556.180249,telesport,1.335246,269,269,390153,0,292195.5954183723448712821458,201.4610041894901763420373474,1450.3828996282527
10.1.215.139:57538 => 138.201.56.69:443,10.1.215.139,57538,138.201.56.69,443,6,1680729556.687573,telesport,0.828145,49,49,5759,0,6954.096202959626635432200883,59.16838234850177203267543727,117.53061224489795
10.1.215.139:57539 => 138.201.56.69:443,10.1.215.139,57539,138.201.56.69,443,6,1680729556.687639,telesport,0.822959,58,58,7444,0,9045.408094449419715927524944,70.47738708732755823801671772,128.3448275862069
10.1.215.139:57540 => 138.201.56.69:443,10.1.215.139,57540,138.201.56.69,443,6,1680729556.687696,telesport,0.828071,56,56,6727,0,8123.699537841561895054892636,67.62705130357179517215311247,120.125
138.201.56.69:443 => 10.1.215.139:57538,138.201.56.69,443,10.1.215.139,57538,6,1680729556.724108,telesport,0.791393,105,105,147043,0,185802.7553946016707249116431,132.6774434446602383392322146,1400.4095238095238
138.201.56.69:443 => 10.1.215.139:57540,138.201.56.69,443,10.1.215.139,57540,6,1680729556.724115,telesport,0.791387,197,197,282799,0,357346.0266595230904728028133,248.9300430762698907108658596,1435.527918781726
138.201.56.69:443 => 10.1.215.139:57539,138.201.56.69,443,10.1.215.139,57539,6,1680729556.724116,telesport,0.786319,180,180,256091,0,325683.3422567685633947545462,228.9147279920744634175188441,1422.7277777777779
10.1.215.139:57546 => 138.201.56.69:443,10.1.215.139,57546,138.201.56.69,443,6,1680729556.783296,telesport,0.732396,110,110,8935,0,12199.68432378112387287751435,150.1919726486763991064943009,81.22727272727273
138.201.56.69:443 => 10.1.215.139:57546,138.201.56.69,443,10.1.215.139,57546,6,1680729556.818978,telesport,0.696523,582,582,850622,0,1221240.361050532430372004945,835.5790117483557614034281711,1461.5498281786943
