FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:50765 => 51.178.75.191:443,10.1.215.139,50765,51.178.75.191,443,6,1680730484.852929,balkanweb,2.382792,109,109,24236,0,10171.26127668718041692266887,45.74465584910474770773109864,222.348623853211
10.1.215.139:50766 => 51.178.75.191:443,10.1.215.139,50766,51.178.75.191,443,6,1680730484.853106,balkanweb,2.371504,139,139,20593,0,8683.518982046836100634871373,58.61259352714564259642825819,148.15107913669064
51.178.75.191:443 => 10.1.215.139:50765,51.178.75.191,443,10.1.215.139,50765,6,1680730484.897829,balkanweb,2.337714,259,259,362724,0,155161.8375900559264306925484,110.7919959413341409599292300,1400.4787644787646
51.178.75.191:443 => 10.1.215.139:50766,51.178.75.191,443,10.1.215.139,50766,6,1680730484.897835,balkanweb,2.326417,694,694,995652,0,427976.5837336986447399584855,298.3128132230808148324225622,1434.657060518732
10.1.215.139:50768 => 51.178.75.191:443,10.1.215.139,50768,51.178.75.191,443,6,1680730485.044790,balkanweb,2.179720,85,85,18441,0,8460.260950947828161415227644,38.99583432734479657937716771,216.95294117647057
10.1.215.139:50769 => 51.178.75.191:443,10.1.215.139,50769,51.178.75.191,443,6,1680730485.044969,balkanweb,2.159693,91,91,19138,0,8861.444659032556942120940337,42.13561834945985378477403964,210.30769230769232
10.1.215.139:50770 => 51.178.75.191:443,10.1.215.139,50770,51.178.75.191,443,6,1680730485.045119,balkanweb,2.179458,75,75,15410,0,7070.565250626531917568496388,34.41222542485333509523927509,205.46666666666667
10.1.215.139:50771 => 51.178.75.191:443,10.1.215.139,50771,51.178.75.191,443,6,1680730485.045467,balkanweb,2.179077,83,83,16419,0,7534.841586598362517708185622,38.08952138910189956573356517,197.81927710843374
51.178.75.191:443 => 10.1.215.139:50769,51.178.75.191,443,10.1.215.139,50769,6,1680730485.090599,balkanweb,2.113825,265,265,373881,0,176874.1499414568377230849290,125.3651555828888389530826819,1410.8716981132075
51.178.75.191:443 => 10.1.215.139:50768,51.178.75.191,443,10.1.215.139,50768,6,1680730485.090606,balkanweb,2.133638,239,239,336724,0,157816.8367829969282511841278,112.0152528217064000547421821,1408.887029288703
51.178.75.191:443 => 10.1.215.139:50770,51.178.75.191,443,10.1.215.139,50770,6,1680730485.092869,balkanweb,2.131383,280,280,398390,0,186916.1947899556297483840305,131.3701010095323083650380997,1422.8214285714287
51.178.75.191:443 => 10.1.215.139:50771,51.178.75.191,443,10.1.215.139,50771,6,1680730485.092869,balkanweb,2.131382,175,175,240037,0,112620.3561820452645278978616,82.10635165352808647159448658,1371.64
10.1.215.139:50785 => 51.178.75.191:443,10.1.215.139,50785,51.178.75.191,443,6,1680730485.434880,balkanweb,1.780804,11,11,1937,0,1087.710944045498550093104014,6.176985226897513707291762597,176.0909090909091
10.1.215.139:50786 => 51.178.75.191:443,10.1.215.139,50786,51.178.75.191,443,6,1680730485.434918,balkanweb,1.780748,12,12,1986,0,1115.261676553897575625523656,6.738741248059804082329448075,165.5
10.1.215.139:50787 => 51.178.75.191:443,10.1.215.139,50787,51.178.75.191,443,6,1680730485.434946,balkanweb,1.800777,13,13,2044,0,1135.065585577781146693899356,7.219105974809762674667657350,157.23076923076923
51.178.75.191:443 => 10.1.215.139:50785,51.178.75.191,443,10.1.215.139,50785,6,1680730485.478952,balkanweb,1.736596,13,13,10457,0,6021.550205113912504693089239,7.485909215499747782443354701,804.3846153846154
51.178.75.191:443 => 10.1.215.139:50786,51.178.75.191,443,10.1.215.139,50786,6,1680730485.479905,balkanweb,1.735638,12,12,9101,0,5243.604945270845648689415650,6.913884116388325215281066674,758.4166666666666
51.178.75.191:443 => 10.1.215.139:50787,51.178.75.191,443,10.1.215.139,50787,6,1680730485.480433,balkanweb,1.755115,11,11,8762,0,4992.265464086398896938377257,6.267395583765166385108668093,796.5454545454545
