FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:59892 => 51.178.75.191:443,10.1.215.139,59892,51.178.75.191,443,6,1680731297.717177,balkanweb,4.159263,163,163,22445,0,5396.388735215830304551551561,39.18963527913478902392082443,137.69938650306747
10.1.215.139:59893 => 51.178.75.191:443,10.1.215.139,59893,51.178.75.191,443,6,1680731297.717681,balkanweb,4.158730,104,104,21770,0,5234.771192166839395680892965,25.00763454227612756779112854,209.32692307692307
51.178.75.191:443 => 10.1.215.139:59892,51.178.75.191,443,10.1.215.139,59892,6,1680731297.764328,balkanweb,4.111949,868,868,1247059,0,303276.8645720070944459671071,211.0921122805754643357687559,1436.7039170506912
51.178.75.191:443 => 10.1.215.139:59893,51.178.75.191,443,10.1.215.139,59893,6,1680731297.764333,balkanweb,4.111937,446,446,637345,0,154998.7268773816330357201484,108.4646968083411783789488993,1429.02466367713
10.1.215.139:59895 => 51.178.75.191:443,10.1.215.139,59895,51.178.75.191,443,6,1680731297.950558,balkanweb,3.925854,67,67,16608,0,4230.417127076045110184943200,17.06635040426872726290891103,247.88059701492537
10.1.215.139:59896 => 51.178.75.191:443,10.1.215.139,59896,51.178.75.191,443,6,1680731297.950686,balkanweb,3.925769,94,94,19808,0,5045.635644888937683292114233,23.94435332287763238234343386,210.72340425531914
10.1.215.139:59897 => 51.178.75.191:443,10.1.215.139,59897,51.178.75.191,443,6,1680731297.950945,balkanweb,3.925488,113,113,20023,0,5100.767089340229800727960447,28.78622989039834028278777059,177.1946902654867
10.1.215.139:59898 => 51.178.75.191:443,10.1.215.139,59898,51.178.75.191,443,6,1680731297.951003,balkanweb,3.925431,90,90,15633,0,3982.492623103042697731790471,22.92741867071412030933673271,173.7
51.178.75.191:443 => 10.1.215.139:59895,51.178.75.191,443,10.1.215.139,59895,6,1680731297.997404,balkanweb,3.878872,133,133,179844,0,46365.02570850494679896629742,34.28831887208446166823757010,1352.2105263157894
51.178.75.191:443 => 10.1.215.139:59897,51.178.75.191,443,10.1.215.139,59897,6,1680731297.997410,balkanweb,3.878867,627,627,898441,0,231624.5955326645641626794628,161.6451401917106206528865259,1432.920255183413
51.178.75.191:443 => 10.1.215.139:59896,51.178.75.191,443,10.1.215.139,59896,6,1680731297.997410,balkanweb,3.878867,274,274,382554,0,98625.19132519882738954442109,70.63918407101867632996955039,1396.1824817518248
51.178.75.191:443 => 10.1.215.139:59898,51.178.75.191,443,10.1.215.139,59898,6,1680731297.997410,balkanweb,3.878867,301,301,428875,0,110567.0805418180102591813537,77.59997958166650209971107542,1424.8338870431894
10.1.215.139:59909 => 51.178.75.191:443,10.1.215.139,59909,51.178.75.191,443,6,1680731298.263961,balkanweb,3.608977,13,13,2042,0,565.8113088556674093517359629,3.602128802705032478732893005,157.07692307692307
10.1.215.139:59910 => 51.178.75.191:443,10.1.215.139,59910,51.178.75.191,443,6,1680731298.263991,balkanweb,3.608968,10,10,1889,0,523.4183290070734902609277777,2.770875219730404924621110522,188.9
10.1.215.139:59911 => 51.178.75.191:443,10.1.215.139,59911,51.178.75.191,443,6,1680731298.264017,balkanweb,3.608896,14,14,2091,0,579.4015676816400361772686162,3.879302700881377573640248985,149.35714285714286
51.178.75.191:443 => 10.1.215.139:59909,51.178.75.191,443,10.1.215.139,59909,6,1680731298.311260,balkanweb,3.561497,13,13,10457,0,2936.124893548976736467839226,3.650150484473242571873568895,804.3846153846154
51.178.75.191:443 => 10.1.215.139:59910,51.178.75.191,443,10.1.215.139,59910,6,1680731298.314838,balkanweb,3.557919,12,12,8814,0,2477.290798357129546794066981,3.372758064475329539542637143,734.5
51.178.75.191:443 => 10.1.215.139:59911,51.178.75.191,443,10.1.215.139,59911,6,1680731298.314842,balkanweb,3.557910,11,11,9049,0,2543.347077357212520833860328,3.091702713109662695233999736,822.6363636363636
