FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:58340 => 51.178.75.191:443,10.1.215.139,58340,51.178.75.191,443,6,1680729638.843846,balkanweb,2.576574,116,116,23480,0,9112.876245743378610511477644,45.02102404200306298208396110,202.41379310344828
10.1.215.139:58341 => 51.178.75.191:443,10.1.215.139,58341,51.178.75.191,443,6,1680729638.844072,balkanweb,2.576328,105,105,22629,0,8783.431302225493027285345655,40.75568017736872013190867001,215.5142857142857
51.178.75.191:443 => 10.1.215.139:58340,51.178.75.191,443,10.1.215.139,58340,6,1680729638.889223,balkanweb,2.530830,391,391,553833,0,218834.5325446592619812472588,154.4947704903134544793605260,1416.4526854219948
51.178.75.191:443 => 10.1.215.139:58341,51.178.75.191,443,10.1.215.139,58341,6,1680729638.890506,balkanweb,2.529547,356,356,509921,0,201585.8966052024334791960774,140.7366615445374211271820607,1432.362359550562
10.1.215.139:58343 => 51.178.75.191:443,10.1.215.139,58343,51.178.75.191,443,6,1680729639.051665,balkanweb,2.369527,101,101,20814,0,8784.031580986416276328566841,42.62454067837167502206136499,206.07920792079207
10.1.215.139:58344 => 51.178.75.191:443,10.1.215.139,58344,51.178.75.191,443,6,1680729639.052019,balkanweb,2.350456,114,114,19782,0,8416.239231876708179178848700,48.50122699595312569135520937,173.52631578947367
10.1.215.139:58345 => 51.178.75.191:443,10.1.215.139,58345,51.178.75.191,443,6,1680729639.052232,balkanweb,2.368982,127,127,18123,0,7650.121444569861653655452004,53.60952510403202725896608754,142.70078740157481
10.1.215.139:58346 => 51.178.75.191:443,10.1.215.139,58346,51.178.75.191,443,6,1680729639.052384,balkanweb,2.367996,88,88,18146,0,7663.019701046792308770791843,37.16222493619077059251789277,206.20454545454547
51.178.75.191:443 => 10.1.215.139:58344,51.178.75.191,443,10.1.215.139,58344,6,1680729639.097910,balkanweb,2.304525,477,477,690743,0,299733.3506904893633178203751,206.9840856575650079734435513,1448.098532494759
51.178.75.191:443 => 10.1.215.139:58343,51.178.75.191,443,10.1.215.139,58343,6,1680729639.097913,balkanweb,2.323199,338,338,481068,0,207071.3701236958177065331037,145.4890433406694820374836594,1423.2781065088757
51.178.75.191:443 => 10.1.215.139:58346,51.178.75.191,443,10.1.215.139,58346,6,1680729639.097913,balkanweb,2.322139,324,324,458401,0,197404.6342617733046988143259,139.5265313575113289945175547,1414.817901234568
51.178.75.191:443 => 10.1.215.139:58345,51.178.75.191,443,10.1.215.139,58345,6,1680729639.097914,balkanweb,2.323199,853,853,1245594,0,536154.6729315913100857911871,367.1661360047073023016969274,1460.250879249707
10.1.215.139:58356 => 51.178.75.191:443,10.1.215.139,58356,51.178.75.191,443,6,1680729639.365692,balkanweb,2.054517,13,13,2042,0,993.9075704898036862191940977,6.327521261688270284451284657,157.07692307692307
10.1.215.139:58357 => 51.178.75.191:443,10.1.215.139,58357,51.178.75.191,443,6,1680729639.365794,balkanweb,2.054456,12,12,1993,0,970.0864851814786980105682478,5.840962279065601794343612129,166.08333333333334
10.1.215.139:58358 => 51.178.75.191:443,10.1.215.139,58358,51.178.75.191,443,6,1680729639.365831,balkanweb,2.054399,12,12,1987,0,967.1928383921526441552979728,5.841124338553513704007838789,165.58333333333334
51.178.75.191:443 => 10.1.215.139:58356,51.178.75.191,443,10.1.215.139,58356,6,1680729639.411954,balkanweb,2.008092,12,12,10405,0,5181.535507337313230668714382,5.975821824896468886883668677,867.0833333333334
51.178.75.191:443 => 10.1.215.139:58357,51.178.75.191,443,10.1.215.139,58357,6,1680729639.411959,balkanweb,2.008092,12,12,8814,0,4389.241130386456397416054643,5.975821824896468886883668677,734.5
51.178.75.191:443 => 10.1.215.139:58358,51.178.75.191,443,10.1.215.139,58358,6,1680729639.411960,balkanweb,2.008091,12,12,9101,0,4532.165125982836435201392766,5.975824800768491069378827952,758.4166666666666
