FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:62938 => 188.114.97.7:443,10.1.215.139,62938,188.114.97.7,443,6,1680730115.626630,epokaere,0.103648,9,9,1125,0,10854.04445816610064834825563,86.83235566532880518678604508,125.0
10.1.215.139:62939 => 188.114.97.7:443,10.1.215.139,62939,188.114.97.7,443,6,1680730115.626816,epokaere,1.701176,96,96,8534,0,5016.529741778628431155859241,56.43155088009706226751376695,88.89583333333333
188.114.97.7:443 => 10.1.215.139:62939,188.114.97.7,443,10.1.215.139,62939,6,1680730115.659426,epokaere,1.668456,151,151,182373,0,109306.4485967864900243099009,90.50283615510388047392319606,1207.76821192053
188.114.97.7:443 => 10.1.215.139:62938,188.114.97.7,443,10.1.215.139,62938,6,1680730115.659431,epokaere,0.070711,7,7,2511,0,35510.74090311266988163086366,98.99449873428462332593231605,358.7142857142857
10.1.215.139:62962 => 188.114.96.7:443,10.1.215.139,62962,188.114.96.7,443,6,1680730116.636477,epokaere,0.078979,3,3,168,0,2127.147722812393167804099824,37.98478076450702085364463971,56.0
10.1.215.139:62963 => 188.114.96.7:443,10.1.215.139,62963,188.114.96.7,443,6,1680730116.636531,epokaere,0.697330,120,120,15448,0,22153.06956534209054536589563,172.0849526049359700572182467,128.73333333333332
10.1.215.139:62964 => 188.114.96.7:443,10.1.215.139,62964,188.114.96.7,443,6,1680730116.636564,epokaere,0.117698,6,6,817,0,6941.494332953830991180818706,50.97792655780047239545276895,136.16666666666666
10.1.215.139:62965 => 188.114.96.7:443,10.1.215.139,62965,188.114.96.7,443,6,1680730116.636596,epokaere,0.117636,6,6,817,0,6945.152844367370532830086028,51.00479445067836376619402224,136.16666666666666
188.114.96.7:443 => 10.1.215.139:62964,188.114.96.7,443,10.1.215.139,62964,6,1680730116.674577,epokaere,0.079543,6,6,4607,0,57918.35862363752938662107288,75.43089901059804131098902480,767.8333333333334
188.114.96.7:443 => 10.1.215.139:62965,188.114.96.7,443,10.1.215.139,62965,6,1680730116.674578,epokaere,0.079541,6,6,4607,0,57919.81493820796821764875976,75.43279566512867577727209867,767.8333333333334
188.114.96.7:443 => 10.1.215.139:62963,188.114.96.7,443,10.1.215.139,62963,6,1680730116.704312,epokaere,0.629385,92,92,57091,0,90709.18436251261151759257053,146.1744401280615203730625928,620.554347826087
188.114.96.7:443 => 10.1.215.139:62962,188.114.96.7,443,10.1.215.139,62962,6,1680730116.705604,epokaere,0.012343,4,4,4495,0,364174.0257635906991817224338,324.0703232601474519970833671,1123.75
