FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:53176 => 188.40.137.224:443,10.1.215.139,53176,188.40.137.224,443,6,1680730708.060687,shqiperia,1.985181,81,81,10969,0,5525.440753261289524733512964,40.80232482579674095208446988,135.41975308641975
10.1.215.139:53178 => 188.40.137.224:443,10.1.215.139,53178,188.40.137.224,443,6,1680730708.060877,shqiperia,1.985953,69,69,8856,0,4459.320034260629531514592742,34.74402465717970163442941500,128.34782608695653
188.40.137.224:443 => 10.1.215.139:53176,188.40.137.224,443,10.1.215.139,53176,6,1680730708.122837,shqiperia,1.922915,166,166,227555,0,118338.5641070978176362449718,86.32726875602925766349526630,1370.813253012048
188.40.137.224:443 => 10.1.215.139:53178,188.40.137.224,443,10.1.215.139,53178,6,1680730708.122842,shqiperia,1.923858,149,149,209083,0,108679.0189296715246135629553,77.44854349957221374966343670,1403.241610738255
10.1.215.139:53179 => 188.40.137.224:443,10.1.215.139,53179,188.40.137.224,443,6,1680730708.231934,shqiperia,1.817699,66,66,7959,0,4378.612740613269853809679160,36.30964202543985555364226970,120.5909090909091
10.1.215.139:53180 => 188.40.137.224:443,10.1.215.139,53180,188.40.137.224,443,6,1680730708.232040,shqiperia,1.773947,43,43,4770,0,2688.919116523774385593256168,24.23973207767763072966666986,110.93023255813954
10.1.215.139:53181 => 188.40.137.224:443,10.1.215.139,53181,188.40.137.224,443,6,1680730708.241380,shqiperia,1.808199,60,60,5909,0,3267.892527315854062522985578,33.18218846487582395521731845,98.48333333333333
10.1.215.139:53182 => 188.40.137.224:443,10.1.215.139,53182,188.40.137.224,443,6,1680730708.241580,shqiperia,1.808027,27,27,4948,0,2736.684795083259265486632666,14.93340530865966050285753476,183.25925925925927
188.40.137.224:443 => 10.1.215.139:53179,188.40.137.224,443,10.1.215.139,53179,6,1680730708.268183,shqiperia,1.781313,135,135,187664,0,105351.5019538958060711396593,75.78679322499751587733318064,1390.1037037037038
188.40.137.224:443 => 10.1.215.139:53180,188.40.137.224,443,10.1.215.139,53180,6,1680730708.268183,shqiperia,1.816214,99,99,137952,0,75955.80696988350491737207179,54.50899508538090775646482188,1393.4545454545455
188.40.137.224:443 => 10.1.215.139:53181,188.40.137.224,443,10.1.215.139,53181,6,1680730708.275754,shqiperia,1.773736,82,82,107567,0,60644.31234411434396099532287,46.23010414176630569599985567,1311.7926829268292
188.40.137.224:443 => 10.1.215.139:53182,188.40.137.224,443,10.1.215.139,53182,6,1680730708.284878,shqiperia,1.764617,26,26,26469,0,14999.85549272165008044238495,14.73407543959964116859352483,1018.0384615384615
