FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:57055 => 65.254.227.240:443,10.1.215.139,57055,65.254.227.240,443,6,1680729518.777312,tribuna-news,4.135765,79,79,12721,0,3075.851746895677099641783322,19.10166559270171298417584171,161.0253164556962
10.1.215.139:57056 => 65.254.227.240:443,10.1.215.139,57056,65.254.227.240,443,6,1680729518.777623,tribuna-news,4.140411,93,93,12034,0,2906.474743690904115557610102,22.46153823859515395935331058,129.3978494623656
65.254.227.240:443 => 10.1.215.139:57055,65.254.227.240,443,10.1.215.139,57055,6,1680729518.897175,tribuna-news,4.015722,362,362,518442,0,129103.0604210151997573537212,90.14568239534509609977981544,1432.1602209944751
65.254.227.240:443 => 10.1.215.139:57056,65.254.227.240,443,10.1.215.139,57056,6,1680729518.905852,tribuna-news,4.012112,430,430,620847,0,154743.1876278628313466822462,107.1754726687589977547984702,1443.8302325581396
10.1.215.139:57070 => 65.254.227.240:443,10.1.215.139,57070,65.254.227.240,443,6,1680729520.836447,tribuna-news,2.080514,54,54,8370,0,4023.044305397608475597857068,25.95512455095231274579262625,155.0
10.1.215.139:57071 => 65.254.227.240:443,10.1.215.139,57071,65.254.227.240,443,6,1680729520.837514,tribuna-news,2.087456,61,61,8859,0,4243.921788052059540416660279,29.22217282663682491990250333,145.2295081967213
10.1.215.139:57072 => 65.254.227.240:443,10.1.215.139,57072,65.254.227.240,443,6,1680729520.837740,tribuna-news,2.079163,70,70,10153,0,4883.215024507458049224615867,33.66739404269891297603891566,145.04285714285714
10.1.215.139:57073 => 65.254.227.240:443,10.1.215.139,57073,65.254.227.240,443,6,1680729520.838220,tribuna-news,2.067601,82,82,13727,0,6639.095260642648170512589228,39.65948942760232752837709016,167.40243902439025
65.254.227.240:443 => 10.1.215.139:57073,65.254.227.240,443,10.1.215.139,57073,6,1680729520.957644,tribuna-news,1.948112,310,310,439657,0,225683.6362591062526179192983,159.1284279343282111090122129,1418.2483870967742
65.254.227.240:443 => 10.1.215.139:57070,65.254.227.240,443,10.1.215.139,57070,6,1680729520.967038,tribuna-news,1.949764,207,207,290709,0,149099.5833341881376412735080,106.1666950461696902804647127,1404.391304347826
65.254.227.240:443 => 10.1.215.139:57072,65.254.227.240,443,10.1.215.139,57072,6,1680729520.967048,tribuna-news,1.949747,268,268,382106,0,195977.2216600410207067891373,137.4537311764039129179324292,1425.7686567164178
65.254.227.240:443 => 10.1.215.139:57071,65.254.227.240,443,10.1.215.139,57071,6,1680729520.979739,tribuna-news,1.945115,213,213,299307,0,153876.2489621436264693861288,109.5050935291743675823794480,1405.1971830985915
