FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:49470 => 65.254.227.240:443,10.1.215.139,49470,65.254.227.240,443,6,1680730364.573918,tribuna-news,4.270418,77,77,13156,0,3080.728865417858392316630363,18.03102178756271634299031149,170.85714285714286
10.1.215.139:49471 => 65.254.227.240:443,10.1.215.139,49471,65.254.227.240,443,6,1680730364.574094,tribuna-news,4.141869,63,63,10946,0,2642.768276833477833316312032,15.21052452407355230211288672,173.74603174603175
10.1.215.139:49472 => 65.254.227.240:443,10.1.215.139,49472,65.254.227.240,443,6,1680730364.692638,tribuna-news,4.019364,66,66,10682,0,2657.634391908769646143021632,16.42050831922662391363409733,161.84848484848484
65.254.227.240:443 => 10.1.215.139:49471,65.254.227.240,443,10.1.215.139,49471,6,1680730364.704117,tribuna-news,4.011710,207,207,286401,0,71391.25210944958633600135603,51.59894409117309077675106127,1383.5797101449275
65.254.227.240:443 => 10.1.215.139:49470,65.254.227.240,443,10.1.215.139,49470,6,1680730364.704127,tribuna-news,4.140042,401,401,572155,0,138200.2887893407844654716063,96.85892075491021588669873397,1426.8204488778056
65.254.227.240:443 => 10.1.215.139:49472,65.254.227.240,443,10.1.215.139,49472,6,1680730364.818400,tribuna-news,3.893391,247,247,349322,0,89721.78751119525370043748496,63.44084115877393254363612594,1414.259109311741
10.1.215.139:49481 => 65.254.227.240:443,10.1.215.139,49481,65.254.227.240,443,6,1680730366.494539,tribuna-news,2.211285,72,72,11632,0,5260.289831478077226589969181,32.56025342730584253047436219,161.55555555555554
10.1.215.139:49482 => 65.254.227.240:443,10.1.215.139,49482,65.254.227.240,443,6,1680730366.495027,tribuna-news,2.214786,67,67,11444,0,5167.090635393216319770849193,30.25122968991135035168183292,170.80597014925374
10.1.215.139:49483 => 65.254.227.240:443,10.1.215.139,49483,65.254.227.240,443,6,1680730366.495400,tribuna-news,2.216537,54,54,8921,0,4024.746710747440714953100264,24.36232736020197271690028184,165.2037037037037
65.254.227.240:443 => 10.1.215.139:49481,65.254.227.240,443,10.1.215.139,49481,6,1680730366.619089,tribuna-news,2.086523,363,363,516136,0,247366.5519143570427932018962,173.9736393991343493457776406,1421.862258953168
65.254.227.240:443 => 10.1.215.139:49482,65.254.227.240,443,10.1.215.139,49482,6,1680730366.631914,tribuna-news,2.077799,352,352,505999,0,243526.4431256343852316802540,169.4100343680981654144602052,1437.497159090909
65.254.227.240:443 => 10.1.215.139:49483,65.254.227.240,443,10.1.215.139,49483,6,1680730366.631915,tribuna-news,2.079868,225,225,316313,0,152083.2091267330426738619951,108.1799421886388943913748372,1405.8355555555556
