FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:52795 => 173.231.244.176:443,192.168.1.134,52795,173.231.244.176,443,6,1680796716.364373,bulevardionline,2.863241,13,13,1662,0,580.4610928664405126917363924,4.540309390652061771957023527,127.84615384615384
192.168.1.134:52796 => 173.231.244.176:443,192.168.1.134,52796,173.231.244.176,443,6,1680796716.364686,bulevardionline,2.857741,81,81,8286,0,2899.492991142304358582530747,28.34406616974736338947441353,102.29629629629629
192.168.1.134:52797 => 173.231.244.176:443,192.168.1.134,52797,173.231.244.176,443,6,1680796716.398735,bulevardionline,2.824331,13,13,1662,0,588.4579392429570046853573466,4.602859933910012672027464203,127.84615384615384
173.231.244.176:443 => 192.168.1.134:52795,173.231.244.176,443,192.168.1.134,52795,6,1680796716.486924,bulevardionline,2.740598,10,10,6573,0,2398.381667066822642357616841,3.648838684112007671318449477,657.3
173.231.244.176:443 => 192.168.1.134:52796,173.231.244.176,443,192.168.1.134,52796,6,1680796716.486932,bulevardionline,2.735396,226,226,297714,0,108837.6235104533310716254612,82.62057851952697159753103390,1317.3185840707965
173.231.244.176:443 => 192.168.1.134:52797,173.231.244.176,443,192.168.1.134,52797,6,1680796716.518239,bulevardionline,2.704759,10,10,6573,0,2430.161060560293911583250116,3.697187069162169346695953318,657.3
192.168.1.134:52809 => 173.231.244.176:443,192.168.1.134,52809,173.231.244.176,443,6,1680796717.636524,bulevardionline,0.617875,10,10,1412,0,2285.251871333198462472182885,16.18450333805381347359902893,141.2
192.168.1.134:52810 => 173.231.244.176:443,192.168.1.134,52810,173.231.244.176,443,6,1680796717.636575,bulevardionline,0.617784,10,10,1412,0,2285.588490475635497196431115,16.18688732631469898864327985,141.2
192.168.1.134:52811 => 173.231.244.176:443,192.168.1.134,52811,173.231.244.176,443,6,1680796717.636612,bulevardionline,0.615598,10,10,1412,0,2293.704657909869752663264013,16.24436726565063564209110491,141.2
192.168.1.134:52812 => 173.231.244.176:443,192.168.1.134,52812,173.231.244.176,443,6,1680796717.636645,bulevardionline,1.584406,175,175,12303,0,7765.055168940284245326008611,110.4514878130984103821873939,70.30285714285715
192.168.1.134:52813 => 173.231.244.176:443,192.168.1.134,52813,173.231.244.176,443,6,1680796717.636679,bulevardionline,0.624558,10,10,1412,0,2260.798836937482187402931353,16.01132320777253673798110023,141.2
192.168.1.134:52814 => 173.231.244.176:443,192.168.1.134,52814,173.231.244.176,443,6,1680796717.636710,bulevardionline,0.617671,10,10,1412,0,2286.006628124033668409234042,16.18984864110505430884726659,141.2
173.231.244.176:443 => 192.168.1.134:52812,173.231.244.176,443,192.168.1.134,52812,6,1680796717.754738,bulevardionline,1.466049,908,908,1321529,0,901422.1216344064898240099751,619.3517406307701857168484819,1455.4284140969164
173.231.244.176:443 => 192.168.1.134:52811,173.231.244.176,443,192.168.1.134,52811,6,1680796717.754743,bulevardionline,0.497181,8,8,5640,0,11343.95723086763170756726424,16.09071947640798823768406275,705.0
173.231.244.176:443 => 192.168.1.134:52810,173.231.244.176,443,192.168.1.134,52810,6,1680796717.759957,bulevardionline,0.494305,8,8,5640,0,11409.95943799880640495240793,16.18433962836710128362043677,705.0
173.231.244.176:443 => 192.168.1.134:52809,173.231.244.176,443,192.168.1.134,52809,6,1680796717.759961,bulevardionline,0.494302,8,8,5640,0,11410.02868691609582805653224,16.18443785378169621000926559,705.0
173.231.244.176:443 => 192.168.1.134:52814,173.231.244.176,443,192.168.1.134,52814,6,1680796717.759961,bulevardionline,0.494302,8,8,5640,0,11410.02868691609582805653224,16.18443785378169621000926559,705.0
173.231.244.176:443 => 192.168.1.134:52813,173.231.244.176,443,192.168.1.134,52813,6,1680796717.759962,bulevardionline,0.501234,8,8,5640,0,11252.22949759992338907576102,15.96060921645379204124221422,705.0
