FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:52130 => 173.231.244.176:443,192.168.1.134,52130,173.231.244.176,443,6,1680793683.024661,bulevardionline,3.623886,13,13,1662,0,458.6236984275995436942552829,3.587309313813955516260721226,127.84615384615384
192.168.1.134:52131 => 173.231.244.176:443,192.168.1.134,52131,173.231.244.176,443,6,1680793683.024883,bulevardionline,3.616059,78,78,8727,0,2413.400887540828288476487801,21.57044450878705242364684868,111.88461538461539
173.231.244.176:443 => 192.168.1.134:52131,173.231.244.176,443,192.168.1.134,52131,6,1680793683.144570,bulevardionline,3.496260,227,227,297841,0,85188.45852425162888343544244,64.92652148295607306092796302,1312.0748898678414
173.231.244.176:443 => 192.168.1.134:52130,173.231.244.176,443,192.168.1.134,52130,6,1680793683.146583,bulevardionline,3.501794,10,10,6573,0,1877.037884010310143886248020,2.855679117617998088979534490,657.3
192.168.1.134:52144 => 173.231.244.176:443,192.168.1.134,52144,173.231.244.176,443,6,1680793684.262476,bulevardionline,0.604012,10,10,1412,0,2337.701899962252405581346066,16.55596246432190088938630358,141.2
192.168.1.134:52145 => 173.231.244.176:443,192.168.1.134,52145,173.231.244.176,443,6,1680793684.262518,bulevardionline,2.378467,152,152,11135,0,4681.586921323692950122915306,63.90670965794354094465048285,73.25657894736842
192.168.1.134:52146 => 173.231.244.176:443,192.168.1.134,52146,173.231.244.176,443,6,1680793684.262551,bulevardionline,0.600059,10,10,1412,0,2353.101944975410751276124514,16.66502793891933959827283650,141.2
192.168.1.134:52147 => 173.231.244.176:443,192.168.1.134,52147,173.231.244.176,443,6,1680793684.262582,bulevardionline,0.606048,10,10,1412,0,2329.848460847985638101272506,16.50034320713870848513649084,141.2
192.168.1.134:52148 => 173.231.244.176:443,192.168.1.134,52148,173.231.244.176,443,6,1680793684.262614,bulevardionline,0.605993,10,10,1412,0,2330.059918183873411079005863,16.50184078033904682067284606,141.2
192.168.1.134:52149 => 173.231.244.176:443,192.168.1.134,52149,173.231.244.176,443,6,1680793684.262644,bulevardionline,0.603856,10,10,1412,0,2338.305821255398638085901274,16.56023952730452293261969741,141.2
173.231.244.176:443 => 192.168.1.134:52145,173.231.244.176,443,192.168.1.134,52145,6,1680793684.381532,bulevardionline,2.259292,915,915,1330548,0,588922.5474175095560910232055,404.9941309047259052836021196,1454.150819672131
173.231.244.176:443 => 192.168.1.134:52146,173.231.244.176,443,192.168.1.134,52146,6,1680793684.382858,bulevardionline,0.479580,8,8,5640,0,11760.29025397222569748529964,16.68126277159180949997914842,705.0
173.231.244.176:443 => 192.168.1.134:52149,173.231.244.176,443,192.168.1.134,52149,6,1680793684.382862,bulevardionline,0.483492,8,8,5640,0,11665.13613462063488123898637,16.54629238953281543438154096,705.0
173.231.244.176:443 => 192.168.1.134:52144,173.231.244.176,443,192.168.1.134,52144,6,1680793684.384717,bulevardionline,0.481637,8,8,5640,0,11710.06380323770806644838333,16.61001957906057881765728131,705.0
173.231.244.176:443 => 192.168.1.134:52148,173.231.244.176,443,192.168.1.134,52148,6,1680793684.384720,bulevardionline,0.483834,8,8,5640,0,11656.89058644080407743151577,16.53459657651177883323619258,705.0
173.231.244.176:443 => 192.168.1.134:52147,173.231.244.176,443,192.168.1.134,52147,6,1680793684.384721,bulevardionline,0.483834,8,8,5640,0,11656.89058644080407743151577,16.53459657651177883323619258,705.0
