FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:53247 => 173.231.244.176:443,192.168.1.134,53247,173.231.244.176,443,6,1680801648.749500,bulevardionline,0.612620,12,12,1586,0,2588.880545852241193562077634,19.58799908589337599164245372,132.16666666666666
192.168.1.134:53248 => 173.231.244.176:443,192.168.1.134,53248,173.231.244.176,443,6,1680801648.749928,bulevardionline,3.618532,75,75,8913,0,2463.153566142291957069883588,20.72663721089104642435109044,118.84
173.231.244.176:443 => 192.168.1.134:53247,173.231.244.176,443,192.168.1.134,53247,6,1680801648.869205,bulevardionline,0.492792,9,9,6459,0,13106.94978814591145960161691,18.26328349486192957677884381,717.6666666666666
173.231.244.176:443 => 192.168.1.134:53248,173.231.244.176,443,192.168.1.134,53248,6,1680801648.869213,bulevardionline,3.499117,225,225,297053,0,84893.70318283155436071443167,64.30193674575614362137647869,1320.2355555555555
192.168.1.134:53261 => 173.231.244.176:443,192.168.1.134,53261,173.231.244.176,443,6,1680801649.998720,bulevardionline,2.369697,84,84,7346,0,3099.974384910813492189085778,35.44756987918708594389915673,87.45238095238095
192.168.1.134:53262 => 173.231.244.176:443,192.168.1.134,53262,173.231.244.176,443,6,1680801649.998766,bulevardionline,0.596445,10,10,1412,0,2367.359940983661527886058228,16.76600524775964254876811776,141.2
192.168.1.134:53263 => 173.231.244.176:443,192.168.1.134,53263,173.231.244.176,443,6,1680801649.998802,bulevardionline,0.601621,10,10,1412,0,2346.992541816193251232919064,16.62176021116284172261274124,141.2
192.168.1.134:53264 => 173.231.244.176:443,192.168.1.134,53264,173.231.244.176,443,6,1680801649.998834,bulevardionline,0.601599,9,9,1360,0,2260.642055588523252199554853,14.96013125021816858073234829,151.11111111111111
192.168.1.134:53265 => 173.231.244.176:443,192.168.1.134,53265,173.231.244.176,443,6,1680801649.998863,bulevardionline,0.596339,9,9,1360,0,2280.582017946168202985214786,15.09208688346728957857862726,151.11111111111111
192.168.1.134:53266 => 173.231.244.176:443,192.168.1.134,53266,173.231.244.176,443,6,1680801649.998894,bulevardionline,0.596322,10,10,1412,0,2367.848243063311432414031345,16.76946347778549173097755910,141.2
173.231.244.176:443 => 192.168.1.134:53261,173.231.244.176,443,192.168.1.134,53261,6,1680801650.116818,bulevardionline,2.251506,309,309,428983,0,190531.5819722443555557924340,137.2414730407114171581155014,1388.294498381877
173.231.244.176:443 => 192.168.1.134:53265,173.231.244.176,443,192.168.1.134,53265,6,1680801650.116827,bulevardionline,0.478268,8,8,5640,0,11792.55145650555755350556592,16.72702334256107454397952612,705.0
173.231.244.176:443 => 192.168.1.134:53262,173.231.244.176,443,192.168.1.134,53262,6,1680801650.116827,bulevardionline,0.478268,8,8,5640,0,11792.55145650555755350556592,16.72702334256107454397952612,705.0
173.231.244.176:443 => 192.168.1.134:53266,173.231.244.176,443,192.168.1.134,53266,6,1680801650.118714,bulevardionline,0.476381,8,8,5640,0,11839.26311082935717419460474,16.79328100826859173644624786,705.0
173.231.244.176:443 => 192.168.1.134:53263,173.231.244.176,443,192.168.1.134,53263,6,1680801650.121081,bulevardionline,0.479224,8,8,5640,0,11769.02659299200373937866217,16.69365474183262941755838606,705.0
173.231.244.176:443 => 192.168.1.134:53264,173.231.244.176,443,192.168.1.134,53264,6,1680801650.121091,bulevardionline,0.479224,8,8,5640,0,11769.02659299200373937866217,16.69365474183262941755838606,705.0
