FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:53083 => 173.231.244.176:443,10.1.215.139,53083,173.231.244.176,443,6,1680737346.347658,bulevardionline,4.667653,88,88,10695,0,2291.301431361757182892558637,18.85315810751141955068210940,121.5340909090909
10.1.215.139:53084 => 173.231.244.176:443,10.1.215.139,53084,173.231.244.176,443,6,1680737346.347968,bulevardionline,4.669230,13,13,1662,0,355.9473403537628259905808881,2.784184972682862056484688053,127.84615384615384
10.1.215.139:53085 => 173.231.244.176:443,10.1.215.139,53085,173.231.244.176,443,6,1680737346.411351,bulevardionline,4.602076,13,13,1662,0,361.1413631587135892584129423,2.824812106536267545342580175,127.84615384615384
173.231.244.176:443 => 10.1.215.139:53083,173.231.244.176,443,10.1.215.139,53083,6,1680737346.470704,bulevardionline,4.544520,230,230,298165,0,65609.78937269502609736561837,50.61040549937067060987739079,1296.3695652173913
173.231.244.176:443 => 10.1.215.139:53084,173.231.244.176,443,10.1.215.139,53084,6,1680737346.470711,bulevardionline,4.546443,10,10,6573,0,1445.745608160049515632330593,2.199521692012854884576799929,657.3
173.231.244.176:443 => 10.1.215.139:53085,173.231.244.176,443,10.1.215.139,53085,6,1680737346.528828,bulevardionline,4.484453,10,10,6573,0,1465.730603041218182016847986,2.229926370061186949668108909,657.3
10.1.215.139:53095 => 173.231.244.176:443,10.1.215.139,53095,173.231.244.176,443,6,1680737347.602099,bulevardionline,0.605206,10,10,1412,0,2333.089890053965096182126416,16.52329950463148085114820408,141.2
10.1.215.139:53096 => 173.231.244.176:443,10.1.215.139,53096,173.231.244.176,443,6,1680737347.602146,bulevardionline,0.482627,9,9,1372,0,2842.775062315204080998369341,18.64794137087232997739455107,152.44444444444446
10.1.215.139:53097 => 173.231.244.176:443,10.1.215.139,53097,173.231.244.176,443,6,1680737347.602185,bulevardionline,0.607590,10,10,1412,0,2323.935548642999391036718840,16.45846705837818265606741388,141.2
10.1.215.139:53098 => 173.231.244.176:443,10.1.215.139,53098,173.231.244.176,443,6,1680737347.602217,bulevardionline,0.607543,10,10,1412,0,2324.115330108321550902569859,16.45974029821757472310601883,141.2
10.1.215.139:53099 => 173.231.244.176:443,10.1.215.139,53099,173.231.244.176,443,6,1680737347.602248,bulevardionline,3.409599,126,126,9682,0,2839.630114861014447740042157,36.95449230246724028250829496,76.84126984126983
10.1.215.139:53100 => 173.231.244.176:443,10.1.215.139,53100,173.231.244.176,443,6,1680737347.602286,bulevardionline,0.607448,10,10,1412,0,2324.478803123888793773294175,16.46231446971592630151058198,141.2
173.231.244.176:443 => 10.1.215.139:53099,173.231.244.176,443,10.1.215.139,53099,6,1680737347.720619,bulevardionline,3.291086,694,694,998565,0,303415.0429371945916940487122,210.8726420397400736413451365,1438.8544668587897
173.231.244.176:443 => 10.1.215.139:53096,173.231.244.176,443,10.1.215.139,53096,6,1680737347.720624,bulevardionline,0.481981,8,8,5628,0,11676.80883686286388882549312,16.59816465794294795852948560,703.5
173.231.244.176:443 => 10.1.215.139:53095,173.231.244.176,443,10.1.215.139,53095,6,1680737347.729240,bulevardionline,0.477976,8,8,5640,0,11799.75563626625604632868596,16.73724203725710077493430633,705.0
173.231.244.176:443 => 10.1.215.139:53097,173.231.244.176,443,10.1.215.139,53097,6,1680737347.729244,bulevardionline,0.480442,8,8,5640,0,11739.19016239213057975780635,16.65133356367678096419547000,705.0
173.231.244.176:443 => 10.1.215.139:53098,173.231.244.176,443,10.1.215.139,53098,6,1680737347.729244,bulevardionline,0.480441,8,8,5640,0,11739.21459658938350390578656,16.65136822211260071475998093,705.0
173.231.244.176:443 => 10.1.215.139:53100,173.231.244.176,443,10.1.215.139,53100,6,1680737347.729244,bulevardionline,0.480441,8,8,5640,0,11739.21459658938350390578656,16.65136822211260071475998093,705.0
