FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:57915 => 173.231.244.176:443,192.168.1.134,57915,173.231.244.176,443,6,1680794525.029193,bulevardionline,3.708526,13,13,1662,0,448.1564912852168219934281167,3.505435852411443252656176605,127.84615384615384
192.168.1.134:57916 => 173.231.244.176:443,192.168.1.134,57916,173.231.244.176,443,6,1680794525.029472,bulevardionline,3.703225,78,78,8703,0,2350.113752202472169527911483,21.06272235686462475274929285,111.57692307692308
173.231.244.176:443 => 192.168.1.134:57915,173.231.244.176,443,192.168.1.134,57915,6,1680794525.151833,bulevardionline,3.585778,10,10,6573,0,1833.074997950235625295263678,2.788795067625491594850545684,657.3
173.231.244.176:443 => 192.168.1.134:57916,173.231.244.176,443,192.168.1.134,57916,6,1680794525.151841,bulevardionline,3.580675,228,228,297875,0,83189.62206846474477577551719,63.67514504946693011792469297,1306.469298245614
192.168.1.134:57924 => 173.231.244.176:443,192.168.1.134,57924,173.231.244.176,443,6,1680794526.160351,bulevardionline,0.619684,10,10,1412,0,2278.580695967622207447666875,16.13725705359505812639990705,141.2
192.168.1.134:57925 => 173.231.244.176:443,192.168.1.134,57925,173.231.244.176,443,6,1680794526.163175,bulevardionline,2.569472,164,164,13273,0,5165.652709973099531732589419,63.82634253262927169472950085,80.9329268292683
192.168.1.134:57926 => 173.231.244.176:443,192.168.1.134,57926,173.231.244.176,443,6,1680794526.170533,bulevardionline,0.609487,10,10,1412,0,2316.702407106304154149309173,16.40724084352906624751635392,141.2
192.168.1.134:57929 => 173.231.244.176:443,192.168.1.134,57929,173.231.244.176,443,6,1680794526.230511,bulevardionline,0.547445,10,10,1412,0,2579.254536985450593210276831,18.26667519111508918704162062,141.2
192.168.1.134:57930 => 173.231.244.176:443,192.168.1.134,57930,173.231.244.176,443,6,1680794526.230702,bulevardionline,0.547234,10,10,1412,0,2580.249034233983999532192810,18.27371837276192634229598307,141.2
192.168.1.134:57931 => 173.231.244.176:443,192.168.1.134,57931,173.231.244.176,443,6,1680794526.231168,bulevardionline,0.551720,10,10,1412,0,2559.269194518958892191691438,18.12513593851953889654172406,141.2
173.231.244.176:443 => 192.168.1.134:57925,173.231.244.176,443,192.168.1.134,57925,6,1680794526.282732,bulevardionline,2.449778,911,911,1321346,0,539373.7718274880417735811163,371.8704307084152115007972151,1450.4346871569703
173.231.244.176:443 => 192.168.1.134:57924,173.231.244.176,443,192.168.1.134,57924,6,1680794526.282739,bulevardionline,0.497249,8,8,5640,0,11342.40591735729986385090769,16.08851903171248207638426623,705.0
173.231.244.176:443 => 192.168.1.134:57926,173.231.244.176,443,192.168.1.134,57926,6,1680794526.295602,bulevardionline,0.484382,8,8,5640,0,11643.70269745779157772171551,16.51589035100395968471165320,705.0
173.231.244.176:443 => 192.168.1.134:57930,173.231.244.176,443,192.168.1.134,57930,6,1680794526.352319,bulevardionline,0.425410,8,8,5640,0,13257.79835922991937190004936,18.80538774358853811617028279,705.0
173.231.244.176:443 => 192.168.1.134:57929,173.231.244.176,443,192.168.1.134,57929,6,1680794526.352327,bulevardionline,0.425422,8,8,5640,0,13257.42439272063974124516363,18.80485729463920530673072855,705.0
173.231.244.176:443 => 192.168.1.134:57931,173.231.244.176,443,192.168.1.134,57931,6,1680794526.354531,bulevardionline,0.428319,8,8,5640,0,13167.75580817101272649590609,18.67766781300852869006511502,705.0
