FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:51155 => 173.231.244.176:443,192.168.1.56,51155,173.231.244.176,443,6,1680782499.454102,bulevardionline,4.495892,65,65,6883,0,1530.953145671648696187541872,14.45764266579357333316725580,105.8923076923077
192.168.1.56:51156 => 173.231.244.176:443,192.168.1.56,51156,173.231.244.176,443,6,1680782499.454536,bulevardionline,1.229581,11,11,1558,0,1267.098304219079507572091631,8.946136936078225021369068000,141.63636363636363
192.168.1.56:51158 => 173.231.244.176:443,192.168.1.56,51158,173.231.244.176,443,6,1680782499.694308,bulevardionline,1.115715,11,11,1558,0,1396.413958761870190864154376,9.859148617702549486203914082,141.63636363636363
173.231.244.176:443 => 192.168.1.56:51155,173.231.244.176,443,192.168.1.56,51155,6,1680782499.726283,bulevardionline,4.223456,219,219,292009,0,69139.82293174120909511073396,51.85326898161126811786366426,1333.3744292237443
173.231.244.176:443 => 192.168.1.56:51156,173.231.244.176,443,192.168.1.56,51156,6,1680782499.726288,bulevardionline,0.957673,9,9,6521,0,6809.213583342121997800919521,9.397779826725823950346308187,724.5555555555555
173.231.244.176:443 => 192.168.1.56:51158,173.231.244.176,443,192.168.1.56,51158,6,1680782499.816474,bulevardionline,0.993416,9,9,6521,0,6564.218816689080908702899893,9.059648727220016589223447176,724.5555555555555
192.168.1.56:51190 => 173.231.244.176:443,192.168.1.56,51190,173.231.244.176,443,6,1680782503.328424,bulevardionline,0.886448,24,24,3066,0,3458.747721242531992852372615,27.07434615454036785011641969,127.75
173.231.244.176:443 => 192.168.1.56:51190,173.231.244.176,443,192.168.1.56,51190,6,1680782503.449894,bulevardionline,0.875809,33,33,37977,0,43362.19426838500175266525007,37.67944837287582109797912559,1150.8181818181818
192.168.1.56:51192 => 173.231.244.176:443,192.168.1.56,51192,173.231.244.176,443,6,1680782503.834893,bulevardionline,0.121479,2,2,104,0,856.1150486915433943315305526,16.46375093637583450637558755,52.0
192.168.1.56:51193 => 173.231.244.176:443,192.168.1.56,51193,173.231.244.176,443,6,1680782503.955375,bulevardionline,0.122616,2,2,104,0,848.1764206955046649703138253,16.31108501337508971096757356,52.0
173.231.244.176:443 => 192.168.1.56:51192,173.231.244.176,443,192.168.1.56,51192,6,1680782503.956298,bulevardionline,0.000000,1,1,60,0,0,0,60.0
173.231.244.176:443 => 192.168.1.56:51193,173.231.244.176,443,192.168.1.56,51193,6,1680782504.077709,bulevardionline,0.000000,1,1,60,0,0,0,60.0
