FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:57633 => 144.91.119.216:443,192.168.1.134,57633,144.91.119.216,443,6,1680794473.697764,gazetaolle,2.287285,127,127,22215,0,9712.388268186955276670812776,55.52434436460694666383944283,174.92125984251967
192.168.1.134:57634 => 144.91.119.216:443,192.168.1.134,57634,144.91.119.216,443,6,1680794473.700781,gazetaolle,2.284155,172,172,23547,0,10308.84506524294542182995462,75.30136965311023113580295558,136.90116279069767
144.91.119.216:443 => 192.168.1.134:57633,144.91.119.216,443,192.168.1.134,57633,6,1680794473.739333,gazetaolle,2.245381,338,338,476462,0,212196.5047357219108917373043,150.5312461448636111198945747,1409.6508875739646
144.91.119.216:443 => 192.168.1.134:57634,144.91.119.216,443,192.168.1.134,57634,6,1680794473.740896,gazetaolle,2.243815,613,613,884084,0,394009.3100367008866595508097,273.1954283218536287528160744,1442.2251223491028
192.168.1.134:57636 => 144.91.119.216:443,192.168.1.134,57636,144.91.119.216,443,6,1680794473.850884,gazetaolle,2.134129,178,178,20054,0,9396.807784346681948467032686,83.40639202222546059774268566,112.66292134831461
192.168.1.134:57637 => 144.91.119.216:443,192.168.1.134,57637,144.91.119.216,443,6,1680794473.851804,gazetaolle,2.133169,82,82,12219,0,5728.097492509969908619523348,38.44046111677040121996897574,149.0121951219512
192.168.1.134:57638 => 144.91.119.216:443,192.168.1.134,57638,144.91.119.216,443,6,1680794473.852431,gazetaolle,2.140942,394,394,30361,0,14181.14082492659773127903512,184.0311414321359476342656644,77.05837563451777
192.168.1.134:57639 => 144.91.119.216:443,192.168.1.134,57639,144.91.119.216,443,6,1680794473.852501,gazetaolle,2.132582,94,94,12668,0,5940.217070199410855010499010,44.07802372898205086603938325,134.7659574468085
144.91.119.216:443 => 192.168.1.134:57636,144.91.119.216,443,192.168.1.134,57636,6,1680794473.890751,gazetaolle,2.093961,442,442,633664,0,302614.9961723260366358303712,211.0832054656223301198064338,1433.6289592760181
144.91.119.216:443 => 192.168.1.134:57638,144.91.119.216,443,192.168.1.134,57638,6,1680794473.894044,gazetaolle,2.099150,1997,1997,2939594,0,1400373.484505633232498868590,951.3374461091394135721601601,1472.005007511267
144.91.119.216:443 => 192.168.1.134:57637,144.91.119.216,443,192.168.1.134,57637,6,1680794473.894050,gazetaolle,2.090663,139,139,183849,0,87938.13254455643975140900279,66.48608599281663280978330797,1322.6546762589928
144.91.119.216:443 => 192.168.1.134:57639,144.91.119.216,443,192.168.1.134,57639,6,1680794473.894050,gazetaolle,2.090663,178,178,241422,0,115476.2867090487563036223437,85.14045544403856575641315697,1356.3033707865168
