FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:50611 => 144.91.119.216:443,192.168.1.56,50611,144.91.119.216,443,6,1680782449.230329,gazetaolle,1.522484,100,100,19425,0,12758.75477180712572348871975,65.68213524739833062285055212,194.25
192.168.1.56:50612 => 144.91.119.216:443,192.168.1.56,50612,144.91.119.216,443,6,1680782449.230800,gazetaolle,1.521909,108,108,19976,0,13125.62052001795113899714109,70.96350701651675625809427502,184.96296296296296
144.91.119.216:443 => 192.168.1.56:50611,144.91.119.216,443,192.168.1.56,50611,6,1680782449.275325,gazetaolle,1.477225,340,340,467808,0,316680.2619776946639814517084,230.1612821337304743691719271,1375.9058823529413
144.91.119.216:443 => 192.168.1.56:50612,144.91.119.216,443,192.168.1.56,50612,6,1680782449.276915,gazetaolle,1.475633,372,372,516637,0,350112.1213743525659835473997,252.0952025334212504057580713,1388.8091397849462
192.168.1.56:50614 => 144.91.119.216:443,192.168.1.56,50614,144.91.119.216,443,6,1680782449.391049,gazetaolle,1.366658,106,106,18625,0,13628.13520280860317650794859,77.56146746296439928643449934,175.70754716981133
192.168.1.56:50615 => 144.91.119.216:443,192.168.1.56,50615,144.91.119.216,443,6,1680782449.391607,gazetaolle,1.361168,107,107,12469,0,9160.515087042892574612391711,78.60895936431065085279700963,116.53271028037383
192.168.1.56:50616 => 144.91.119.216:443,192.168.1.56,50616,144.91.119.216,443,6,1680782449.391911,gazetaolle,1.360884,52,52,11463,0,8423.201389684940083063655683,38.21045732038880609956469471,220.44230769230768
192.168.1.56:50617 => 144.91.119.216:443,192.168.1.56,50617,144.91.119.216,443,6,1680782449.392012,gazetaolle,1.360728,59,59,10724,0,7881.075424331681276493171302,43.35914304695721701912505659,181.76271186440678
144.91.119.216:443 => 192.168.1.56:50614,144.91.119.216,443,192.168.1.56,50614,6,1680782449.436247,gazetaolle,1.321282,547,547,770905,0,583452.2834640901790836475484,413.9918654761057821116158398,1409.3327239488117
144.91.119.216:443 => 192.168.1.56:50617,144.91.119.216,443,192.168.1.56,50617,6,1680782449.436247,gazetaolle,1.316302,120,120,157994,0,120028.6864260633198156654020,91.16448960800788876716741295,1316.6166666666666
144.91.119.216:443 => 192.168.1.56:50615,144.91.119.216,443,192.168.1.56,50615,6,1680782449.436248,gazetaolle,1.316302,636,636,902011,0,685261.4369650733646230120443,483.1717949224418104659872886,1418.256289308176
144.91.119.216:443 => 192.168.1.56:50616,144.91.119.216,443,192.168.1.56,50616,6,1680782449.437570,gazetaolle,1.314980,93,93,117689,0,89498.69959999391625728147957,70.72350910280004258619902964,1265.47311827957
