FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:58065 => 144.91.119.216:443,192.168.1.134,58065,144.91.119.216,443,6,1680797777.563090,gazetaolle,1.589208,168,168,23683,0,14902.39163155483737811538829,105.7130344171436338100487790,140.9702380952381
192.168.1.134:58066 => 144.91.119.216:443,192.168.1.134,58066,144.91.119.216,443,6,1680797777.563563,gazetaolle,1.586882,126,126,18604,0,11723.61902145213065621766458,79.40098885739456367896289705,147.65079365079364
144.91.119.216:443 => 192.168.1.134:58065,144.91.119.216,443,192.168.1.134,58065,6,1680797777.607913,gazetaolle,1.544223,668,668,964851,0,624813.2555984465974150106558,432.5800094934475137334439391,1444.3877245508982
144.91.119.216:443 => 192.168.1.134:58066,144.91.119.216,443,192.168.1.134,58066,6,1680797777.607917,gazetaolle,1.542275,410,410,585725,0,379779.8706456371269715193464,265.8410465059733186364299493,1428.5975609756097
192.168.1.134:58068 => 144.91.119.216:443,192.168.1.134,58068,144.91.119.216,443,6,1680797777.724082,gazetaolle,1.426436,100,100,18295,0,12825.67181422790787669408231,70.10479264404431744571785906,182.95
192.168.1.134:58069 => 144.91.119.216:443,192.168.1.134,58069,144.91.119.216,443,6,1680797777.724606,gazetaolle,1.425751,87,87,14155,0,9928.101049902823143732671413,61.02047271928969364215771197,162.70114942528735
192.168.1.134:58070 => 144.91.119.216:443,192.168.1.134,58070,144.91.119.216,443,6,1680797777.724715,gazetaolle,1.425768,159,159,17413,0,12213.06692252877045914903406,111.5188445806049792112040669,109.51572327044025
192.168.1.134:58071 => 144.91.119.216:443,192.168.1.134,58071,144.91.119.216,443,6,1680797777.724837,gazetaolle,1.425571,116,116,14340,0,10059.12718482629065826956356,81.37090330821825079213872897,123.62068965517241
144.91.119.216:443 => 192.168.1.134:58068,144.91.119.216,443,192.168.1.134,58068,6,1680797777.767906,gazetaolle,1.382287,175,175,234625,0,169736.8202117215889319656482,126.6017838553064595123878037,1340.7142857142858
144.91.119.216:443 => 192.168.1.134:58069,144.91.119.216,443,192.168.1.134,58069,6,1680797777.767907,gazetaolle,1.382284,162,162,221509,0,160248.5451614863515746402331,117.1973342670536590165262710,1367.3395061728395
144.91.119.216:443 => 192.168.1.134:58070,144.91.119.216,443,192.168.1.134,58070,6,1680797777.767907,gazetaolle,1.382285,605,605,878069,0,635230.0719460892652383553319,437.6810860278451983491103499,1451.3537190082645
144.91.119.216:443 => 192.168.1.134:58071,144.91.119.216,443,192.168.1.134,58071,6,1680797777.767907,gazetaolle,1.382285,356,356,506090,0,366125.6542608796304669442264,257.5445729353932076236087348,1421.6011235955057
